,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000040614,0.02336363322279375,2.457447881886623e-06,2.875572414263672e-06,0.013646362926435474,0.03307649087596531,Nlrp9c
ENSMUSG00000038496,0.023354806819296352,2.4790147488400483e-06,2.9005323157415587e-06,0.013637533347668474,0.03306766931294316,Slc19a3
ENSMUSG00000087179,0.02334649449203315,2.4994915330942172e-06,2.9243514949025123e-06,0.013629218031458506,0.033059361542847686,Gm14230
ENSMUSG00000039194,0.02331970705485503,2.5665908243909907e-06,3.002713138303993e-06,0.01360242097119808,0.03303258878253797,Rlbp1
ENSMUSG00000105589,0.023313589336158298,2.5821557037631982e-06,3.0207789030730475e-06,0.013596301056738352,0.033026474413791286,Fbxw14
ENSMUSG00000074764,0.02330962692894865,2.5922852750568564e-06,3.0323401816759223e-06,0.013592337227735552,0.033022514175934874,Sel1l2
ENSMUSG00000029922,0.02327984232714758,2.669657366727545e-06,3.1222515918589384e-06,0.013562541948383189,0.032992745870954104,Mkrn1
ENSMUSG00000022191,0.02326832849943768,2.7001570462235462e-06,3.1576211383129557e-06,0.013551023997679143,0.03298123833848436,Drosha
ENSMUSG00000002661,0.02326479404080642,2.7095865755549078e-06,3.1684973139180843e-06,0.013547488273908566,0.032977705811818595,Alkbh7
ENSMUSG00000100586,0.023240921748241668,2.7741075906808036e-06,3.243636992399042e-06,0.013523607442756182,0.03295384656169956,Vmn1r90
ENSMUSG00000047033,0.023205714807247115,2.871960449102827e-06,3.35725243757428e-06,0.013488387929252724,0.03291865883554703,Pcdhb15
ENSMUSG00000029636,0.02320487278096022,2.8743408185845135e-06,3.359875060840172e-06,0.01348754560257083,0.0329178172685168,Wasf3
ENSMUSG00000061601,0.023197324623070423,2.8957638203489453e-06,3.3844334420529964e-06,0.013479994752472647,0.03291027322691636,Pclo
ENSMUSG00000021156,0.023196239215534042,2.8988569679291873e-06,3.387887294202085e-06,0.013478908957894109,0.03290918841120179,Zmynd11
ENSMUSG00000026478,0.023186076988959508,2.9279710291390405e-06,3.421587087454627e-06,0.013468743108713939,0.03289903172450247,Lamc1
ENSMUSG00000074227,0.02318528345553233,2.930256216241878e-06,3.424094551481157e-06,0.013467949292494468,0.03289823862358071,Spint2
ENSMUSG00000031595,0.023169785142853942,2.9752322242474233e-06,3.4763194960130744e-06,0.013452445459122756,0.03288274875561033,Pdgfrl
ENSMUSG00000086308,0.02316475527708828,2.989970670618764e-06,3.4930414876775735e-06,0.013447413802660093,0.03287772162951095,G630016G05Rik
ENSMUSG00000026313,0.023155969714367054,3.0158821769579146e-06,3.523145035384247e-06,0.013438625113345867,0.03286894085092934,Hdac4
ENSMUSG00000067526,0.023149256252901755,3.0358274302866033e-06,3.5461075725960645e-06,0.013431909263715899,0.032862231044239375,Olfr1425
ENSMUSG00000045471,0.02314436848395892,3.0504282031533494e-06,3.562993018259802e-06,0.01342701975660943,0.03285734593562311,Hcrt
ENSMUSG00000029267,0.02312870785817976,3.09766477264648e-06,3.617478381754964e-06,0.013411353564807684,0.03284169383052115,Mtf2
ENSMUSG00000032329,0.02312073208220266,3.1219906799778763e-06,3.645712969075711e-06,0.013403374955953045,0.03283372239219555,Hmg20a
ENSMUSG00000023914,0.023111113968735594,3.151569429145521e-06,3.6800785990859333e-06,0.013393753427920324,0.03282410950792692,Mep1a
ENSMUSG00000030775,0.023097117575228455,3.195093397936653e-06,3.730723978986099e-06,0.013379752068711103,0.03281012072080145,Trat1
ENSMUSG00000108634,0.0230856085072138,3.231313999611488e-06,3.772299049900682e-06,0.013368238920313668,0.032798617904572884,Gm44783
ENSMUSG00000058093,0.023080948141275582,3.2460925403365577e-06,3.7893716265853543e-06,0.0133635769028393,0.032793960069437945,Zfp729b
ENSMUSG00000044715,0.023078342123077456,3.254384751153474e-06,3.79887103172729e-06,0.013360969961307038,0.03279135546624935,Gskip
ENSMUSG00000003873,0.023073252664305315,3.2706377536562347e-06,3.817661791754677e-06,0.013355878699677843,0.03278626877055898,Bax
ENSMUSG00000029433,0.023068067277114145,3.2872771457544525e-06,3.836719361217119e-06,0.013350691476166745,0.032781086198011886,Diablo
ENSMUSG00000053644,0.02306687344714427,3.2911195083938938e-06,3.8410213514325655e-06,0.013349497223495614,0.03277989301598261,Aldh7a1
ENSMUSG00000075040,0.023059180803487407,3.3159819058950614e-06,3.869853966799864e-06,0.013341801856757173,0.03277220454677569,Zfp408
ENSMUSG00000026187,0.023057618334859722,3.321053718674405e-06,3.87558871148315e-06,0.01334023883517945,0.03277064292588864,Xrcc5
ENSMUSG00000031938,0.02305138025458114,3.341376923457025e-06,3.89912006771468e-06,0.013333998547747918,0.03276440822970082,4931406C07Rik
ENSMUSG00000001472,0.023031798927343857,3.405949098600777e-06,3.973715180994406e-06,0.013314410297177141,0.03274483752021013,Tcf25
ENSMUSG00000026641,0.023029373570995697,3.4140298427908085e-06,3.982953703977188e-06,0.01331198408381936,0.03274241347846479,Usf1
ENSMUSG00000023330,0.0230203330974554,3.4443129554439375e-06,4.017710551219097e-06,0.01330294041679878,0.032733377904076745,Dtwd1
ENSMUSG00000025461,0.023010203507216546,3.478550278959468e-06,4.057069329201123e-06,0.013292807250245887,0.03272325380131081,Cd163l1
ENSMUSG00000037813,0.023010136370794274,3.4787782803202276e-06,4.057142520350666e-06,0.013292740090127347,0.0327231867012515,D630003M21Rik
ENSMUSG00000024143,0.023009199313017276,3.481962109385581e-06,4.06046992066281e-06,0.013291802701618434,0.0327222501510021,Rhoq
ENSMUSG00000020793,0.022993541673879816,3.5355770442824324e-06,4.12279684593789e-06,0.013276139538688194,0.0327066009898039,Galr2
ENSMUSG00000038957,0.022983177730605427,3.571499680744742e-06,4.164488039591798e-06,0.013265771941784726,0.03269624265554033,Edc3
ENSMUSG00000034422,0.022982100183059514,3.5752546049350744e-06,4.168668426668849e-06,0.01326469401448796,0.03269516569104806,Parp14
ENSMUSG00000022456,0.02297548003889598,3.598406976692096e-06,4.195464340950914e-06,0.013258071537739335,0.032688549128504434,Sept3
ENSMUSG00000061815,0.022972492308928838,3.6089028584907902e-06,4.207501922297635e-06,0.013255082755334982,0.03268556301467541,Rufy4
ENSMUSG00000108726,0.022972429509571096,3.609123786981059e-06,4.2075596969591145e-06,0.013255019933857835,0.03268550024928556,Gm45106
ENSMUSG00000028044,0.02296982364572468,3.6183026710660963e-06,4.217659743626967e-06,0.013252413152232684,0.03268289579487153,Cks1b
ENSMUSG00000030471,0.022966059814978967,3.6315998896580468e-06,4.232958625659151e-06,0.013248647996108373,0.03267913399963439,Zdhhc13
ENSMUSG00000097069,0.022957412622997237,3.662327195719331e-06,4.268571436472871e-06,0.013239997760186755,0.032670491483078073,Gm16998
ENSMUSG00000041440,0.022944809956612536,3.7075567531700033e-06,4.320877837557788e-06,0.013227390660081145,0.03265789562819172,Gk5
ENSMUSG00000086080,0.022930041195801432,3.7612417016768823e-06,4.383027493453454e-06,0.013212616707431067,0.03264313484568488,1700123O12Rik
ENSMUSG00000026659,0.022915003193798175,3.816670602449771e-06,4.447408477994626e-06,0.013197573423298768,0.0326281049630803,Dusp12
ENSMUSG00000022610,0.02289516880615571,3.890976970552186e-06,4.533349147297359e-06,0.013177732075514134,0.03260828127780858,Mapk12
ENSMUSG00000068921,0.022876816239345087,3.9609654480635265e-06,4.614235323631415e-06,0.013159373075367596,0.03258993860699085,Dap3
ENSMUSG00000053279,0.02286620266724946,4.001989833454677e-06,4.661804544810895e-06,0.013148755785764788,0.032579330754914246,Aldh1a1
ENSMUSG00000028757,0.022857179354497353,4.037187397307864e-06,4.70213590980563e-06,0.013139729314232688,0.03257031230341467,Ddost
ENSMUSG00000022568,0.022826600172589365,4.1586882939608304e-06,4.841811219334517e-06,0.01310913943928633,0.03253974958408453,Scrib
ENSMUSG00000034793,0.022810025492862453,4.226001232086446e-06,4.919714663356397e-06,0.01309255897126717,0.03252318381989438,G6pc3
ENSMUSG00000022124,0.02278062011955598,4.347999106120984e-06,5.060539182435762e-06,0.013063143342019719,0.03249379425063497,Fbxl3
ENSMUSG00000003464,0.022779991921236472,4.350641850909137e-06,5.063374986894251e-06,0.013062514924782088,0.03249316638976015,Pex19
ENSMUSG00000025650,0.022765297911256373,4.41289836043967e-06,5.134613551277891e-06,0.013047815796339648,0.03247848027066697,Col7a1
ENSMUSG00000021495,0.022681665412666075,4.783816156258067e-06,5.563557115648148e-06,0.012964154245463115,0.03239489260401406,Fam193b
ENSMUSG00000020790,0.02267355033442944,4.82135588002572e-06,5.6066844866381604e-06,0.012956036355449105,0.03238678186870486,Ankfy1
ENSMUSG00000049556,0.022661566754519823,4.877307338394377e-06,5.671480997075814e-06,0.012944048625715148,0.03237480469968026,Lingo1
ENSMUSG00000004535,0.022642793938027095,4.966209785689937e-06,5.773218875864552e-06,0.012925269313951654,0.03235604192051886,Tax1bp1
ENSMUSG00000049281,0.022627894860979273,5.037869804278551e-06,5.8556918730600285e-06,0.01291036508680066,0.03234115080474292,Scn3b
ENSMUSG00000094429,0.02262680393776672,5.043155536209882e-06,5.861558167251705e-06,0.012909273786662788,0.03234006046429208,Gm19965
ENSMUSG00000032564,0.02260794894070545,5.135355016076374e-06,5.967589755523813e-06,0.012890412278661589,0.03232121553575401,Cpne4
ENSMUSG00000055681,0.02259325641847306,5.208316944329719e-06,6.051803010751692e-06,0.012875714687653993,0.0323065308545057,Cope
ENSMUSG00000030814,0.02258563446225386,5.2465569463452695e-06,6.095947477481854e-06,0.012868090103589273,0.032298912964257236,Bcl7c
ENSMUSG00000039485,0.02257793584866086,5.285454348300344e-06,6.140560978539253e-06,0.012860388836868493,0.03229121845638261,Tspyl4
ENSMUSG00000085515,0.022461098853167407,5.910759967731109e-06,6.864433031915907e-06,0.012743511718045166,0.03217444362945471,C630028M04Rik
ENSMUSG00000001663,0.022435363636050105,6.057709525766613e-06,7.033096149648739e-06,0.012717767698807968,0.032148722070319866,Gstt1
ENSMUSG00000026429,0.022414535420292554,6.1791931364947136e-06,7.173462096894331e-06,0.012696932368686227,0.03212790489892133,Ube2t
ENSMUSG00000031820,0.022353561362408614,6.548380502070652e-06,7.599538574722946e-06,0.012635937532197376,0.03206696312466295,Babam1
ENSMUSG00000024939,0.022340200061770593,6.632053595371166e-06,7.695188084761478e-06,0.012622571687984627,0.03205360888871786,Fam89b
ENSMUSG00000066026,0.022318468047185666,6.770335662427991e-06,7.854152390093179e-06,0.012600832290740677,0.03203188835737379,Dhrs3
ENSMUSG00000028702,0.022305760419049015,6.852468400420257e-06,7.948682045125112e-06,0.012588120349907481,0.032019187439722874,Rad54l
ENSMUSG00000020882,0.022288998785916888,6.962261743063422e-06,8.073750723393781e-06,0.012571353033040501,0.03200243465306703,Cacnb1
ENSMUSG00000032182,0.022273316634612763,7.066506114568799e-06,8.193476180632498e-06,0.01255566556899348,0.03198676077356695,Yipf2
ENSMUSG00000106321,0.022242904313791195,7.272936469068844e-06,8.432031741444881e-06,0.012525242958829055,0.03195636448059903,Gm43674
ENSMUSG00000040164,0.022240851172426215,7.287078463385439e-06,8.448028635047658e-06,0.012523189123476927,0.031954312420629946,Kcns1
ENSMUSG00000026718,0.022236767363561314,7.315285861365973e-06,8.479929106150017e-06,0.012519103934477934,0.03195023076247636,Stam
ENSMUSG00000055531,0.022216265928230124,7.458476885662214e-06,8.645100769369214e-06,0.0124985955755341,0.031929740119196706,Cpsf6
ENSMUSG00000111857,0.022212150843446594,7.487539611575292e-06,8.67837759256935e-06,0.012494479102015864,0.03192562719962913,RP23-392I13.13
ENSMUSG00000023272,0.022210475459642023,7.499402974868545e-06,8.69171742064636e-06,0.012492803152906934,0.031923952697259624,Creld2
ENSMUSG00000101899,0.022181471163053253,7.707652892646565e-06,8.931390118003516e-06,0.012463789078405847,0.03189496365145881,Gm29175
ENSMUSG00000039899,0.022178800458236378,7.72710402010951e-06,8.953506909326947e-06,0.012461117474065198,0.031892294350107125,Fgl2
ENSMUSG00000071176,0.022174031653256026,7.761952683002274e-06,8.993037717572169e-06,0.012456347063242107,0.031887528050806704,Arhgef10
ENSMUSG00000058331,0.022166317025372168,7.81864668172635e-06,9.05829621223789e-06,0.01244862983847861,0.03187981747549523,Zfp85
ENSMUSG00000024897,0.02213878562535084,8.024216714550496e-06,9.295582182487675e-06,0.012421089180340662,0.03185230052857258,Apba1
ENSMUSG00000039307,0.02208421387785991,8.447061665624122e-06,9.779885787720619e-06,0.012366499125321334,0.03179775738597221,Hexdc
ENSMUSG00000111266,0.02207012411893607,8.559646128181197e-06,9.908832653076748e-06,0.012352404649026072,0.031783675003085085,RP23-257K20.1
ENSMUSG00000012405,0.02205084556147088,8.716017264034582e-06,1.0087948704406592e-05,0.012333119643191948,0.03176440653176187,Rpl15
ENSMUSG00000020745,0.022038262191206755,8.819551169775705e-06,1.0206816889952067e-05,0.012320532067891188,0.03175182974096213,Pafah1b1
ENSMUSG00000042254,0.022024027981767787,8.938084370611412e-06,1.0342532164541965e-05,0.01230629310546043,0.03173760297045371,Cilp
ENSMUSG00000078878,0.022010582212846356,9.051448843427242e-06,1.0472229018605421e-05,0.012292842850437673,0.03172416422480141,Gm14305
ENSMUSG00000042699,0.021951079611026058,9.569829564722026e-06,1.1067806089455706e-05,0.01223332043814148,0.0316646926614362,Dhx9
ENSMUSG00000029821,0.021930454619212357,9.756041395391116e-06,1.1282634401302058e-05,0.012212688595627005,0.031644078412223726,Dfna5
ENSMUSG00000038168,0.021921816272570765,9.835056264656743e-06,1.1371870651306977e-05,0.012204047382171132,0.0316354445624407,P3h2
ENSMUSG00000030602,0.021918954214998575,9.86137001327443e-06,1.140122229072866e-05,0.01220118437508597,0.03163258399444827,Pak4
ENSMUSG00000109392,0.021905801796014725,9.983160252639235e-06,1.1541486581098955e-05,0.012188027594719018,0.031619438418695626,Gm5737
