,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000023267,0.003133068398185308,0.34923588031167274,0.3527559687913847,-0.0034269997671192475,0.009692866911898851,Gabrr2
ENSMUSG00000005674,0.0030989554932953412,0.35450812634036455,0.35806662489339436,-0.0034611125985977848,0.009658756869512113,Tomm40l
ENSMUSG00000027848,0.003063972201203944,0.3599668078584789,0.36355018784621035,-0.0034960957995474745,0.009623776497105154,Olfml3
ENSMUSG00000021933,0.0030198197969366295,0.36693110865791545,0.3705533308559205,-0.003540248065863631,0.009579627754852375,Gucy1b2
ENSMUSG00000022783,0.002966306972222004,0.3754836061267499,0.3791434710106504,-0.0035937606890957536,0.00952611933422727,Spag6l
ENSMUSG00000043673,0.0029643372033626336,0.3758007491699117,0.37944809975405785,-0.0035957304498217576,0.009524149726762436,Kcns3
ENSMUSG00000019429,0.002923639312442384,0.38239028508598816,0.38608571285237414,-0.00363642816130497,0.009483455159065166,Ffar3
ENSMUSG00000109193,0.002910973945354465,0.3844553445951583,0.38815476685995254,-0.003649093468117534,0.009470790821745992,Gm44841
ENSMUSG00000071324,0.002832823073789136,0.3973479732692744,0.40103952313192576,-0.0037272439211981185,0.009392646257751526,Armc2
ENSMUSG00000025608,0.0028170640770982932,0.39997898998977943,0.4036783887133253,-0.0037430028237937563,0.009376888523264787,Podxl
ENSMUSG00000046192,0.0028038255750763583,0.4021972765466062,0.40590050697847235,-0.003756241244251772,0.009363651079051948,Iqub
ENSMUSG00000036885,0.0027897256599934733,0.4045680002110149,0.40824271674739376,-0.0037703410699347645,0.009349552288080067,Arhgef26
ENSMUSG00000048807,0.0027611658224509024,0.4093955153195039,0.4130971022572933,-0.003798900718402436,0.009320994719469344,Slc35e4
ENSMUSG00000039942,0.0027518010965232446,0.41098587957088184,0.4146677617828672,-0.0038082653800029006,0.009311630735191303,Ptger4
ENSMUSG00000044934,0.0027091458403398975,0.41827607945709655,0.4219885890380767,-0.003850920328626929,0.009268978842582449,Zfp367
ENSMUSG00000087370,0.002698427316956192,0.42011987931715433,0.4238139237815257,-0.003861638770973394,0.009258261160653933,Tmem170b
ENSMUSG00000056418,0.0026777443182394926,0.423691234585133,0.42738156086829027,-0.00388232160905597,0.009237579781391078,BC043934
ENSMUSG00000028294,0.0026677797215221293,0.4254181527750158,0.4291058907576595,-0.0038922861263800956,0.009227615962886444,Cfap206
ENSMUSG00000042121,0.0026316872310487307,0.4317074764155282,0.4353960713503964,-0.003928378318380557,0.009191526280252126,Ssh1
ENSMUSG00000016624,0.002629361445272631,0.4321145975101084,0.4357887696885677,-0.00393070408433702,0.009189200674825964,Phf21b
ENSMUSG00000036214,0.0026145349402785984,0.43471515035650843,0.43837542085484843,-0.003945530461315826,0.009174375317865276,Znrd1as
ENSMUSG00000038370,0.002604338258168967,0.4365088698702645,0.4401300112137468,-0.003955727053711295,0.009164179423622826,Pcp4l1
ENSMUSG00000044067,0.0025603077229720116,0.44430316655540825,0.44789699631567986,-0.003999757185848265,0.009120152274872334,Gpr22
ENSMUSG00000044952,0.002552459781916689,0.4457007044403507,0.44926894508434906,-0.004007605052391888,0.009112304934741914,Kctd21
ENSMUSG00000027162,0.0025437413391204353,0.4472561911948558,0.45079986888690426,-0.004016323411464039,0.009103587158578383,Lin7c
ENSMUSG00000037712,0.0025247514857895995,0.45065489726956,0.45420685705099495,-0.0040353130789816186,0.009084598753805177,Fermt2
ENSMUSG00000026197,0.002494197534935672,0.45615385958073495,0.45973028859349796,-0.0040658667209387735,0.009054047123695974,Zfand2b
ENSMUSG00000046634,0.0024601551845360088,0.46232484559805886,0.4659114070157017,-0.004099908712748775,0.009020007344580468,Pkd1l1
ENSMUSG00000074623,0.0024328645009420854,0.46730538559834534,0.47087260228230216,-0.004127199097892308,0.008992718711325075,Gm826
ENSMUSG00000097380,0.002368627659677365,0.47914515536830327,0.4827631260096267,-0.004191435198094882,0.008928486657583851,Gm26816
ENSMUSG00000099150,0.002332624207732788,0.48585204699312,0.48948048657263366,-0.004227438211013996,0.008892485865276602,Gm27243
ENSMUSG00000028101,0.0023274336687469084,0.48682313663373833,0.4904387038132019,-0.004232628685303878,0.0088872957083223,Pias3
ENSMUSG00000046178,0.0023212615813776017,0.4879792261615443,0.49158320862950255,-0.004238800695282895,0.008881124074768003,Nxph1
ENSMUSG00000027803,0.00232006105763903,0.4882042673852479,0.4917897334280805,-0.0042400012039103315,0.008879923639242272,Wwtr1
ENSMUSG00000096948,0.0023190372737285254,0.4883962224865579,0.4919629135345027,-0.004241024974919408,0.00887889993054307,Gm4221
ENSMUSG00000023349,0.0023077760355849084,0.4905103393951805,0.4940721990904809,-0.004252286070244617,0.008867639518788049,Clec4n
ENSMUSG00000101559,0.0022863989461826668,0.4945370416938838,0.49808727274349734,-0.00427366288395918,0.008846263993533962,Gm28258
ENSMUSG00000089687,0.002256475721169136,0.5002030908586099,0.503752667737011,-0.004303585713000498,0.008816342947914767,Rab42
ENSMUSG00000027584,0.002254985275667995,0.5004862086126982,0.5040171203387599,-0.004305076138471522,0.008814852610659932,Oprl1
ENSMUSG00000045776,0.0022289412375980874,0.5054470911372266,0.5089921242607436,-0.004331119821831023,0.0087888104593817,Lrtm1
ENSMUSG00000049709,0.002217385533065015,0.5076564925488982,0.5111960546739623,-0.0043426753661293,0.008777255589165534,Nlrp10
ENSMUSG00000026147,0.002156356345943499,0.5194085726552404,0.5230086238703795,-0.004403703677942709,0.008716230779268168,Col9a1
ENSMUSG00000105912,0.002076899409458137,0.5349169244083959,0.5385361187548667,-0.004483159401594319,0.008636779468488443,Gm10440
ENSMUSG00000055817,0.002075282950910812,0.535234830499637,0.5388340806309286,-0.004484775834608261,0.008635163123529901,Mta3
ENSMUSG00000067780,0.0020643435260316767,0.5373887682580132,0.5409359615542921,-0.004495715085788522,0.00862422446646481,Pi15
ENSMUSG00000037458,0.0020633983336209387,0.5375750778106151,0.541101316431872,-0.004496660263117573,0.008623279340321354,Azin1
ENSMUSG00000079416,0.002037533417585399,0.5426859418804977,0.5462233118128142,-0.0045225247618981635,0.008597416233122147,Gm11111
ENSMUSG00000098950,0.0020253147597419532,0.545108721235561,0.5486393918084567,-0.00453474321957666,0.008585198426725674,Gm28036
ENSMUSG00000085499,0.0019652420353173535,0.557097784575656,0.5606831238738064,-0.004594814931407052,0.008525129859932725,Gm15713
ENSMUSG00000025591,0.0019555453339287284,0.5590449835291833,0.5626197915891338,-0.004604511464908689,0.008515433825214849,Tma16
ENSMUSG00000021509,0.0019152041097049233,0.5671812087602144,0.5707378596450995,-0.004644851977429721,0.008475095361303068,Slc25a48
ENSMUSG00000034438,0.0018898444944720806,0.5723247396195714,0.5758900412762179,-0.004670211134336541,0.008449737470350067,Gbp8
ENSMUSG00000102422,0.0018893036735839973,0.5724346717701745,0.5759770526331431,-0.004670751945358443,0.008449196686142212,Gm21949
ENSMUSG00000079227,0.0018394921146857755,0.5826025549110037,0.5861117774298283,-0.004720562579092526,0.008399388489173579,Ccr5
ENSMUSG00000056025,0.00182542316115122,0.5854895993859451,0.588967945430562,-0.004734631265424796,0.00838532047929914,Clca3a1
ENSMUSG00000048981,0.0017603570799625688,0.5989272115736828,0.6023126443252667,-0.004799696077079388,0.00832025872857397,Krt31
ENSMUSG00000022361,0.0017527297480977929,0.6005115411096252,0.6038811942381126,-0.004807323256486598,0.008312631900708196,Zhx1
ENSMUSG00000047692,0.0017272857456913137,0.6058103504794423,0.6091847855902387,-0.004832766744790188,0.008287189574071468,4930533K18Rik
ENSMUSG00000020124,0.0017259012216529444,0.6060992823696307,0.6094503657590684,-0.004834151240610212,0.00828580514097571,Usp15
ENSMUSG00000030769,0.0017139565404396485,0.6085945354357569,0.611934353100938,-0.004846095677331407,0.008273861243305747,Slc5a11
ENSMUSG00000033278,0.001713425319826683,0.6087056140066279,0.6120209769069466,-0.0048466268870275015,0.008273330057496147,Ptprm
ENSMUSG00000063651,0.0016671581619051804,0.6184145018036861,0.6217572828945168,-0.004892893079930105,0.008227065916603592,Cnfn
ENSMUSG00000027488,0.0016639409525492606,0.6190921244914274,0.6224130805664602,-0.004896110221138614,0.008223848915993967,Snta1
ENSMUSG00000109394,0.0016628790247634544,0.6193158634785288,0.6226125247778577,-0.004897172126400698,0.008222787057080766,RP23-54G8.4
ENSMUSG00000001494,0.0016496836356180004,0.6220989542674946,0.6253848227152901,-0.00491036723443491,0.008209592522504137,Sost
ENSMUSG00000029638,0.0016120509281527498,0.6300658358226663,0.6332900643189135,-0.004947999127634635,0.008171962239687035,Glcci1
ENSMUSG00000024410,0.0015727591198409067,0.6384300997893981,0.6416708617172631,-0.004987290065955305,0.008132672943091876,3110002H16Rik
ENSMUSG00000020357,0.0015239682135793906,0.6488807820176368,0.6521212018050355,-0.005036079863706428,0.008083885127583545,Flt4
ENSMUSG00000070972,0.0015137328508961427,0.6510820174570773,0.6542798662658056,-0.005046314989883015,0.008073650409315939,Dnajc25
ENSMUSG00000035047,0.0014842190840369995,0.6574463002441053,0.6606483675190633,-0.005075828067077188,0.00804413849294022,Kri1
ENSMUSG00000037400,0.001470098576798907,0.6605000577370753,0.6636898345567928,-0.00508994824031155,0.00803001886700212,Atp11b
ENSMUSG00000053916,0.0014206621083391775,0.671235721814992,0.674449741845782,-0.005139383518799245,0.007980585463399165,Nanp
ENSMUSG00000041957,0.0014151059236374435,0.6724465634137465,0.6756387307633943,-0.005144939567755167,0.007975029621153663,Pkp2
