,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000041130,0.038656763913679525,6.942810880016414e-31,7.764057969763743e-31,0.032104907611646895,0.04520529811017193,Zfp598
ENSMUSG00000024227,0.03859720441315018,8.542025767639936e-31,9.548090901301877e-31,0.03204532048008593,0.0451457713438459,Pdzph1
ENSMUSG00000058446,0.038495450854715854,1.216314616530022e-30,1.3590750678125472e-30,0.03194351982357351,0.04504407360209233,Znrf2
ENSMUSG00000002395,0.038235408130618556,2.9886364470360685e-30,3.33653155909556e-30,0.031683357352633654,0.04478417290714633,Use1
ENSMUSG00000030007,0.03820736583070877,3.291692982369973e-30,3.673863355902699e-30,0.03165530219258322,0.04475614587032066,Cct7
ENSMUSG00000040430,0.03813246026355081,4.259075287063344e-30,4.751832066162829e-30,0.031580362324509746,0.04468128102280906,Pitpnc1
ENSMUSG00000059796,0.038038824261403564,5.8733505129559664e-30,6.550193131687253e-30,0.03148668354796688,0.04458769581897282,Eif4a1
ENSMUSG00000026036,0.03789410963898949,9.636626778025307e-30,1.0742268361138585e-29,0.03134190304407413,0.04444305947935276,Nif3l1
ENSMUSG00000072568,0.03785094032418015,1.1166463651067189e-29,1.2444803248343241e-29,0.03129871412963484,0.044399913463645975,Fam84b
ENSMUSG00000043969,0.03783152778425737,1.193074847850392e-29,1.3295376572450449e-29,0.03127929278405187,0.04438051139298802,Emx2
ENSMUSG00000025372,0.03777994152672498,1.422333854807013e-29,1.5849471612227925e-29,0.031227683150685342,0.044328952932134846,Baiap2
ENSMUSG00000042846,0.03775957295039394,1.5244501638079934e-29,1.6984299324687504e-29,0.031207305354144052,0.044308595321576986,Lrrtm3
ENSMUSG00000041798,0.03775735185658228,1.5360161876251003e-29,1.711238290161152e-29,0.031205083255242842,0.04430637542320047,Gck
ENSMUSG00000045095,0.03769987847128806,1.8675382349874806e-29,2.0802957554290924e-29,0.031147583884609868,0.04424893294869226,Magi1
ENSMUSG00000033940,0.03756793503542165,2.921683503537548e-29,3.25261509834288e-29,0.03101558095745816,0.04411706031185655,Brk1
ENSMUSG00000030744,0.03754314304358421,3.177449515684268e-29,3.536709606903624e-29,0.03099077781279776,0.04409228159758973,Rps3
ENSMUSG00000049091,0.03751456080254739,3.499987519488858e-29,3.895185783894222e-29,0.03096218272388677,0.044063714654025234,Sephs2
ENSMUSG00000022571,0.037151623332397375,1.187078818902877e-28,1.319322763193311e-28,0.030599083044155935,0.043700970499840244,Pycrl
ENSMUSG00000042564,0.03714099691880277,1.2300781103755225e-28,1.367050414898598e-28,0.030588451907300432,0.043690349720305784,Fam227a
ENSMUSG00000097461,0.037100549379047734,1.4083555954631902e-28,1.5648962065447251e-28,0.030547986402859946,0.04364992361205009,Gm26735
