,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000072872,0.06977827763128122,7.863254064027527e-97,8.509283047426121e-97,0.06324723102628747,0.07630334785959822,Rybp
ENSMUSG00000030711,0.06972252716604761,1.1160454093096725e-96,1.2076842033307364e-96,0.06319143190871232,0.07624765077495962,Sult1a1
ENSMUSG00000003308,0.06966211622691174,1.6305576853475619e-96,1.764365460143382e-96,0.06313096829622589,0.07618729763281358,Keap1
ENSMUSG00000041560,0.06964643516227935,1.7990883575545449e-96,1.9466404016869766e-96,0.0631152735668378,0.07617163156291813,Gltscr2
ENSMUSG00000039716,0.06962895303449092,2.007537234841643e-96,2.171898043087689e-96,0.06309777620862385,0.07615416614830312,Dock3
ENSMUSG00000005621,0.06955828825599344,3.1260103452776053e-96,3.3816446068582907e-96,0.06302704990790407,0.07608356888557803,Zfp592
ENSMUSG00000038700,0.06955350229122259,3.2211366376785583e-96,3.484396472145392e-96,0.06302225977874498,0.07607878749113141,Hoxb5
ENSMUSG00000026342,0.06954067703411745,3.4905337250242488e-96,3.7756447271475616e-96,0.06300942336354494,0.07606597447993801,Slc35f5
ENSMUSG00000025157,0.06948421364628378,4.9703419758601894e-96,5.3760886466945406e-96,0.06295291087772872,0.07600956497928711,Zdhhc16
ENSMUSG00000046318,0.06947436693391787,5.28617406415725e-96,5.717199490030783e-96,0.06294305560740053,0.0759997276600891,Ccbe1
ENSMUSG00000032911,0.06939424348467817,8.723853018796198e-96,9.433934078465657e-96,0.06286286256872108,0.07591968059655022,Cspg4
ENSMUSG00000053617,0.0693522022562631,1.1343985310301911e-95,1.226679265970194e-95,0.0628207848600686,0.07587767941450137,Sh3pxd2a
ENSMUSG00000108869,0.06925652786972869,2.060958652761434e-95,2.2283185151752126e-95,0.06272502754099663,0.07578209607627831,Gm44532
ENSMUSG00000097084,0.0692508732388419,2.1349296631761683e-95,2.3081946844995942e-95,0.0627193680123225,0.07577644682285462,Foxl1
ENSMUSG00000074882,0.06918878922550613,3.1437008523087944e-95,3.398685307172414e-95,0.06265723025222691,0.07571442182286868,Cyp2c68
ENSMUSG00000038776,0.06912091813097383,4.797226833584941e-95,5.1858714872392336e-95,0.06258930045893675,0.07564661518476021,Ephx1
ENSMUSG00000017466,0.06911414393557865,5.00380372277956e-95,5.4089459341207135e-95,0.06258252040815608,0.07563984741943057,Timp2
ENSMUSG00000075520,0.06909536808367489,5.623933377062633e-95,6.079017886485945e-95,0.0625637283301919,0.0756210893864209,Malrd1
ENSMUSG00000035629,0.06908256838354158,6.090067927632566e-95,6.582581895629968e-95,0.06255091757123347,0.07560830183097172,Rubcn
ENSMUSG00000091971,0.06907999048756379,6.188512353249415e-95,6.688693224906658e-95,0.06254833744823728,0.07560572638070814,Hspa1a
ENSMUSG00000032815,0.06904187086304434,7.843952456241302e-95,8.477559567972727e-95,0.06251018490274801,0.07556764291106445,Fanca
ENSMUSG00000025745,0.06901836715662385,9.077834456819943e-95,9.810678386470782e-95,0.06248666090750898,0.07554416148744227,Hadha
ENSMUSG00000037379,0.06893656749383918,1.5087849966771609e-94,1.6303723092477292e-94,0.06240479069037735,0.07546243931878151,Spon2
ENSMUSG00000043456,0.06892126226887887,1.659136550621366e-94,1.7927612266022262e-94,0.062389472274022875,0.07544714858371718,Zfp536
ENSMUSG00000040405,0.0688836699173029,2.0949419381274367e-94,2.2635661868989493e-94,0.0623518475351013,0.07540959180887336,Havcr1
