,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000031748,0.02972727890245528,6.434705722858114e-19,7.365949967717849e-19,0.0231717999251522,0.036280201598784645,Gnao1
ENSMUSG00000003099,0.029723751784237903,6.496034794305635e-19,7.435808022275722e-19,0.023168271582804812,0.03627667600746159,Ppp5c
ENSMUSG00000028017,0.029718047732314706,6.596440167195927e-19,7.550386899067338e-19,0.023162565551565425,0.036270974424485104,Egf
ENSMUSG00000102343,0.029716968274497546,6.615613050701245e-19,7.571979470459044e-19,0.023161485719222538,0.03626989543385338,Gm37381
ENSMUSG00000022269,0.02971482884060018,6.653775595149896e-19,7.615303860344968e-19,0.02315934554307825,0.036267756925850124,March11
ENSMUSG00000048583,0.0297146780422374,6.656473677293065e-19,7.618036718636057e-19,0.02315919469240034,0.03626760619274688,Igf2
ENSMUSG00000008540,0.0297070600990378,6.794189249061806e-19,7.775283604128156e-19,0.02315157410676395,0.03625999154590242,Mgst1
ENSMUSG00000038276,0.02970442710126875,6.842439456903909e-19,7.830136264083187e-19,0.023148940195863832,0.03625735968727914,Asic3
ENSMUSG00000020439,0.029650235473949887,7.914182483657188e-19,9.055317752761267e-19,0.02309472979494737,0.036203191485353114,Smtn
ENSMUSG00000106438,0.029648699405522453,7.94686229164728e-19,9.092285893309289e-19,0.023093193194941825,0.03620165608036016,Gm42749
ENSMUSG00000025868,0.029606249078876067,8.90466125631931e-19,1.0186713408123738e-18,0.02305072819001773,0.036159224075948924,Higd2a
ENSMUSG00000015970,0.0296050552666287,8.93318374850811e-19,1.0218866299835584e-18,0.023049533965321466,0.036158030778628315,Chdh
ENSMUSG00000023909,0.029603849497960077,8.962083493563436e-19,1.0251447723349306e-18,0.023048327780092123,0.036156825530024625,Paqr4
ENSMUSG00000048458,0.029594122899494892,9.198611541953118e-19,1.0521514585512833e-18,0.02303859782204609,0.03614710312608064,Fam212b
ENSMUSG00000022902,0.029576988175188047,9.63037802927271e-19,1.1013836471711552e-18,0.023021457182402214,0.03612997578797518,Stfa2
ENSMUSG00000093658,0.029567948773635926,9.866159109348897e-19,1.1282963270424058e-18,0.023012414661774647,0.0361209402814529,Gm20617
ENSMUSG00000018547,0.02955641464577442,1.0175306043240869e-18,1.1635962458018157e-18,0.023000876555581633,0.03610941112202976,Pip4k2b
ENSMUSG00000024727,0.02955455461322632,1.0226048040057518e-18,1.1693443783684606e-18,0.02299901588163783,0.03610755189054554,Trpm6
ENSMUSG00000026687,0.02954279892834544,1.055257572522829e-18,1.2066264866142183e-18,0.022987256144090425,0.03609580126745926,Aldh9a1
ENSMUSG00000004040,0.029529518398369682,1.0933856728712739e-18,1.2501655586241101e-18,0.022973971037953855,0.03608252645367022,Stat3
ENSMUSG00000018334,0.02952129830231179,1.1176637498698636e-18,1.2778653435226269e-18,0.022965748110602653,0.03607430989453565,Ksr1
ENSMUSG00000048799,0.029520874644509754,1.118929349542466e-18,1.2791932105590718e-18,0.02296532430690184,0.03607388641900008,Cep120
ENSMUSG00000022148,0.02951967609794659,1.1225174576206e-18,1.2832354900358976e-18,0.022964125347597387,0.036072688388063996,Fyb
