,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000017760,-0.16459667100300673,6.295659667523447e-246,9.325521652382531e-246,-0.17403858905303718,-0.15512449152328553,Ctsa
ENSMUSG00000032473,-0.1646959118954027,3.158807464383633e-246,4.682489570684307e-246,-0.1741375037047211,-0.15522404142773483,Cldn18
ENSMUSG00000020258,-0.1648226578265733,1.3083103808566263e-246,1.9414013664588606e-246,-0.17426383269910725,-0.15535118229470887,Glyctk
ENSMUSG00000049493,-0.164972074286191,4.624030035409113e-247,6.866691469274002e-247,-0.174412757247022,-0.1555010647336782,Pls1
ENSMUSG00000022848,-0.16544519621902126,1.7055445539225538e-248,2.5353717168463712e-248,-0.17488431870985224,-0.15597566505019733,Dirc2
ENSMUSG00000042797,-0.1654529891639447,1.6151772783052518e-248,2.4013935151728395e-248,-0.17489208591551686,-0.15598348238266052,Aqp11
ENSMUSG00000036825,-0.16558118964076474,6.59331105622395e-249,9.808555573079365e-249,-0.1750198627913134,-0.15611208422522685,Ssx2ip
ENSMUSG00000037904,-0.1660824507298788,1.970426484985673e-250,2.9334918639060195e-250,-0.1755194645576413,-0.15661491772731295,Ankrd9
ENSMUSG00000076441,-0.16613644435305025,1.3491119795848787e-250,2.0094012207102752e-250,-0.1755732791559298,-0.15666908101664734,Ass1
ENSMUSG00000017688,-0.16615667317464775,1.1705726281696974e-250,1.7437399496047928e-250,-0.1755934408909653,-0.15668937341868458,Hnf4g
ENSMUSG00000027340,-0.16616214573034221,1.1264677006081722e-250,1.6782891844579442e-250,-0.1755988952961973,-0.1566948631763344,Slc23a2
ENSMUSG00000006179,-0.1665864874634228,5.709327594778694e-252,8.521384469818945e-252,-0.17602182787905463,-0.15712054052963068,Prss16
ENSMUSG00000032849,-0.1667172907528584,2.2732365414890157e-252,3.395931493111765e-252,-0.1761521960957388,-0.15725175623305465,Abcc4
ENSMUSG00000036553,-0.16686696413273333,7.917605916424244e-253,1.1833217630285822e-252,-0.1763013712318662,-0.15740190193305773,Sh3tc1
ENSMUSG00000040111,-0.16689285807893917,6.596368453861447e-253,9.860042531930414e-253,-0.17632717893642913,-0.157427877636472,Gramd1b
ENSMUSG00000034341,-0.1669389557409276,4.765605614596735e-253,7.124541208845469e-253,-0.17637312303475294,-0.15747412087903084,Wbp2
ENSMUSG00000021708,-0.1669391712701017,4.7583664284304105e-253,7.114782339160303e-253,-0.17637333784584505,-0.157474337088963,Rasgrf2
ENSMUSG00000068874,-0.16709910704631925,1.5391638832954993e-253,2.302758652446887e-253,-0.17653274051374598,-0.15763477827928807,Selenbp1
ENSMUSG00000001249,-0.1671120796704528,1.404442932432186e-253,2.1015156852194913e-253,-0.17654566987499062,-0.1576477919202052,Hpn
ENSMUSG00000022580,-0.16725478630273605,5.124750657294883e-254,7.676379055264953e-254,-0.17668790037471144,-0.15779094997865295,Rhpn1
ENSMUSG00000061186,-0.16771115386697527,2.026825338739924e-255,3.0437383071631234e-255,-0.17714274265017535,-0.15824876384797182,Sfmbt2
ENSMUSG00000054065,-0.16773982430558798,1.6540448176274375e-255,2.4842968122971427e-255,-0.1771713171308709,-0.15827752528381966,Pkp3
ENSMUSG00000026638,-0.16783580696986516,8.373803318472346e-256,1.2580834312608693e-255,-0.1772669784322815,-0.15837381270476983,Irf6
ENSMUSG00000027068,-0.16788629232875962,5.852695891978739e-256,8.794434097638977e-256,-0.1773172946878859,-0.15842445843306335,Dhrs9
ENSMUSG00000022376,-0.16802342969965206,2.2106681607336112e-256,3.3238132021254116e-256,-0.17745397246128333,-0.15856203167934152,Adcy8
ENSMUSG00000029922,-0.1683429857728561,2.27930698010873e-257,3.431141020786888e-257,-0.17777245617367315,-0.1588826048502531,Mkrn1
ENSMUSG00000070777,-0.16836559195088002,1.940543521218642e-257,2.9216252954210204e-257,-0.1777949864154587,-0.15890528305580576,Ceacam20
ENSMUSG00000105961,-0.16845277813680357,1.0430903147765411e-257,1.5713924597417011e-257,-0.17788187964235422,-0.15899274712678826,Gm42754
ENSMUSG00000001247,-0.16846374404712097,9.647214719463372e-258,1.4535505076786759e-257,-0.17789280869511206,-0.15900374799882788,Lsr
ENSMUSG00000055401,-0.16864098663884555,2.7278601560039266e-258,4.112558655214724e-258,-0.17806945523350154,-0.15918155600455333,Fbxo6
ENSMUSG00000043760,-0.16930933579372184,2.2995485023721327e-260,3.4741630191450865e-260,-0.17873555131507732,-0.15985204275152542,Pkhd1
