,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000071262,0.5295671940440927,0.0,0.0,0.522536628291949,0.5365257495528265,Zfp957
ENSMUSG00000054206,0.529494681380712,0.0,0.0,0.5224633702681463,0.5364539844263292,Gzmm
ENSMUSG00000019055,0.5294886611821272,0.0,0.0,0.5224572881923784,0.5364480262857652,Plod1
ENSMUSG00000031584,0.5294452000654237,0.0,0.0,0.522413380392124,0.5364050131587641,Gsr
ENSMUSG00000015134,0.5294394016270086,0.0,0.0,0.5224075223614868,0.5363992744869194,Aldh1a3
ENSMUSG00000027202,0.5294220812829842,0.0,0.0,0.5223900240152493,0.5363821326660185,Slc12a1
ENSMUSG00000091043,0.5293937427119582,0.0,0.0,0.5223613942198033,0.5363540861720849,Glyatl3
ENSMUSG00000032220,0.5293755973997611,0.0,0.0,0.5223430624436499,0.5363361278700676,Myo1e
ENSMUSG00000027215,0.5291227324873409,0.0,0.0,0.5220875997298208,0.5360858683915407,Cd82
ENSMUSG00000041842,0.529045779854831,0.0,0.0,0.5220098567768776,0.5360097084098195,Fhdc1
ENSMUSG00000037031,0.5290324657561102,0.0,0.0,0.5219964059513025,0.535996531441504,Tspan15
ENSMUSG00000027544,0.5290195930597948,0.0,0.0,0.5219834010643667,0.5359837913260824,Nfatc2
ENSMUSG00000063234,0.5290004914200552,0.0,0.0,0.5219641032745789,0.5359648864156961,Gpr84
ENSMUSG00000097033,0.5289401515312107,0.0,0.0,0.521903143817548,0.5359051679264333,Gm26819
ENSMUSG00000020738,0.5288153454346157,0.0,0.0,0.5217770564437514,0.5357816469019991,Sumo2
ENSMUSG00000024413,0.5287429707670074,0.0,0.0,0.5217039389083414,0.5357100173071557,Npc1
ENSMUSG00000097206,0.5287030303142527,0.0,0.0,0.5216635885432159,0.5356704879849407,Gm26699
ENSMUSG00000037159,0.528682206828061,0.0,0.0,0.5216425513562483,0.5356498788350127,Wee2
ENSMUSG00000031538,0.5286081859875178,0.0,0.0,0.5215677709470192,0.5355766198242152,Plat
ENSMUSG00000025077,0.5285949165341278,0.0,0.0,0.5215543653398799,0.5355634869302539,Dclre1a
ENSMUSG00000026875,0.528492892891884,0.0,0.0,0.5214512949807644,0.5354625131275158,Traf1
ENSMUSG00000066704,0.5284854354784143,0.0,0.0,0.5214437610656318,0.5354551324442026,Cyp2b19
ENSMUSG00000067206,0.5284509843875158,0.0,0.0,0.5214089565734533,0.5354210358105902,Lrrc66
ENSMUSG00000019577,0.528398077523848,0.0,0.0,0.5213555070337438,0.5353686732460672,Pdk4
ENSMUSG00000033389,0.5283933978907677,0.0,0.0,0.5213507794034123,0.535364041753883,Arhgap44
ENSMUSG00000006546,0.5282959241078778,0.0,0.0,0.5212523059665715,0.5352675706199572,Cryba2
ENSMUSG00000036856,0.5282554048558085,0.0,0.0,0.5212113712196937,0.5352274681093795,Wnt4
ENSMUSG00000063011,0.528253389987145,0.0,0.0,0.5212093356908959,0.5352254739628689,Msln
ENSMUSG00000024137,0.528241461750175,0.0,0.0,0.5211972851453727,0.5352136684016578,E4f1
ENSMUSG00000025903,0.5282398407305083,0.0,0.0,0.5211956475044749,0.5352120640531314,Lypla1
ENSMUSG00000026580,0.5282140352668961,0.0,0.0,0.5211695774498399,0.5351865239752692,Selp
ENSMUSG00000039529,0.5281744487980431,0.0,0.0,0.5211295851148081,0.5351473445925091,Atp8b1
ENSMUSG00000026435,0.5280058167297326,0.0,0.0,0.5209592244676379,0.5349804463102115,Slc45a3
ENSMUSG00000007833,0.5279940645143573,0.0,0.0,0.5209473518059996,0.5349688149046278,Aldh16a1
ENSMUSG00000046145,0.5279809343610707,0.0,0.0,0.5209340870874465,0.534955819722858,1700018M17Rik
ENSMUSG00000029009,0.5277904926518886,0.0,0.0,0.5207416940061593,0.5347673352896941,Mthfr
ENSMUSG00000052417,0.5277445740876806,0.0,0.0,0.520695305041828,0.5347218885523858,Olfr720
ENSMUSG00000056153,0.527734066524904,0.0,0.0,0.5206846898430618,0.534711488952266,Socs6
ENSMUSG00000108905,0.5277197065407673,0.0,0.0,0.520670182763533,0.5346972765100623,Gm44618
ENSMUSG00000041180,0.5276874228144024,0.0,0.0,0.5206375683561659,0.5346653244690517,Hectd2
ENSMUSG00000071477,0.5274255679679336,0.0,0.0,0.5203730321005381,0.5344061592011262,Zfp777
ENSMUSG00000039168,0.5273739777500481,0.0,0.0,0.5203209137553745,0.5343550987248734,Dap
ENSMUSG00000028962,0.5272878509401223,0.0,0.0,0.520233905385346,0.5342698561736656,Slc4a2
ENSMUSG00000033855,0.5272076057532188,0.0,0.0,0.5201528389720922,0.5341904347314292,Ston1
ENSMUSG00000051081,0.5271750081449458,0.0,0.0,0.5201199077973785,0.5341581717136998,Gm4847
ENSMUSG00000032786,0.5271288814181055,0.0,0.0,0.5200733090984971,0.5341125184091265,Alas1
ENSMUSG00000026211,0.5270757655809027,0.0,0.0,0.5200196498281954,0.5340599476765617,Obsl1
ENSMUSG00000024335,0.5269836824623058,0.0,0.0,0.519926624730569,0.5339688094388164,Brd2
ENSMUSG00000062312,0.5268815074314133,0.0,0.0,0.5198234046797221,0.5338676826536577,Erbb2
ENSMUSG00000036123,0.5266876613009431,0.0,0.0,0.5196275765072368,0.5336758247022793,Slc9a3
ENSMUSG00000034968,0.526619569065665,0.0,0.0,0.519558788217077,0.5336084306829764,Lbx2
ENSMUSG00000037720,0.5266069232869414,0.0,0.0,0.5195460131802996,0.5335959145639599,Tmem33
ENSMUSG00000032420,0.5265703767759493,0.0,0.0,0.5195090931291254,0.5335597427544714,Nt5e
ENSMUSG00000001995,0.5265583235630845,0.0,0.0,0.5194969167267165,0.5335478131143347,Sipa1l2
ENSMUSG00000031489,0.526496122025652,0.0,0.0,0.5194340795057003,0.5334862492393162,Adrb3
ENSMUSG00000057604,0.5262454388962494,0.0,0.0,0.5191808352338857,0.5332381352507679,Lmcd1
ENSMUSG00000026672,0.526244226508439,0.0,0.0,0.5191796104625447,0.5332369352852624,Optn
ENSMUSG00000079003,0.5262441454007766,0.0,0.0,0.5191795285264361,0.5332368550086399,Samd1
ENSMUSG00000099553,0.5262038399842823,0.0,0.0,0.5191388114402996,0.5331969625513266,Gm29538
ENSMUSG00000045679,0.526097047588824,0.0,0.0,0.5190309284485458,0.5330912641735848,Pqlc3
ENSMUSG00000025650,0.5260004990569721,0.0,0.0,0.5189333941276094,0.5329957045299,Col7a1
ENSMUSG00000026343,0.5259848806409835,0.0,0.0,0.5189176162602622,0.5329802460671232,Gpr39
ENSMUSG00000059325,0.5259729720245068,0.0,0.0,0.5189055860697064,0.532968459407473,Hopx
ENSMUSG00000111157,0.5258153391476468,0.0,0.0,0.5187463441956439,0.5328124406021612,RP24-212B22.4
ENSMUSG00000109238,0.5257901929627081,0.0,0.0,0.51872094138283,0.5327875518559466,Gm35060
ENSMUSG00000057193,0.5257559339576481,0.0,0.0,0.518686332769645,0.5327536435643133,Slc44a2
ENSMUSG00000055148,0.525618549488467,0.0,0.0,0.5185475465448396,0.5326176652902342,Klf2
ENSMUSG00000035047,0.5256048297743772,0.0,0.0,0.5185336868667829,0.5326040859840716,Kri1
ENSMUSG00000036934,0.5255719887190499,0.0,0.0,0.5185005107930077,0.5325715810103611,4921524J17Rik
ENSMUSG00000033542,0.5255220203505723,0.0,0.0,0.5184500327276327,0.5325221239576481,Arhgef5
ENSMUSG00000022037,0.5255218701982719,0.0,0.0,0.5184498810437944,0.5325219753417525,Clu
ENSMUSG00000020038,0.5252343117334795,0.0,0.0,0.518159390329031,0.5322373584721409,Cry1
ENSMUSG00000025557,0.5251623841256274,0.0,0.0,0.5180867295264883,0.5321661664042171,Slc15a1
ENSMUSG00000046324,0.5251337011621201,0.0,0.0,0.5180577542114276,0.5321377767283454,Ermp1
ENSMUSG00000043207,0.5250482909654685,0.0,0.0,0.5179714735661918,0.5320532397705816,Zmpste24
ENSMUSG00000029352,0.5246783044233365,0.0,0.0,0.517597718010051,0.5316870343798561,Crybb3
ENSMUSG00000020913,0.5246680776430835,0.0,0.0,0.5175873870890397,0.5316769120770075,Krt24
ENSMUSG00000097327,0.5246353773896156,0.0,0.0,0.5175543538580927,0.5316445458778659,E030030I06Rik
ENSMUSG00000000732,0.5245690364997548,0.0,0.0,0.5174873375024677,0.531578882640386,Icosl
ENSMUSG00000050304,0.524498275279354,0.0,0.0,0.517415855905392,0.531508844131857,Slc25a2
ENSMUSG00000015243,0.5244575037506289,0.0,0.0,0.5173746693515684,0.5314684889750872,Abca1
ENSMUSG00000050912,0.5244289514797651,0.0,0.0,0.517345826458476,0.5314402282702432,Tmem123
ENSMUSG00000110013,0.5243612414711982,0.0,0.0,0.5172774273209455,0.5313732096307227,1190028D05Rik
ENSMUSG00000031098,0.5243595747098073,0.0,0.0,0.517275743596977,0.5313715598870861,Syt8
ENSMUSG00000106644,0.5243325671265125,0.0,0.0,0.5172484611660102,0.5313448280457552,Gm42954
ENSMUSG00000022598,0.5243064344517206,0.0,0.0,0.5172220625609206,0.5313189621669954,Psca
ENSMUSG00000092275,0.524188501265075,0.0,0.0,0.5171029294349033,0.5312022328317114,Gm20465
ENSMUSG00000020177,0.5238629014409987,0.0,0.0,0.5167740181429601,0.5308799553189619,9530003J23Rik
ENSMUSG00000024730,0.5238325081272021,0.0,0.0,0.5167433158249655,0.5308498720247665,Ms4a8a
ENSMUSG00000023232,0.5238222697517423,0.0,0.0,0.5167329733616056,0.5308397380793821,Serinc2
ENSMUSG00000068227,0.5235602795840351,0.0,0.0,0.5164683203886764,0.5305804194940037,Il2rb
ENSMUSG00000094692,0.5235576500756522,0.0,0.0,0.5164656641614683,0.5305778167927455,Olfr738
ENSMUSG00000022848,0.5234383060453665,0.0,0.0,0.5163451076024348,0.5304596893031266,Dirc2
