,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000098134,0.10404770131786534,2.0504787693655817e-98,7.281529720758458e-98,0.09442282944861478,0.11365312401151384,Rnf113a2
ENSMUSG00000026889,0.10397398022684891,2.815285193914016e-98,9.983280829482327e-98,0.09434896604335857,0.11357955871380697,Rbm18
ENSMUSG00000029397,0.10395593883758525,3.042269934209811e-98,1.0784367012441726e-97,0.09433088984239138,0.11356155543500891,Rchy1
ENSMUSG00000040441,0.10393743560380836,3.2940405109124916e-98,1.1668581335148748e-97,0.0943123509123526,0.11354309128074139,Slc26a10
ENSMUSG00000060534,0.1039283510573243,3.4251566207690095e-98,1.2128741574961082e-97,0.09430324884249153,0.11353402591872465,Dcc
ENSMUSG00000007805,0.10392802607989308,3.429942230329921e-98,1.2141388425946623e-97,0.09430292323823417,0.11353370162754119,Twist2
ENSMUSG00000019731,0.10392359783694424,3.4958211127432687e-98,1.237020917460463e-97,0.09429848645416372,0.1135292827354126,Slc35e1
ENSMUSG00000033174,0.10392135977570899,3.529595436471375e-98,1.2485303984688273e-97,0.09429624407633849,0.11352704939999488,Mgll
ENSMUSG00000101559,0.10389124854883168,4.0169541430002115e-98,1.4204222570722107e-97,0.09426607478287902,0.11349700174556883,Gm28258
ENSMUSG00000030228,0.10383082858103033,5.206656346642364e-98,1.8404582349389764e-97,0.09420553835435236,0.11343670928666878,Pik3c2g
ENSMUSG00000019785,0.10382777388453533,5.2753717325782856e-98,1.8640889514410904e-97,0.09420247777175758,0.11343366103485568,Clvs2
ENSMUSG00000071893,0.10376019074255274,7.049990904468753e-98,2.48940356796213e-97,0.09413476445024663,0.1133662204309429,Vmn1r4
ENSMUSG00000023972,0.1037461991777636,7.486005846328122e-98,2.642430584655179e-97,0.09412074594585015,0.11335225836438542,Ptk7
ENSMUSG00000105651,0.10373058981014703,8.004255510018679e-98,2.823370550271139e-97,0.09410510652818446,0.11333668190131553,Gm43003
ENSMUSG00000014603,0.10372061582711474,8.353992408552972e-98,2.945695489616704e-97,0.09409511334643399,0.11332672894096672,Alx3
ENSMUSG00000074155,0.10371699302729266,8.48476560168679e-98,2.9907527676019704e-97,0.09409148357363802,0.11332311377663119,Klk5
ENSMUSG00000022596,0.10371208529410261,8.665184720611219e-98,3.0521960974326237e-97,0.0940865663947103,0.11331821638667368,Slurp1
ENSMUSG00000084786,0.10369909275803292,9.161512916635475e-98,3.225884829801224e-97,0.09407354885464075,0.11330525123060947,Ubl5
ENSMUSG00000041180,0.10366286182878705,1.070052727009393e-97,3.766465072190753e-97,0.09403724821673655,0.11326909663584563,Hectd2
ENSMUSG00000032816,0.10359510967404667,1.4303753200002365e-97,5.029449085795487e-97,0.09396936577487677,0.11320148715898691,Igdcc4
ENSMUSG00000050994,0.10359386152229039,1.4380409528725963e-97,5.054625493401041e-97,0.09396811522376931,0.11320024163485343,Adgb
ENSMUSG00000047443,0.10357952115498788,1.5291097195652023e-97,5.372838087017576e-97,0.09395374729182424,0.11318593145488363,Fam132b
ENSMUSG00000038745,0.10357145975225956,1.5828071362005628e-97,5.559561419742054e-97,0.09394567039545945,0.11317788702014131,Nlrp6
ENSMUSG00000024837,0.10356581478311634,1.621524551991218e-97,5.693555308957928e-97,0.09394001457770561,0.11317225393202136,Dmrt1
ENSMUSG00000019823,0.10355337123757971,1.7102412868407318e-97,6.002952919763889e-97,0.09392754712011742,0.11315983657435891,Mical1
ENSMUSG00000043631,0.10349809617200556,2.1666318370421911e-97,7.599550463143427e-97,0.09387216587209454,0.11310467780081014,Ecm2
ENSMUSG00000023008,0.10338518488518511,3.5111886045540235e-97,1.231132049282617e-96,0.0937590378697691,0.11299200388160739,Fmnl3
ENSMUSG00000055632,0.10334368803554389,4.1922989774215647e-97,1.4694353233163563e-96,0.09371746143589883,0.11295059420657923,Hmcn2
ENSMUSG00000023951,0.10329587351848142,5.142018261385261e-97,1.8016882485582558e-96,0.09366955525997667,0.1129028800946049,Vegfa
ENSMUSG00000026824,0.10329265984718303,5.21305718197627e-97,1.8259394682929143e-96,0.09366633542977457,0.11289967317006437,Kcnj3
