,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000097006,0.4763928400128471,0.0,0.0,0.4713057367835267,0.4814482465203729,9530082P21Rik
ENSMUSG00000062329,0.4763519814893449,0.0,0.0,0.47126462346138803,0.48140764391809027,Cytl1
ENSMUSG00000095577,0.4762139616567494,0.0,0.0,0.4711257430840977,0.4812704884253051,Gm6619
ENSMUSG00000003545,0.47621300162622016,0.0,0.0,0.47112477706872397,0.48126953440603465,Fosb
ENSMUSG00000106674,0.47602195206457715,0.0,0.0,0.47093253674418667,0.48107968086832886,Gm43153
ENSMUSG00000075296,0.4760201994749558,0.0,0.0,0.4709307732333613,0.48107793924821496,Aldh3b2
ENSMUSG00000025610,0.47596168517116616,0.0,0.0,0.4708718943229841,0.48101979116417565,Map3k7cl
ENSMUSG00000023828,0.47590100572724864,0.0,0.0,0.4708108368292353,0.4809594914438309,Slc22a3
ENSMUSG00000094970,0.47588745297583723,0.0,0.0,0.47079719964707056,0.48094602349712656,Olfr943
ENSMUSG00000042751,0.4757617048893673,0.0,0.0,0.47067066829280574,0.4808210621503025,Nmnat2
ENSMUSG00000009350,0.47547350819872086,0.0,0.0,0.4703806772539467,0.48053466777950926,Mpo
ENSMUSG00000024041,0.4754387534161288,0.0,0.0,0.4703457061581034,0.48050013027287836,Cryaa
ENSMUSG00000056508,0.47530206396293967,0.0,0.0,0.4702081661069573,0.48036429520683044,1700001K19Rik
ENSMUSG00000024842,0.4751491790746456,0.0,0.0,0.47005433013208586,0.4802123656486865,Cabp4
ENSMUSG00000069792,0.4751237663213123,0.0,0.0,0.47002875931773025,0.48018711166230443,Wfdc17
ENSMUSG00000034908,0.47502375306122824,0.0,0.0,0.46992812408303697,0.48008772315658965,Sidt2
ENSMUSG00000013611,0.47493443878092084,0.0,0.0,0.4698382544762012,0.47999896668727804,Snx31
ENSMUSG00000008999,0.4747128352529057,0.0,0.0,0.4696152735472747,0.47977874673299814,Bmp7
ENSMUSG00000020191,0.4746813765829499,0.0,0.0,0.46958361939523574,0.47974748442239096,4930415F15Rik
ENSMUSG00000025515,0.47466801376792694,0.0,0.0,0.46957017354853464,0.47973420501175873,Muc2
ENSMUSG00000047787,0.47458668305371815,0.0,0.0,0.4694883375258077,0.4796533818754699,Flrt1
ENSMUSG00000047117,0.47457979676485923,0.0,0.0,0.4694814084563915,0.4796465385593934,Ankdd1b
ENSMUSG00000048540,0.47451829887047164,0.0,0.0,0.46941952853875624,0.4795854244054328,Nhlh2
ENSMUSG00000026879,0.4743074342720178,0.0,0.0,0.46920735443542533,0.4793758752067733,Gsn
ENSMUSG00000056222,0.474240897490629,0.0,0.0,0.4691404045715653,0.4793097533702144,Spock1
ENSMUSG00000037346,0.47392796554172173,0.0,0.0,0.46882553062329413,0.4789987721941467,Hrh4
ENSMUSG00000044320,0.4737224965018215,0.0,0.0,0.4686187871847742,0.47879458332650704,1700001O22Rik
ENSMUSG00000090210,0.47371378275640946,0.0,0.0,0.4686100194056933,0.47878592385984664,Itga10
ENSMUSG00000030530,0.47352703656158895,0.0,0.0,0.46842211544511536,0.478600340687673,Furin
ENSMUSG00000034035,0.4735169370413512,0.0,0.0,0.46841195332429564,0.47859030405256114,Ccdc17
