,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000005800,-0.048098688420853436,6.753328735040617e-47,1.3585453098049923e-46,-0.05464144528431885,-0.041551801417572545,Mmp8
ENSMUSG00000059901,-0.0481169555498159,6.239946688536723e-47,1.2555224725426002e-46,-0.05465970010338886,-0.04157007929514336,Adamts14
ENSMUSG00000022783,-0.04811768615580704,6.220241942730913e-47,1.251809608116505e-46,-0.054660430216946686,-0.041570810331123385,Spag6l
ENSMUSG00000007877,-0.04813297578781532,5.82179204368641e-47,1.1720942306596356e-46,-0.054675709542035794,-0.04158610896325886,Tcap
ENSMUSG00000002699,-0.04813670911212069,5.72842420041845e-47,1.1535288361696436e-46,-0.0546794403491983,-0.041589844485623875,Lcp2
ENSMUSG00000025735,-0.04813964120154604,5.656140772490128e-47,1.1392025725055646e-46,-0.05468237046157437,-0.041592778301496214,Rhbdl1
ENSMUSG00000025959,-0.048140570605882685,5.633418624328113e-47,1.1348546785511912e-46,-0.054683299239208734,-0.041593708253100076,Klf7
ENSMUSG00000097850,-0.048149762850216465,5.413521286359562e-47,1.0909958255460627e-46,-0.05469248528455358,-0.04160290591077393,4631405K08Rik
ENSMUSG00000050621,-0.04815262653566162,5.346777313656433e-47,1.0777620063810588e-46,-0.05469534703858421,-0.041605771282878665,Rps27rt
ENSMUSG00000016494,-0.048154478086672094,5.304059769533943e-47,1.0693668890189403e-46,-0.05469719734075768,-0.04160762392447693,Cd34
ENSMUSG00000020836,-0.04815909517956336,5.199011548605832e-47,1.0483991830219462e-46,-0.05470181131930923,-0.04161224373709249,Coro6
ENSMUSG00000039616,-0.04816898768440525,4.980856439617833e-47,1.004610012024573e-46,-0.054711697150479036,-0.0416221420701119,Mocos
ENSMUSG00000054753,-0.04817701182350182,4.810614486028064e-47,9.704689300036442e-47,-0.05471971587539646,-0.041630170937580716,AU018091
ENSMUSG00000032220,-0.04818532309932902,4.640384599183738e-47,9.363165050814645e-47,-0.054728021542413116,-0.04163848711187222,Myo1e
ENSMUSG00000085931,-0.048190425494460315,4.538862391036537e-47,9.160166278580297e-47,-0.05473312049377766,-0.04164359251468079,Gm12648
ENSMUSG00000042377,-0.04819099199541877,4.527727973359338e-47,9.139539712069718e-47,-0.05473368661236578,-0.04164415934959215,Fam83g
ENSMUSG00000016763,-0.04819152573373263,4.517262368865603e-47,9.120255136009695e-47,-0.054734219990419206,-0.04164469340254914,Scube1
ENSMUSG00000062345,-0.04819370439753688,4.474791991461712e-47,9.036332777588273e-47,-0.05473639718363944,-0.0416468733507325,Serpinb2
ENSMUSG00000034584,-0.04820739606609701,4.2168384167857293e-47,8.517144853132154e-47,-0.05475007960898757,-0.04166057309231483,Exph5
ENSMUSG00000043366,-0.048210397101054535,4.162306463044652e-47,8.408699925342731e-47,-0.05475307861762543,-0.04166357589710232,Olfr78
ENSMUSG00000075307,-0.04822102308890543,3.9748026162259914e-47,8.031526805871876e-47,-0.0547636974297865,-0.041674208152472685,Klhl41
ENSMUSG00000030209,-0.04822664530416814,3.8790198081403353e-47,7.839571156306256e-47,-0.054769315847789615,-0.04167983368448275,Grin2b
ENSMUSG00000039841,-0.048231500208917304,3.798159772560692e-47,7.677703199031115e-47,-0.054774167473189465,-0.041684691453649135,Zfp800
ENSMUSG00000023994,-0.04824888555071148,3.5221195997749067e-47,7.121147593560265e-47,-0.05479154106914852,-0.041702087055417565,Nfya
ENSMUSG00000025077,-0.048248993160129545,3.520474740257933e-47,7.1192613554255465e-47,-0.054791648605851485,-0.041702194728353785,Dclre1a
ENSMUSG00000026211,-0.048259904773014964,3.357594065972256e-47,6.791250133439029e-47,-0.05480255284462519,-0.04171311278277959,Obsl1
ENSMUSG00000045777,-0.04827263772583822,3.176985840004077e-47,6.42724224156196e-47,-0.054815277190494886,-0.0417258532543263,Ifitm10
ENSMUSG00000087278,-0.04827410566689123,3.156795888891386e-47,6.387688969832833e-47,-0.05481674413914337,-0.04172732206232555,A930006I01Rik
ENSMUSG00000020681,-0.04827878498824642,3.0932852949178586e-47,6.26044382699425e-47,-0.05482142029684536,-0.04173200414741388,Ace
ENSMUSG00000044447,-0.0482804596680664,3.0708658820247296e-47,6.216327696406335e-47,-0.054823093844357455,-0.0417336798164147,Dock5
ENSMUSG00000001240,-0.04831075863262769,2.6920666346580878e-47,5.450630967114978e-47,-0.054853372316411235,-0.04176399668398491,Ramp2
ENSMUSG00000070306,-0.048325025341570946,2.530181760827706e-47,5.123899880169514e-47,-0.054867629371992,-0.04177827182699545,Ccdc153
ENSMUSG00000030862,-0.048326424265479805,2.514839475924319e-47,5.093861608110834e-47,-0.05486902734919558,-0.04177967157805171,Cpxm2
ENSMUSG00000022828,-0.04832712757707323,2.507161125906174e-47,5.079337775336657e-47,-0.05486973018482148,-0.04178037530550473,Gtf2e1
ENSMUSG00000038651,-0.04833005062105632,2.475498228647122e-47,5.016207150247461e-47,-0.05487265125055926,-0.04178330007791782,Sycp2l
ENSMUSG00000044897,-0.04833972522516708,2.3735126685102166e-47,4.81052425721568e-47,-0.05488231930633376,-0.04179298040353506,Olfr821
ENSMUSG00000017897,-0.04836355619634915,2.139783310495314e-47,4.3376916896316927e-47,-0.054906134142092,-0.04181682547346222,Eya2
ENSMUSG00000039062,-0.04836587647547744,2.118288530913615e-47,4.294988911017062e-47,-0.054908452849812925,-0.0418191471256994,Anpep
ENSMUSG00000026203,-0.04837674357464536,2.0204426812952407e-47,4.097429895143461e-47,-0.05491931258830662,-0.04183002065680633,Dnajb2
ENSMUSG00000103114,-0.048384535169057066,1.9530697760645578e-47,3.96240571325737e-47,-0.05492709890424051,-0.04183781686380438,Gm32200
ENSMUSG00000037973,-0.04838577895235203,1.942523874421231e-47,3.941809810108017e-47,-0.05492834184485091,-0.04183906138348685,Ccdc129
ENSMUSG00000039457,-0.04838662324418395,1.935397529280527e-47,3.928145990015277e-47,-0.05492918556464904,-0.04183990617519713,Ppl
ENSMUSG00000001588,-0.04839034015719992,1.9043326418010058e-47,3.8658803122229107e-47,-0.05493289995923056,-0.04184362528899049,Acap1
ENSMUSG00000085504,-0.048392558649100546,1.8860281476669396e-47,3.82949877698871e-47,-0.05493511694788183,-0.04184584509454257,Gm14055
ENSMUSG00000034341,-0.04840080331953498,1.819523943526278e-47,3.6952151574457313e-47,-0.054943356031164986,-0.04185409464751897,Wbp2
ENSMUSG00000024485,-0.04840366939184942,1.7969562690766681e-47,3.6501244547565876e-47,-0.054946220161024566,-0.04185696241734726,Slc4a9
ENSMUSG00000020228,-0.04842071738140177,1.668361007782928e-47,3.3902885750516725e-47,-0.05496325659422971,-0.041874020506291396,Helb
ENSMUSG00000038641,-0.04843457139099245,1.5706371114746937e-47,3.192351852590841e-47,-0.054977101209775676,-0.041887882725940614,Akr1d1
ENSMUSG00000024785,-0.048438004979903415,1.5473115102304664e-47,3.145581439785457e-47,-0.05498053247007003,-0.041891318350028864,Rcl1
ENSMUSG00000029829,-0.04846004878525107,1.405557811249487e-47,2.857986602784642e-47,-0.055002561321906854,-0.04191337522499976,Tmem213
ENSMUSG00000025461,-0.04847326550024222,1.3268454002773359e-47,2.698485662553052e-47,-0.055015769068228054,-0.04192659977915184,Cd163l1
ENSMUSG00000027702,-0.04848449582097316,1.2634213320364848e-47,2.570018982987154e-47,-0.05502699176642797,-0.04193783676266678,Lrrc34
ENSMUSG00000054892,-0.048506339082812586,1.1485748961653458e-47,2.337827999522381e-47,-0.05504882019751459,-0.04195969298853544,Txk
ENSMUSG00000051043,-0.048506448818863276,1.1480249950735298e-47,2.3371844362246126e-47,-0.05504892985904284,-0.04195980278973056,Gprc5c
ENSMUSG00000097222,-0.04850731982990226,1.1436695337100187e-47,2.3287915571370775e-47,-0.0550498002785672,-0.04196067431784788,1010001N08Rik
ENSMUSG00000073774,-0.04851061045020101,1.127362817827776e-47,2.2960546187938413e-47,-0.055053088664074296,-0.04196396689172324,Kncn
ENSMUSG00000043760,-0.048511019056076625,1.1253541851986929e-47,2.292430607453031e-47,-0.05505349699243944,-0.04196437574019007,Pkhd1
ENSMUSG00000021203,-0.048526111711222744,1.0536051133315773e-47,2.1467096848646643e-47,-0.05506857939566158,-0.041979477357451694,Otub2
ENSMUSG00000021953,-0.04854710477474104,9.613162107341644e-48,1.959071144760881e-47,-0.055089558194345925,-0.04200048289175993,Tdh
ENSMUSG00000095788,-0.04855085622625571,9.456929277108148e-48,1.9276252093575517e-47,-0.0550933070961325,-0.04200423657240896,Sirpb1a
ENSMUSG00000055370,-0.04855481679398891,9.294729371859626e-48,1.8949499229071613e-47,-0.05509726497180858,-0.042008199493735146,Gm9968
ENSMUSG00000038255,-0.04855687056205823,9.211713230981228e-48,1.8784080813583254e-47,-0.05509931734382007,-0.042010254482350524,Neurod2
ENSMUSG00000001763,-0.04855787955050738,9.171199281772413e-48,1.870528101524049e-47,-0.055100325646384674,-0.04201126407045772,Tspan33
ENSMUSG00000026835,-0.04856970041619149,8.709562144955997e-48,1.7767364636793138e-47,-0.05511213847555252,-0.042023091962468034,Fcnb
ENSMUSG00000042254,-0.04860093902077169,7.597935844589619e-48,1.5502827677187552e-47,-0.055143355833486056,-0.04205434914411644,Cilp
ENSMUSG00000046242,-0.048603177179838086,7.523941888850384e-48,1.5354983446633437e-47,-0.05514559246979832,-0.04205658863467002,Nme9
ENSMUSG00000031445,-0.048608359287421854,7.355361698356259e-48,1.5014006324466746e-47,-0.055150771051430875,-0.04206177382535681,Proz
ENSMUSG00000003604,-0.04861918865510945,7.015109958249821e-48,1.4322396811453288e-47,-0.055161593049585865,-0.04207260963713216,Aven
ENSMUSG00000045502,-0.04862433523621693,6.858945407273456e-48,1.4006423131046469e-47,-0.05516673612783579,-0.04207775928128706,Hcar2
