,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000049404,0.07166982713340635,4.6030939284779106e-102,6.5956353753802995e-102,0.06514045544235061,0.07819306209049774,Rarres1
ENSMUSG00000074639,0.07163795408992703,5.654437076972943e-102,8.10091271772628e-102,0.06510855378682519,0.07816122036003462,BC089597
ENSMUSG00000003283,0.07153181175812093,1.1210244896108917e-101,1.604902633659115e-101,0.06500231626856066,0.0780551822096202,Hck
ENSMUSG00000044322,0.07150308610047358,1.3488939760577354e-101,1.9305767511918355e-101,0.06497356487572996,0.07802648472155693,Dsc1
ENSMUSG00000104336,0.07147808860975789,1.584470369257263e-101,2.2674160979640284e-101,0.0649485449987001,0.07800151173563162,Gm34240
ENSMUSG00000111657,0.07143663750707424,2.0689458370176692e-101,2.9602887924133196e-101,0.06490705679288757,0.07796010124900725,RP23-384F19.1
ENSMUSG00000010044,0.07139910470412776,2.6339230569898942e-101,3.7681302675105785e-101,0.06486949041357917,0.07792260520333662,Zmynd10
ENSMUSG00000097305,0.0713499481409551,3.61281548217812e-101,5.1670701976231696e-101,0.06482028990357107,0.07787349675310837,Gm17276
ENSMUSG00000069301,0.07125592194829143,6.608402885043754e-101,9.448674413845802e-101,0.06472617973826794,0.07777956250222447,Hist1h2ag
ENSMUSG00000075302,0.07119015844173919,1.0076545646972732e-100,1.4399179261178524e-100,0.06466035756886243,0.07771386323247013,Erich2
ENSMUSG00000058028,0.07116504941961528,1.1836399770752102e-100,1.690914252964586e-100,0.06463522616378989,0.07768877872151254,Zscan5b
ENSMUSG00000074264,0.0711636151308533,1.194571602598822e-100,1.7062871055546667e-100,0.06463379059670922,0.07768734583263896,Amy1
ENSMUSG00000043144,0.07104411436422298,2.567884942579845e-100,3.6657886403709423e-100,0.0645141834192174,0.07756796160596921,Aqp6
ENSMUSG00000032839,0.07094828607044072,4.739060441346228e-100,6.761393125048122e-100,0.06441826992955185,0.07747222663102664,Trpc1
ENSMUSG00000047798,0.07090771649313238,6.14108909146341e-100,8.760469460004866e-100,0.06437766432032102,0.07743169652465247,Cd300lf
ENSMUSG00000006345,0.0708970069754195,6.575764203495608e-100,9.379210103402665e-100,0.06436694529454362,0.07742099742284116,Ggt1
ENSMUSG00000029657,0.07085968983140768,8.344550475447024e-100,1.189699240867839e-99,0.06432959503160515,0.07738371656113249,Hsph1
ENSMUSG00000000901,0.07069603741689338,2.3684162134276275e-99,3.375254686372563e-99,0.06416579759178696,0.07722022304534826,Mmp11
ENSMUSG00000000682,0.07069479610753493,2.387208902160919e-99,3.4015515847263025e-99,0.06416455518375098,0.07721898293990148,Cd52
ENSMUSG00000024298,0.07066032609800671,2.972902708277419e-99,4.234904142845327e-99,0.06413005467305305,0.0771845463538207,Zfp871
ENSMUSG00000058248,0.07065702951044164,3.0359279354192442e-99,4.324067704627894e-99,0.06412675516928379,0.07718125296193822,Kcnh1
ENSMUSG00000039697,0.0706452255016818,3.2727333219677876e-99,4.660021816841503e-99,0.06411494071971528,0.07716946039471154,Ncoa7
ENSMUSG00000099853,0.07063370610938577,3.5215833254077006e-99,5.01364368651438e-99,0.06410341114012268,0.0771579521663122,Gm29328
ENSMUSG00000032531,0.07055990450239429,5.630187874634584e-99,8.011081210350859e-99,0.06402954430726118,0.07708422204211626,Amotl2
ENSMUSG00000044551,0.07043939663230582,1.2100787226616188e-98,1.720328010607931e-98,0.0639089300861158,0.07696383074020978,9930012K11Rik
ENSMUSG00000025132,0.07027612438925157,3.404940910715175e-98,4.8379382078931155e-98,0.06374551405578564,0.0768007161281285,Arhgdia
ENSMUSG00000052512,0.07003192753711684,1.5926953944295703e-97,2.2610667155445348e-97,0.06350110280294977,0.07655675438371681,Nav2
ENSMUSG00000078816,0.07001950443795629,1.722487696393135e-97,2.444978987073293e-97,0.06348866881745988,0.07654434322437782,Prkcg
ENSMUSG00000020953,0.06999002536595518,2.074276861077109e-97,2.943906984213893e-97,0.06345916392113893,0.07651489247657593,Coch
ENSMUSG00000026972,0.06988947657802005,3.9075167933754847e-97,5.544149820339791e-97,0.06335852713612,0.07641444021268254,Arrdc1
ENSMUSG00000042500,0.0698514300326348,4.964399447490147e-97,7.042700308540427e-97,0.06332044732825241,0.07637643015638106,Ago4
ENSMUSG00000055850,0.06984131344717315,5.290560165306669e-97,7.50434066000946e-97,0.06331032190148939,0.07636632327018364,Rnf181
ENSMUSG00000054099,0.06983660331668502,5.449625940918435e-97,7.728869580085712e-97,0.06330560765508265,0.07636161765507003,Slc25a40
ENSMUSG00000058831,0.06978591071625344,7.494984985004061e-97,1.0628169292405077e-96,0.0632548707756818,0.07631097363278737,Opn1sw
ENSMUSG00000063275,0.06974088739221707,9.945147895764507e-97,1.4100592507818669e-96,0.06320980815298297,0.07626599342586612,Hacd1
ENSMUSG00000061991,0.06973374203266827,1.0401575124364604e-96,1.4745640947497313e-96,0.0632026565590471,0.07625885490671296,Hist1h2af
ENSMUSG00000053199,0.06971827066417544,1.1462727727412842e-96,1.6245362425471713e-96,0.06318717169395191,0.07624339834697849,Arhgap20
ENSMUSG00000036585,0.06969133133650318,1.357457637077925e-96,1.9235619060194487e-96,0.06316020887299383,0.076216484797388,Fgf1
ENSMUSG00000045679,0.06966087685129589,1.643284153285086e-96,2.3282575138638228e-96,0.06312972784047874,0.0761860594424457,Pqlc3
ENSMUSG00000028712,0.06965530912741173,1.70168972971436e-96,2.4106668504240828e-96,0.0631241552645028,0.07618049704287616,Cyp4a31
ENSMUSG00000074569,0.06965436793980992,1.7117654642286405e-96,2.4245969748281027e-96,0.06312321325672657,0.07617955675527505,Gcnt7
ENSMUSG00000041669,0.0696443625457574,1.8226266705126694e-96,2.581258561836382e-96,0.06311319914444305,0.07616956092805753,Prima1
ENSMUSG00000033184,0.06962243774885384,2.0912423378099496e-96,2.9612607445623752e-96,0.0630912552478985,0.0761476570903515,Tmed7
ENSMUSG00000108724,0.06957290769118517,2.852444256698617e-96,4.0374299457871435e-96,0.06304168206569731,0.07609817435818192,Gm44734
ENSMUSG00000060807,0.0694568544882194,5.898156614987022e-96,8.346054358266622e-96,0.06292552794445447,0.07598223191706575,Serpina6
ENSMUSG00000001403,0.06943773227660766,6.647379411004776e-96,9.404894469446487e-96,0.06290638912140831,0.07596312793887089,Ube2c
ENSMUSG00000056429,0.0694106229250879,7.87503080446921e-96,1.1140233136892363e-95,0.06287925622827117,0.07593604442845789,Tgoln1
ENSMUSG00000087318,0.06934964805736128,1.1526379614934421e-95,1.629861370890048e-95,0.06281822844557199,0.07587512764785517,Gm12114
ENSMUSG00000040111,0.0692930181971313,1.6413951224186458e-95,2.3206491197775283e-95,0.06276154948478394,0.07581855169189157,Gramd1b
ENSMUSG00000060459,0.06924567559005572,2.205256541158497e-95,3.1169703761957555e-95,0.06271416586193689,0.07577125411657942,Kng2
ENSMUSG00000074852,0.06912490177132433,4.679743019001222e-95,6.610740244386526e-95,0.06259328754289277,0.07565059504355895,Hpse2
ENSMUSG00000110634,0.06901241196348774,9.420080279939948e-95,1.3305198135508402e-94,0.06248070057489632,0.07553821193900552,RP24-409P7.1
ENSMUSG00000091670,0.06899945753243504,1.0209682024459622e-94,1.4418418337042257e-94,0.06246773496546352,0.07552526978535684,Vmn2r105
ENSMUSG00000049350,0.06899248087947901,1.0661934661492366e-94,1.505285142099727e-94,0.06246075229326622,0.07551829974352767,Zg16
ENSMUSG00000039533,0.06898507736430629,1.1163733004733468e-94,1.5759081034349897e-94,0.06245334239126795,0.07551090324328207,Mmd2
ENSMUSG00000020485,0.06898449596239256,1.120412313578772e-94,1.581386469412522e-94,0.062452760487823986,0.07551032239222383,Supt4a
ENSMUSG00000052539,0.06893347953483162,1.5379832340589806e-94,2.1698409058394196e-94,0.062401700069646265,0.07545935428348055,Magi3
ENSMUSG00000027883,0.06887599436780725,2.1970824399058912e-94,3.098409871535596e-94,0.062344165375088724,0.07540192352110496,Gpsm2
ENSMUSG00000055471,0.06885092953060762,2.56651140202805e-94,3.6188824055669064e-94,0.062319078956351956,0.07537688239201233,Alk
ENSMUSG00000020715,0.06869705450999541,6.65532097447343e-94,9.381619642618311e-94,0.06216507162583655,0.07522315273697332,Ern1
ENSMUSG00000029601,0.06868347517145053,7.23842307871757e-94,1.0200708960988682e-93,0.06215148062599269,0.07520958621191942,Iqcd
ENSMUSG00000052234,0.06853713174693685,1.7876002353201987e-93,2.5159749969320177e-93,0.06200501168233943,0.07506338072403974,Epx
ENSMUSG00000001082,0.0685288092244114,1.8818007085794613e-93,2.6481856298613303e-93,0.0619966820300197,0.07505506603751191,Mfsd10
ENSMUSG00000047592,0.06846322282067739,2.8199455308149556e-93,3.9672840894976865e-93,0.061931039471127075,0.07498954135432243,Nxpe5
ENSMUSG00000009112,0.0684323246898623,3.4114558113452133e-93,4.798784373815183e-93,0.061900114904876964,0.07495867228088028,Bcl2l13
ENSMUSG00000034595,0.06836781957187707,5.075359647398493e-93,7.136332462596306e-93,0.061835554638835256,0.07489422778480287,Ppp1r18
ENSMUSG00000028583,0.06819580650647614,1.46128812466149e-92,2.0529476322864428e-92,0.06166339477968453,0.07472237611075692,Pdpn
ENSMUSG00000060477,0.06814860787405916,1.9523188724623872e-92,2.7420208882898698e-92,0.06161615593651963,0.07467522169470428,Irak2
ENSMUSG00000032268,0.06799500428349399,5.004907794502115e-92,7.023446245442204e-92,0.06146242168638763,0.07452176180015707,Tmprss5
ENSMUSG00000031673,0.06798905421648585,5.190564834772077e-92,7.282958937522207e-92,0.06145646656431974,0.074515817293212,Cdh11
ENSMUSG00000046844,0.06795811981639602,6.272385382530148e-92,8.798408447931194e-92,0.06142550589046741,0.07448491179241698,Vat1l
ENSMUSG00000074622,0.06794892595377576,6.635308389487557e-92,9.306182874456602e-92,0.06141630422157331,0.07447572651639874,Mafb
ENSMUSG00000099470,0.06783361436345049,1.342656086517816e-91,1.8825800427899835e-91,0.061300894817426226,0.07436052252720664,Gm29340
ENSMUSG00000074647,0.0678012308298295,1.636195553221186e-91,2.293517736502924e-91,0.06126848384567425,0.0743281691804203,Fam83c
ENSMUSG00000061298,0.06779651708684661,1.6839572089371278e-91,2.3601362423785953e-91,0.06126376610994917,0.07432345983028364,Agbl4
ENSMUSG00000024678,0.06778352413730246,1.8229301672323356e-91,2.554196675399097e-91,0.0612507621563314,0.07431047898766283,Ms4a4d
ENSMUSG00000057842,0.06776979755078635,1.982194922574755e-91,2.7769612252378185e-91,0.061237023946814184,0.07429676518927557,Zfp595
ENSMUSG00000063160,0.06765358735124637,4.0254401416576826e-91,5.636292553427168e-91,0.06112071544535308,0.07418066315597005,Numbl
ENSMUSG00000030352,0.06761406532942747,5.120671061453825e-91,7.166789449200594e-91,0.06108116003238132,0.07414117788017396,Tspan9
ENSMUSG00000011179,0.06754709471901744,7.696371045788432e-91,1.077018058464656e-90,0.06101413288704816,0.07407426948968489,Odc1
ENSMUSG00000031616,0.06752465917912927,8.821223320231413e-91,1.2340827252702033e-90,0.06099167842081089,0.0740518547806878,Ednra
ENSMUSG00000101337,0.06740447097741993,1.8304493345491592e-90,2.5597109978312954e-90,0.06087138894238761,0.0739317780587086,Dnah7c
ENSMUSG00000042570,0.06738669396585972,2.038924254401056e-90,2.8508448747218344e-90,0.06085359696711981,0.07391401752002469,Mier2
ENSMUSG00000025241,0.06729628334915294,3.527323674267968e-90,4.930561468084942e-90,0.06076311031199144,0.07382369061726442,Fyco1
ENSMUSG00000052276,0.06720508882568231,6.126711045284953e-90,8.556859001794628e-90,0.060671839199588844,0.07373258042508919,Ostn
ENSMUSG00000022245,0.0671962968530681,6.4614091119101465e-90,9.023054199008724e-90,0.06066303984888661,0.07372379657701178,Skor1
ENSMUSG00000032254,0.06712283772066871,1.0074261898874872e-89,1.4060379482030525e-89,0.060589519110401356,0.07365040528756932,Kif23
ENSMUSG00000016257,0.06710047025278029,1.1531946589061753e-89,1.6092585248481374e-89,0.060567132898241186,0.07362805846304589,Slmo2
ENSMUSG00000033192,0.06706960582825582,1.389487332752444e-89,1.9381884959582148e-89,0.06053624261966023,0.07359722251312742,Lpcat2
ENSMUSG00000045248,0.0670656068278514,1.423444449728742e-89,1.9852781725644938e-89,0.060532240270347815,0.07359322720116926,Med26
ENSMUSG00000004849,0.06697775973185059,2.418404252271718e-89,3.3724783883303835e-89,0.06044431966099871,0.07350546107738291,Ap1s1
ENSMUSG00000038641,0.06687478069671966,4.4976026168057676e-89,6.269309474220473e-89,0.06034125457868919,0.07340257683344976,Akr1d1
ENSMUSG00000040569,0.06686881236801472,4.6621350467360296e-89,6.497749194057184e-89,0.06033528126724164,0.07339661399427345,Slc26a7
ENSMUSG00000107396,0.06684260430522666,5.4586764685691166e-89,7.606851266121957e-89,0.060309051329825177,0.07337043003152195,4930425L21Rik
ENSMUSG00000025959,0.0668240348970693,6.103902871471439e-89,8.503626179258065e-89,0.06029046642812407,0.07335187769370889,Klf7
ENSMUSG00000032549,0.06676456503516362,8.72782179090192e-89,1.2152355598582458e-88,0.06023094697751656,0.07329246247040203,Rab6b
ENSMUSG00000063021,0.0667418205083829,1.0006071593060376e-88,1.3926334854642139e-88,0.06020818349758726,0.07326973882815882,Hist1h2ak
ENSMUSG00000048540,0.06672707212453427,1.0933078101948224e-88,1.5214414280473454e-88,0.06019342282745524,0.07325500398298643,Nhlh2
