,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000052471,0.21720573004697588,0.0,0.0,0.21094630318488364,0.2234473445615408,Gm9881
ENSMUSG00000069132,0.2171972846181529,0.0,0.0,0.21093783400220742,0.223438923510575,Nxph2
ENSMUSG00000028076,0.21718744889605182,0.0,0.0,0.2109279706170592,0.22342911617825906,Cd1d1
ENSMUSG00000109508,0.21717549257797716,0.0,0.0,0.21091598067346076,0.22341719436914656,Gm44956
ENSMUSG00000062380,0.21716931388088095,0.0,0.0,0.21090978460035473,0.2234110335046032,Tubb3
ENSMUSG00000022763,0.21716795902276717,0.0,0.0,0.21090842593211526,0.2234096825567259,Aifm3
ENSMUSG00000034570,0.21712288105187885,0.0,0.0,0.21086322120695625,0.22336473467104917,Inpp5j
ENSMUSG00000038121,0.21711262084036065,0.0,0.0,0.210852932148598,0.2233545040645594,Fam210a
ENSMUSG00000022994,0.21709698963677637,0.0,0.0,0.21083725700016195,0.22333891796093264,Adcy6
ENSMUSG00000054537,0.21709037451385382,0.0,0.0,0.21083062328075447,0.22333232192334385,Tmprss11e
ENSMUSG00000021947,0.21708789208568677,0.0,0.0,0.21082813387411484,0.22332984665709876,Cryl1
ENSMUSG00000032218,0.2170698937853337,0.0,0.0,0.2108100849803071,0.22331190028028078,Ccnb2
ENSMUSG00000109442,0.21704411285172004,0.0,0.0,0.21078423158359166,0.22328619371505176,Gm34964
ENSMUSG00000024365,0.21702199096913058,0.0,0.0,0.21076204752946592,0.22326413563892678,Cyp21a1
ENSMUSG00000110613,0.21702085312216352,0.0,0.0,0.2107609064848579,0.2232630010736952,RP23-143B2.2
ENSMUSG00000100106,0.21690285388592911,0.0,0.0,0.21064257573320977,0.2231453420746052,Gm28856
ENSMUSG00000037705,0.21689530995057588,0.0,0.0,0.21063501060962933,0.22313781988513046,Tecta
ENSMUSG00000029299,0.21689247831233022,0.0,0.0,0.21063217101851406,0.22313499640907214,Abcg3
ENSMUSG00000040703,0.21689199997383954,0.0,0.0,0.21063169133658408,0.22313451944938015,Cyp2s1
ENSMUSG00000024076,0.21687118655173995,0.0,0.0,0.21061081946179164,0.22311376601855235,Vit
ENSMUSG00000032238,0.21686604829344283,0.0,0.0,0.2106056667740197,0.22310864256957014,Rora
