,Notochord_2_corr,Notochord_2_pval,Notochord_2_qval,Notochord_2_ci_low,Notochord_2_ci_high,gene_annotation
ENSMUSG00000109137,0.32161431025916415,0.0,0.0,0.3157204160354433,0.32748338709422775,Gm35000
ENSMUSG00000026726,0.32155050927396917,0.0,0.0,0.31565634776669615,0.32741985718020244,Cubn
ENSMUSG00000056888,0.3214836065797329,0.0,0.0,0.31558916485254207,0.32735323867836386,Glipr1
ENSMUSG00000021466,0.32144930784525944,0.0,0.0,0.31555472248176725,0.32731908561703504,Ptch1
ENSMUSG00000021216,0.3212348140238313,0.0,0.0,0.3153393307550109,0.32710550244316033,Tubal3
ENSMUSG00000040490,0.3212279053858365,0.0,0.0,0.31533239320645357,0.3270986231262697,Lrfn2
ENSMUSG00000031738,0.32117524395967023,0.0,0.0,0.3152795114288394,0.32704618518118483,Irx6
ENSMUSG00000035805,0.3211687729241142,0.0,0.0,0.31527301331902546,0.3270397416044877,Mlc1
ENSMUSG00000031838,0.3211527680020589,0.0,0.0,0.31525694143612343,0.3270238045945493,Ifi30
ENSMUSG00000043298,0.3211414880900288,0.0,0.0,0.315245614333614,0.32701257254345806,Smco3
ENSMUSG00000086526,0.3210257547710231,0.0,0.0,0.3151293969313803,0.32689733018789796,Gm12762
ENSMUSG00000054196,0.3210052486501523,0.0,0.0,0.3151088050570302,0.32687691103980426,Cthrc1
ENSMUSG00000026956,0.3209680166276811,0.0,0.0,0.3150714173500935,0.3268398369157998,Uap1l1
ENSMUSG00000103243,0.32094848169272666,0.0,0.0,0.31505180073777767,0.3268203848199429,Lce1d
ENSMUSG00000075085,0.3208786909706892,0.0,0.0,0.3149817182554601,0.32675089000913377,Olfr1242
ENSMUSG00000032978,0.32084402089177994,0.0,0.0,0.314946903262111,0.3267163669070395,Guca2b
ENSMUSG00000003949,0.3207347298194069,0.0,0.0,0.3148371554773766,0.32660753904959067,Hlf
ENSMUSG00000021253,0.32071888840842944,0.0,0.0,0.3148212478804068,0.3265917647672965,Tgfb3
ENSMUSG00000022542,0.32069987890493307,0.0,0.0,0.31480215895888547,0.3265728358130979,Sept12
ENSMUSG00000086952,0.3206338611674922,0.0,0.0,0.31473586544917503,0.32650709777716674,Gm12596
ENSMUSG00000041354,0.320623113704638,0.0,0.0,0.31472507309698067,0.3264963958433879,Rgl2
ENSMUSG00000041351,0.32058654160069305,0.0,0.0,0.31468834825235104,0.32645997865719995,Rap1gap
ENSMUSG00000020275,0.32057976903214336,0.0,0.0,0.314681547400608,0.32645323477502686,Rel
ENSMUSG00000024910,0.32052167510505486,0.0,0.0,0.314623210890032,0.3263953868901742,Ctsw
ENSMUSG00000026787,0.3204930105828441,0.0,0.0,0.31459442668945886,0.3263668437531364,Gad2
ENSMUSG00000040367,0.32048788372913495,0.0,0.0,0.31458927843156687,0.32636173860889967,Lrrd1
ENSMUSG00000023945,0.32048255009535653,0.0,0.0,0.31458392253068446,0.32635642755983246,Slc5a7
ENSMUSG00000085014,0.320448293796531,0.0,0.0,0.31454952322601193,0.3263223163068609,Gm13490
ENSMUSG00000051367,0.32025032961062144,0.0,0.0,0.31435073292515836,0.32612519002872176,Six1
ENSMUSG00000059657,0.3201449870395119,0.0,0.0,0.3142449509648843,0.32602029312472897,Stfa2l1
ENSMUSG00000046676,0.3200706411801344,0.0,0.0,0.3141702950933729,0.3259462617092749,Lce1l
ENSMUSG00000034684,0.32000695569393706,0.0,0.0,0.31410634410537813,0.3258828455219212,Sema3f
ENSMUSG00000090023,0.31977732254716035,0.0,0.0,0.31387575407343793,0.3256541829570245,Gm16302
ENSMUSG00000042268,0.31976716746196765,0.0,0.0,0.3138655566879097,0.3256440707780794,Slc26a9
ENSMUSG00000031015,0.3197558236060373,0.0,0.0,0.3138541655815079,0.32563277484948183,Swap70
ENSMUSG00000020102,0.31975243690950905,0.0,0.0,0.31385076477872925,0.3256294024612843,Slc16a7
