,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000072476,-0.008151653574855219,0.01486998610228869,0.015468621764577853,-0.014710864644331731,-0.001591740962483839,Gm9008
ENSMUSG00000053044,-0.008214502674963355,0.014115568198311203,0.014686888147238793,-0.014773704293050537,-0.0016545941058255906,Cd8b1
ENSMUSG00000108695,-0.008227693585573053,0.013961587122441855,0.014528186391718892,-0.014786893213402793,-0.0016677858716189632,Gm2511
ENSMUSG00000001943,-0.008348981895282975,0.012613824950643324,0.013131193994007207,-0.014908163116037848,-0.001789082151617067,Vsig2
ENSMUSG00000032218,-0.00847846319559965,0.011303351837991502,0.011770646504208582,-0.015037624552928225,-0.001918572173641418,Ccnb2
ENSMUSG00000072980,-0.008494363423454885,0.011151062807595372,0.011613270993121611,-0.015053522326405425,-0.0019344734876832021,Oip5
ENSMUSG00000002083,-0.00859363728995578,0.010240783935919222,0.010669706122024612,-0.015152780793884773,-0.002033754210858954,Bbc3
ENSMUSG00000105006,-0.008619137692413945,0.010017907833788095,0.010439670522913813,-0.015178277219939862,-0.002059256395461151,Gm9484
ENSMUSG00000036242,-0.008619738082394739,0.010012712825915175,0.010435344268801642,-0.015178877516196116,-0.002059856827504151,3632451O06Rik
ENSMUSG00000060131,-0.00864924372947803,0.009760346651755394,0.010173386128575561,-0.015208378551441939,-0.0020893645475261982,Atp8b4
ENSMUSG00000033740,-0.0086664928192171,0.009615452582506939,0.010024450148568535,-0.015225624939797646,-0.002106614854402638,St18
ENSMUSG00000038855,-0.008766164083134702,0.008815148233490675,0.009191062697832004,-0.015325280517747618,-0.002206293227822362,Itpkb
ENSMUSG00000027966,-0.008867171904865688,0.008065353780885616,0.008411925094791006,-0.015426272310223943,-0.0023073083873808835,Col11a1
ENSMUSG00000034151,-0.008918990008580029,0.007703307347567387,0.008035159432113682,-0.015478082138819163,-0.0023591303074364375,Zbbx
ENSMUSG00000038227,-0.008932476149924307,0.007611502138173358,0.00794188453482195,-0.015491566120710915,-0.0023726174477970256,Hoxa9
ENSMUSG00000049052,-0.008937323332839251,0.007578745924459953,0.007908531696191122,-0.015496412526893566,-0.002377464990361,Olfr812
ENSMUSG00000033033,-0.00893740540521643,0.00757819238678523,0.007908531696191122,-0.015496494586116481,-0.0023775470688304004,Calhm2
ENSMUSG00000006398,-0.008946614434004163,0.007516311756375539,0.007845018011038032,-0.015505702138353129,-0.0023867567817645605,Cdc20
ENSMUSG00000025498,-0.00911521272219267,0.006460693449217508,0.006746755899349945,-0.015674273197329957,-0.002555367791942529,Irf7
ENSMUSG00000073408,-0.00921174207019063,0.005918234075116349,0.006182860504718292,-0.01577078678765136,-0.002651904591704878,Dpcr1
ENSMUSG00000102085,-0.009233765232481051,0.005800373745170702,0.00606036333211859,-0.015792806337705582,-0.0026739294712445584,4930435C17Rik
ENSMUSG00000024029,-0.009238489498834806,0.00577536845392302,0.00603486776794464,-0.01579752982835704,-0.0026786541068005683,Tff3
