,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000020009,0.324970577767338,0.0,0.0,0.31909081984178195,0.3308253200120598,Ifngr1
ENSMUSG00000043943,0.3249627346504003,0.0,0.0,0.3190829435169637,0.3308175105641872,Naalad2
ENSMUSG00000023046,0.3249400542437434,0.0,0.0,0.31906016708567836,0.3307949275158513,Igfbp6
ENSMUSG00000003849,0.32484905678515197,0.0,0.0,0.31896878442904414,0.3307043206071613,Nqo1
ENSMUSG00000047554,0.3247699318359918,0.0,0.0,0.3188893246277972,0.3306255351648144,Tmem41b
ENSMUSG00000025147,0.3247692985081981,0.0,0.0,0.3188886886201313,0.33062490455415416,Mob2
ENSMUSG00000025175,0.3246401488878576,0.0,0.0,0.31875899262492535,0.3304963089085034,Fn3k
ENSMUSG00000056144,0.32462391689566084,0.0,0.0,0.31874269197793514,0.33048014652647134,Trim34a
ENSMUSG00000027157,0.3246026744186136,0.0,0.0,0.3187213596590157,0.330458995141638,4930430A15Rik
ENSMUSG00000022453,0.3243053063513187,0.0,0.0,0.31842273454354203,0.3301629016336764,Naga
ENSMUSG00000031893,0.32430235384977724,0.0,0.0,0.3184197695669019,0.33015996178117213,Tsnaxip1
ENSMUSG00000027870,0.32420001283300603,0.0,0.0,0.31831699620345183,0.33005805914112596,Hao2
ENSMUSG00000034613,0.32404261743782586,0.0,0.0,0.31815893615046476,0.3299013376810857,Ppm1h
ENSMUSG00000024810,0.3240161758730679,0.0,0.0,0.3181323829589244,0.32987500930205804,Il33
ENSMUSG00000072673,0.3240131580272356,0.0,0.0,0.3181293523734186,0.3298720043738335,Gm10392
ENSMUSG00000094719,0.3239986243838189,0.0,0.0,0.3181147573786938,0.3298575329386599,Gm5108
ENSMUSG00000021684,0.3239150422202028,0.0,0.0,0.3180308224413041,0.32977430847768874,Pde8b
ENSMUSG00000018362,0.32388148661268856,0.0,0.0,0.317997125232174,0.32974089645090576,Kpna2
ENSMUSG00000034858,0.32388059214442766,0.0,0.0,0.3179962269895417,0.32974000580977475,Fam214a
ENSMUSG00000024948,0.3238775195472777,0.0,0.0,0.3179931414270901,0.32973694635915857,Map4k2
ENSMUSG00000100168,0.32382402660305,0.0,0.0,0.31793942278103915,0.3296836822722019,Gm28526
ENSMUSG00000041984,0.3237893310690145,0.0,0.0,0.3179045808769566,0.3296491351550932,Rptn
ENSMUSG00000014294,0.32378651459056074,0.0,0.0,0.31790175251732294,0.3296463307239878,Ndufa2
ENSMUSG00000042331,0.32377745032554506,0.0,0.0,0.3178926500158487,0.32963730523021884,Specc1
ENSMUSG00000032846,0.3237305351619092,0.0,0.0,0.31784553696385115,0.32959059072314073,Zswim6
ENSMUSG00000021359,0.32365569264663757,0.0,0.0,0.3177703788226876,0.3295160682505526,Tfap2a
ENSMUSG00000026749,0.3236251481413271,0.0,0.0,0.31773970552632513,0.3294856543391309,Nek6
ENSMUSG00000001156,0.3236072786795365,0.0,0.0,0.31772176072357516,0.3294678612730861,Mxd1
ENSMUSG00000058354,0.3235539607323455,0.0,0.0,0.31766821800310435,0.32941477124670776,Krt6a
ENSMUSG00000028436,0.3235355697795227,0.0,0.0,0.3176497495279687,0.32939645890198616,Dcaf12
ENSMUSG00000033377,0.3234092022444515,0.0,0.0,0.3175228494439453,0.32927063137804113,Palmd
ENSMUSG00000089929,0.3233879492170652,0.0,0.0,0.31750150687093204,0.32924946915156383,Bcl2a1b
ENSMUSG00000097727,0.323262131263951,0.0,0.0,0.3173751589297335,0.32912418861935017,F630040K05Rik
ENSMUSG00000097591,0.3232564916627961,0.0,0.0,0.3173694955775514,0.3291185731024493,A330032B11Rik
ENSMUSG00000053101,0.32325331215272096,0.0,0.0,0.317366302677241,0.32911540717047927,Gpr141
ENSMUSG00000029769,0.3231895548164205,0.0,0.0,0.3173022768605347,0.3290519220822132,Ccdc136
ENSMUSG00000069117,0.32311964426336803,0.0,0.0,0.31723207197773917,0.3289823099909258,Gm10260
ENSMUSG00000031594,0.32308313348773027,0.0,0.0,0.31719540751408876,0.32894595506157265,Fgl1
ENSMUSG00000054555,0.32297568757916373,0.0,0.0,0.3170875094261389,0.3288389676851607,Adam12
ENSMUSG00000089832,0.32296574772692643,0.0,0.0,0.3170775277503581,0.3288290702442609,Shkbp1
ENSMUSG00000044312,0.3229507633528494,0.0,0.0,0.3170624803295577,0.3288141498030406,Neurog3
ENSMUSG00000019803,0.3229498255010416,0.0,0.0,0.31706153853183894,0.3288132159526069,Nr2e1
ENSMUSG00000033308,0.3229371991470696,0.0,0.0,0.31704885905496616,0.32880064346825344,Dpyd
ENSMUSG00000038764,0.3229194446694176,0.0,0.0,0.31703102988240256,0.3287829647355511,Ptpn3
ENSMUSG00000028965,0.32281318120621594,0.0,0.0,0.31692431944489313,0.3286771545324062,Tnfrsf9
ENSMUSG00000031026,0.3227532998121813,0.0,0.0,0.31686418623838625,0.32861752849380704,Trim66
ENSMUSG00000025892,0.3226651546979298,0.0,0.0,0.31677567054356365,0.328529759176438,Gria4
ENSMUSG00000029205,0.3226336955968968,0.0,0.0,0.31674407920670267,0.3284984341732546,Chrna9
ENSMUSG00000025964,0.322613488942382,0.0,0.0,0.31672378762201536,0.3284783136450037,Adam23
ENSMUSG00000020440,0.32258654440674706,0.0,0.0,0.31669672984474595,0.32845148394603546,Arf5
ENSMUSG00000044092,0.32238527519014953,0.0,0.0,0.31649461504353227,0.3282510722323879,C130050O18Rik
ENSMUSG00000073926,0.3222358494454147,0.0,0.0,0.3163445618681031,0.32810228277108644,Olfr653
ENSMUSG00000029213,0.3221958862900066,0.0,0.0,0.31630443095951105,0.32806248973711216,Commd8
ENSMUSG00000074213,0.3221752283902945,0.0,0.0,0.3162836863524798,0.32804191976902775,Gm10642
ENSMUSG00000057554,0.3221712686779447,0.0,0.0,0.3162797100206888,0.3280379769108031,Lgals8
ENSMUSG00000022635,0.32215756120849837,0.0,0.0,0.3162659450207625,0.32802432778427004,Zcrb1
ENSMUSG00000100000,0.3221329481225365,0.0,0.0,0.3162412286394911,0.32799981945249884,1700023F02Rik
ENSMUSG00000097805,0.3220899296519439,0.0,0.0,0.31619802964974236,0.32795698405112,Gm17473
ENSMUSG00000097910,0.32207364717653425,0.0,0.0,0.31618167885427223,0.32794077086104706,5033428I22Rik
ENSMUSG00000102252,0.32195180862042255,0.0,0.0,0.31605932918369817,0.32781945064376866,Snrpn
