,Extra-Embryonic ectoderm_1_corr,Extra-Embryonic ectoderm_1_pval,Extra-Embryonic ectoderm_1_qval,Extra-Embryonic ectoderm_1_ci_low,Extra-Embryonic ectoderm_1_ci_high,gene_annotation
ENSMUSG00000097378,-0.03006295986478794,7.961780563738848e-07,8.81410446555834e-07,-0.04198744996112204,-0.018129906376509023,B230208H11Rik
ENSMUSG00000005131,-0.030159273136657994,7.34070220392625e-07,8.129238321070044e-07,-0.04208368029858397,-0.01822627519795331,4930550C14Rik
ENSMUSG00000020776,-0.03016164904410119,7.325987130857481e-07,8.113841101846805e-07,-0.042086054157360574,-0.018228652478525363,Fbf1
ENSMUSG00000027186,-0.030224021752054474,6.949693490035464e-07,7.698785299695874e-07,-0.04214837303522654,-0.018291061282344097,Elf5
ENSMUSG00000049119,-0.030268320698048058,6.693822653842758e-07,7.416156275030754e-07,-0.042192633693145874,-0.018335385921164016,Fam110b
ENSMUSG00000107002,-0.030406697961533242,5.951696713743633e-07,6.59467779916192e-07,-0.04233089105417456,-0.01847384374380115,0610012G03Rik
ENSMUSG00000086254,-0.0304712583023518,5.633218152418601e-07,6.243176496086226e-07,-0.04239539529789431,-0.018538441826318367,3100003L05Rik
ENSMUSG00000024160,-0.030562775550635475,5.209768547502634e-07,5.774516235316597e-07,-0.04248683285563209,-0.0186300127458975,Spsb3
ENSMUSG00000063142,-0.030619490935789025,4.962932779464452e-07,5.50214277102489e-07,-0.04254349875443265,-0.018686761492883952,Kcnma1
ENSMUSG00000047759,-0.030627605446401206,4.928552566166776e-07,5.46463307037008e-07,-0.04255160617854931,-0.018694880783001966,Hs3st3a1
ENSMUSG00000054757,-0.030668612684026434,4.7582934260558683e-07,5.27643981598566e-07,-0.0425925775800613,-0.018735912198262133,Akr1c20
ENSMUSG00000060538,-0.03067137954889985,4.747012202502779e-07,5.26451392093022e-07,-0.042595342025534756,-0.01873868069591087,Tmem219
ENSMUSG00000064052,-0.030718157310521146,4.560146872014798e-07,5.05783814553549e-07,-0.04264207885614319,-0.01878548608960428,Gm5089
ENSMUSG00000039747,-0.030769873741222687,4.361811854533767e-07,4.838393626770679e-07,-0.04269374997370482,-0.018837233130572742,Orai2
ENSMUSG00000022358,-0.030808466320517824,4.219256310075615e-07,4.680781351315304e-07,-0.04273230869721579,-0.018875848593954237,Fbxo32
ENSMUSG00000050022,-0.030833081361612287,4.130690905679326e-07,4.5830366200813556e-07,-0.04275690212592913,-0.018900478249524642,Amz1
ENSMUSG00000021448,-0.030854246758907525,4.055973908675185e-07,4.5006368272028237e-07,-0.04277804892812851,-0.018921656224748677,Shc3
ENSMUSG00000075112,-0.030904146257826427,3.8849463141508746e-07,4.3118161089354876e-07,-0.04282790454499998,-0.01897158541974742,Olfr1211
ENSMUSG00000043913,-0.030942106756456568,3.759521107528736e-07,4.173072602429499e-07,-0.042865831621070744,-0.019009568549205214,Ccdc60
ENSMUSG00000090173,-0.030946373579937087,3.745669879250738e-07,4.1581592798076576e-07,-0.04287009468565119,-0.019013837918581883,Fbxw10
ENSMUSG00000014725,-0.031012274603674436,3.537890951860991e-07,3.928371032490552e-07,-0.04293593759809315,-0.0190797783189101,Adam28
ENSMUSG00000069170,-0.031098361450685872,3.283168495829833e-07,3.646749412229072e-07,-0.043021948377996465,-0.019165916760135637,Adgrv1
ENSMUSG00000021203,-0.03110829038710276,3.2549546324723674e-07,3.6158127443594393e-07,-0.0430318685297482,-0.019175851658630533,Otub2
ENSMUSG00000061928,-0.03112537482253721,3.2069548016116953e-07,3.562887236542268e-07,-0.043048937844158586,-0.01919294635835677,Dsg1b
ENSMUSG00000026942,-0.031126430865978716,3.2040103119765145e-07,3.5600114577516827e-07,-0.04304999295269293,-0.01919400303649584,Traf2
ENSMUSG00000032415,-0.031137959012527496,3.1720364930901404e-07,3.5252683852968884e-07,-0.043061510891732026,-0.01920553811336317,Ube2cbp
ENSMUSG00000062098,-0.03120687054001985,2.9872357052506577e-07,3.320995781268102e-07,-0.04313036133593606,-0.01927449113430404,Btbd3
ENSMUSG00000022587,-0.031209753601731942,2.9797352213736326e-07,3.313025596368282e-07,-0.0431332418396294,-0.019277375934457403,Ly6e
ENSMUSG00000057455,-0.031234494870429074,2.916112354281619e-07,3.2426468967881896e-07,-0.043157961148294975,-0.019302132129922045,Rit2
ENSMUSG00000004558,-0.031243376048849036,2.893595698912205e-07,3.2179667470109043e-07,-0.04316683444033457,-0.019311018670054934,Ndrg2
ENSMUSG00000029475,-0.03130244829249869,2.748044277843867e-07,3.0564389699075377e-07,-0.04322585418067051,-0.01937012662456012,Kdm2b
ENSMUSG00000026556,-0.031309294551606436,2.7316398631705057e-07,3.038531549689105e-07,-0.04323269434945287,-0.019376977027820236,Vangl2
ENSMUSG00000046634,-0.03139883791960179,2.5256011364004003e-07,2.80997011170494e-07,-0.04332215795814315,-0.019466574701029603,Pkd1l1
ENSMUSG00000020176,-0.03141308349258061,2.494238096079777e-07,2.7756934076115927e-07,-0.04333639082447782,-0.0194808289311672,Grb10
ENSMUSG00000067787,-0.03142922933663724,2.4591462048470845e-07,2.7369462491342064e-07,-0.043352522261051525,-0.01949698459305833,Blcap
ENSMUSG00000108905,-0.03146126504920431,2.390925282067609e-07,2.661314873183002e-07,-0.043384529368662654,-0.019529039804090067,Gm44618
ENSMUSG00000026725,-0.03146787381346944,2.377081013680589e-07,2.6461995031510507e-07,-0.043391132228861436,-0.019535652593817024,Tnn
ENSMUSG00000014633,-0.03159886903402092,2.118123429497003e-07,2.358974751639384e-07,-0.043522010207376796,-0.01966672782024493,Cmc2
ENSMUSG00000038591,-0.03161680993656106,2.0848529463877948e-07,2.3221797130628145e-07,-0.04353993502076673,-0.01968467971220063,Colec10
ENSMUSG00000022816,-0.031629182407865226,2.0622036549594854e-07,2.297208037161062e-07,-0.04355229639213961,-0.019697059766548414,Fstl1
ENSMUSG00000030921,-0.03167114895347295,1.987136386058505e-07,2.2140795387838498e-07,-0.04359422526037476,-0.019739052060556785,Trim30a
ENSMUSG00000049091,-0.031677526217860096,1.9759627990307852e-07,2.201875193927775e-07,-0.043600596795606836,-0.01974543324137278,Sephs2
ENSMUSG00000063975,-0.03168892683418839,1.9561389355552407e-07,2.1800277895411132e-07,-0.04361198716752509,-0.019756840861511426,Slco1a5
ENSMUSG00000037958,-0.03170433563476538,1.9296507073929567e-07,2.1507475561669157e-07,-0.04362738211707631,-0.019772259133208247,Nsrp1
ENSMUSG00000030413,-0.03173645561003096,1.8755453410492236e-07,2.0906758901451605e-07,-0.04365947320137773,-0.01980439886947157,Pglyrp1
ENSMUSG00000001415,-0.03174614119661055,1.8595199846170653e-07,2.0730434611115555e-07,-0.04366915007123146,-0.0198140904197012,Smg5
ENSMUSG00000063600,-0.03177271511339069,1.8162286874765249e-07,2.02500689873623e-07,-0.043695700060825494,-0.01984068071020087,Egfem1
ENSMUSG00000045316,-0.031785457387222105,1.7958175365817046e-07,2.0024727214336582e-07,-0.04370843085552468,-0.019853430841267953,Fahd1
ENSMUSG00000041773,-0.03180270840091195,1.7685370868989386e-07,1.9722728748733562e-07,-0.04372566632212401,-0.019870692498590036,Enc1
ENSMUSG00000057777,-0.031879681641849046,1.6516180251448557e-07,1.8420901462690785e-07,-0.04380257010616453,-0.01994771331761265,Mab21l2
ENSMUSG00000048402,-0.03189205583518359,1.6335334039794668e-07,1.8221231500049826e-07,-0.043814933120447354,-0.01996009517279845,Gli2
