,Extra-Embryonic ectoderm_2_corr,Extra-Embryonic ectoderm_2_pval,Extra-Embryonic ectoderm_2_qval,Extra-Embryonic ectoderm_2_ci_low,Extra-Embryonic ectoderm_2_ci_high,gene_annotation
ENSMUSG00000064201,0.41831159394316214,0.0,0.0,0.40841182816395427,0.42811296325430404,Krt2
ENSMUSG00000022436,0.4181985756133293,0.0,0.0,0.4082976888175773,0.428001081254342,Sh3bp1
ENSMUSG00000027566,0.4181556909825777,0.0,0.0,0.4082543788998512,0.4279586277235745,Psma7
ENSMUSG00000090394,0.4173195673731676,0.0,0.0,0.4074099723573207,0.4271309006464811,4930523C07Rik
ENSMUSG00000060591,0.41577033425621907,0.0,0.0,0.4058454367766054,0.42559718179672584,Ifitm2
ENSMUSG00000029126,0.4155893542778961,0.0,0.0,0.4056626729730715,0.42541801049776495,Nsg1
ENSMUSG00000020889,0.4142707789062318,0.0,0.0,0.4043311250510143,0.42411258945985447,Nr1d1
ENSMUSG00000005732,0.413962223200433,0.0,0.0,0.4040195397626266,0.4238071060532319,Ranbp1
ENSMUSG00000022993,0.4132082410460235,0.0,0.0,0.4032581642720587,0.42306062190013954,4930415O20Rik
ENSMUSG00000029014,0.41294648875758816,0.0,0.0,0.4029938485359658,0.42280146948889347,Dnajc2
ENSMUSG00000032589,0.41230236980243723,0.0,0.0,0.40234342852898813,0.42216374143722346,Bsn
ENSMUSG00000050914,0.41166348986354373,0.0,0.0,0.4016983087198003,0.42153119077850404,Ankrd37
ENSMUSG00000005514,0.41136297427072704,0.0,0.0,0.4013948614444401,0.42123364902416555,Por
ENSMUSG00000032281,0.41130825845607194,0.0,0.0,0.4013396120846545,0.42117947443694365,Acsbg1
ENSMUSG00000075502,0.4108078642527715,0.0,0.0,0.400834341800195,0.4206840266696781,Kbtbd6
ENSMUSG00000020799,0.40980656683408645,0.0,0.0,0.39982330547600886,0.419692609465901,Tekt1
ENSMUSG00000054381,0.4084206883337049,0.0,0.0,0.39842398760407727,0.4183203670801706,Zfp747
ENSMUSG00000030663,0.4081019632773777,0.0,0.0,0.3981021783358467,0.4180047716727714,1110004F10Rik
ENSMUSG00000063800,0.40784725784710085,0.0,0.0,0.39784500996274985,0.4177525655467668,Prpf38a
ENSMUSG00000028619,0.40623597908120024,0.0,0.0,0.39621818692397204,0.41615706212563214,Tceanc2
ENSMUSG00000061032,0.4056591868307137,0.0,0.0,0.3956358455510861,0.41558590215361113,Rrp1
ENSMUSG00000041840,0.4051975067218062,0.0,0.0,0.3951697295821036,0.4151287246314978,Haus1
ENSMUSG00000024747,0.4039406406478322,0.0,0.0,0.39390081359976914,0.4138840908690447,Aldh1a7
ENSMUSG00000004988,0.4037882098278912,0.0,0.0,0.39374692398712835,0.4137331410376663,Fxyd4
ENSMUSG00000061928,0.403686052974536,0.0,0.0,0.39364378978775927,0.41363197641464194,Dsg1b
ENSMUSG00000028648,0.4034252914647745,0.0,0.0,0.3933805346897731,0.41337374651888814,Ndufs5
ENSMUSG00000000184,0.40260200251990774,0.0,0.0,0.392549383676418,0.4125584400071607,Ccnd2
ENSMUSG00000032312,0.40259908049907994,0.0,0.0,0.3925464337807418,0.412555546289212,Csk
ENSMUSG00000072476,0.40204966437407025,0.0,0.0,0.39199178013263947,0.41201144827265673,Gm9008
ENSMUSG00000058239,0.40184262851467206,0.0,0.0,0.3917827725201278,0.41180641458713096,Usf2
ENSMUSG00000008482,0.40130633272564303,0.0,0.0,0.3912413740242465,0.4112753004424028,Rnf151
ENSMUSG00000026851,0.40036577414175606,0.0,0.0,0.390291883107342,0.41034381310907536,BC005624
ENSMUSG00000054000,0.3993654214542857,0.0,0.0,0.3892820537459824,0.40935308550924054,Tusc1
ENSMUSG00000028012,0.3993268742524118,0.0,0.0,0.38924314185861975,0.40931490872546245,Rrh
ENSMUSG00000100594,0.3992560037307151,0.0,0.0,0.38917160094245434,0.40924471914050264,2810414N06Rik
ENSMUSG00000029465,0.3981567549542474,0.0,0.0,0.38806196947993177,0.40815601700649473,Arpc3
ENSMUSG00000026413,0.3981212567091819,0.0,0.0,0.38802613643266076,0.4081208588720387,Pkp1
ENSMUSG00000005493,0.39760747667327967,0.0,0.0,0.38750751409045325,0.40761199806910753,Msh4
ENSMUSG00000026273,0.3974968084483487,0.0,0.0,0.3873958036695455,0.40750238863366617,Mterf4
ENSMUSG00000039810,0.39705972272809964,0.0,0.0,0.38695460468071846,0.40706948179967883,Zc3h10
ENSMUSG00000046562,0.39697365678429036,0.0,0.0,0.38686772934411884,0.4069842381846419,Unc119b
ENSMUSG00000050304,0.3967183252666246,0.0,0.0,0.3866099976594044,0.4067313452407459,Slc25a2
ENSMUSG00000111514,0.39624804408105174,0.0,0.0,0.3861352998692814,0.40626555151472815,RP23-269O24.7
ENSMUSG00000000552,0.39542524787445127,0.0,0.0,0.38530478932728585,0.4054505939707279,Zfp385a
ENSMUSG00000032959,0.3954246272227247,0.0,0.0,0.38530416286266916,0.40544997922584697,Pebp1
ENSMUSG00000043445,0.39539881593275855,0.0,0.0,0.38527810983799204,0.4054244135781858,Pgp
ENSMUSG00000028967,0.3953592100597849,0.0,0.0,0.3852381330690067,0.40538518459806816,Errfi1
ENSMUSG00000031697,0.39514135384218446,0.0,0.0,0.3850182373785365,0.4051694008585653,Orc6
ENSMUSG00000027581,0.3949306011831088,0.0,0.0,0.3848055128407018,0.40496065203781423,Stmn3
ENSMUSG00000020482,0.3941956916123997,0.0,0.0,0.3840637356029131,0.404232721814109,Ccdc117
ENSMUSG00000045948,0.39360871599348574,0.0,0.0,0.38347128414184595,0.40365131149823635,Mrps12
ENSMUSG00000005362,0.39349812926627314,0.0,0.0,0.3833596666951267,0.40354177237102024,Crbn
ENSMUSG00000019471,0.3932460660261124,0.0,0.0,0.38310525521561833,0.403292095877112,Cdc37
ENSMUSG00000106874,0.3929776577987898,0.0,0.0,0.3828343481692848,0.4030262275196612,Gm20186
ENSMUSG00000022370,0.39270612804897165,0.0,0.0,0.38256029231486643,0.4027572654519907,Mrpl13
ENSMUSG00000107660,0.3925745858188373,0.0,0.0,0.38242752695862686,0.40262696650795965,Gm6559
ENSMUSG00000048668,0.3920689308154191,0.0,0.0,0.38191717409741444,0.402126086966537,Rhno1
ENSMUSG00000056216,0.39188938658057443,0.0,0.0,0.3817359632714693,0.40194823691918175,Cebpg
ENSMUSG00000027285,0.39168523580016895,0.0,0.0,0.3815299184419389,0.4017460115926302,Haus2
ENSMUSG00000024335,0.3909471419538254,0.0,0.0,0.38078498520426546,0.4010148709122378,Brd2
ENSMUSG00000109336,0.3904139015300867,0.0,0.0,0.3802468118277448,0.40048664586516547,Samd4b
ENSMUSG00000002949,0.38979756464784415,0.0,0.0,0.37962478185353515,0.3998760975796999,Timm44
ENSMUSG00000095253,0.38975457109931616,0.0,0.0,0.37958139151759696,0.3998335074901252,Zfp799
ENSMUSG00000021068,0.38963819530955696,0.0,0.0,0.37946394192033517,0.3997182235727158,Nin
ENSMUSG00000048546,0.3895004543201284,0.0,0.0,0.37932493040896004,0.3995817744982343,Tob2
ENSMUSG00000059518,0.38937006917654654,0.0,0.0,0.3791933430169242,0.3994526118652925,Znhit1
ENSMUSG00000071230,0.3892654201490916,0.0,0.0,0.37908772934499557,0.3993489437532298,Npw
ENSMUSG00000035105,0.38896278603466006,0.0,0.0,0.3787823070711108,0.3990491448930859,Egln3
ENSMUSG00000034826,0.388948658471007,0.0,0.0,0.37876804940479153,0.3990351496320689,Nup54
ENSMUSG00000090841,0.38884479280949924,0.0,0.0,0.3786632273785596,0.3989322565135106,Myl6
ENSMUSG00000029518,0.3887970156302992,0.0,0.0,0.37861501036873185,0.3988849266091719,Rab35
ENSMUSG00000029581,0.38859835687624783,0.0,0.0,0.37841452338013953,0.39868812705925527,Fscn1
ENSMUSG00000071415,0.38846564612716555,0.0,0.0,0.37828059184107077,0.39855665780350924,Rpl23
ENSMUSG00000043126,0.38822822011779134,0.0,0.0,0.37804098284264154,0.39832145185168816,D830039M14Rik
ENSMUSG00000055333,0.38770397519113875,0.0,0.0,0.37751192263356237,0.3978021041885513,Fat2
ENSMUSG00000068299,0.3875420112678298,0.0,0.0,0.37734847238834457,0.39764165195183115,Nat8f4
ENSMUSG00000030499,0.38748482917845706,0.0,0.0,0.3772907656980494,0.3975850034226487,Kctd15
ENSMUSG00000001864,0.38741304305223667,0.0,0.0,0.3772183211023673,0.3975138870163809,Aif1l
ENSMUSG00000031513,0.3868374152146967,0.0,0.0,0.3766374177396861,0.39694362504115915,Leprotl1
ENSMUSG00000061613,0.38657484872762493,0.0,0.0,0.37637244754225174,0.3966835035436206,U2af1
ENSMUSG00000027523,0.3865277154302659,0.0,0.0,0.37632488293165683,0.3966368089743463,Gnas
ENSMUSG00000032803,0.38592937281441225,0.0,0.0,0.3757210696028094,0.39604403132831295,Cdv3
ENSMUSG00000030042,0.3854248810402549,0.0,0.0,0.3752119719388789,0.3955442251001011,Pole4
ENSMUSG00000047648,0.38537516605736116,0.0,0.0,0.37516180340353017,0.3954949715284406,Fbxo30
ENSMUSG00000021810,0.3845701355202966,0.0,0.0,0.37434943685846567,0.3946974044825564,Ecd
ENSMUSG00000005354,0.3843442191653188,0.0,0.0,0.3741214646128667,0.3944735798705485,Txn2
ENSMUSG00000049717,0.38398996338236974,0.0,0.0,0.373763987508747,0.3941226016958112,Lig4
ENSMUSG00000037316,0.3835916315458962,0.0,0.0,0.37336203718682515,0.3937279517334359,Bag4
ENSMUSG00000028961,0.3830554258117318,0.0,0.0,0.37282096657226593,0.39319669637329524,Pgd
ENSMUSG00000078134,0.3827994371774209,0.0,0.0,0.3725626578620527,0.39294306869663875,Gm12355
ENSMUSG00000047281,0.382607888882011,0.0,0.0,0.37236937456388164,0.39275328602259496,Sfn
ENSMUSG00000029510,0.3824836594203195,0.0,0.0,0.3722440203335564,0.39263020120020103,Gpc2
ENSMUSG00000042688,0.3823049136365299,0.0,0.0,0.3720636568479481,0.39245310172656533,Mapk6
ENSMUSG00000055762,0.3820077885950202,0.0,0.0,0.37176384444883953,0.3921587116438641,Eef1d
ENSMUSG00000019303,0.38159038713806337,0.0,0.0,0.37134267139969035,0.39174514874674127,Psmc3ip
ENSMUSG00000057177,0.38043626145074677,0.0,0.0,0.3701781391142871,0.3906016154162972,Gsk3a
ENSMUSG00000080115,0.37979533709986885,0.0,0.0,0.36953144955699074,0.389966559804369,Mettl21b
ENSMUSG00000111172,0.37959464549829325,0.0,0.0,0.36932895474974675,0.38976770388232057,RP24-496O17.7
ENSMUSG00000035764,0.3794593859301145,0.0,0.0,0.3691924804298973,0.3896336809668832,Fbxo45
ENSMUSG00000068220,0.3792966731573025,0.0,0.0,0.36902830693786143,0.38947245527529073,Lgals1
ENSMUSG00000045969,0.3791778571237666,0.0,0.0,0.3689084246635167,0.3893547247434576,Ing1
ENSMUSG00000025200,0.378968836527278,0.0,0.0,0.3686975291705575,0.389147612949332,Cwf19l1
ENSMUSG00000030521,0.378744895666013,0.0,0.0,0.36847158075267455,0.3889257160022659,Mphosph10
ENSMUSG00000047714,0.37864280632678216,0.0,0.0,0.36836857661867145,0.38882455804315075,Ppp1r2
ENSMUSG00000028668,0.378400204155243,0.0,0.0,0.36812380156706737,0.38858416819168673,Tceb3
ENSMUSG00000062963,0.37746833435853894,0.0,0.0,0.367183598669884,0.38766078334418974,Ufc1
ENSMUSG00000078787,0.3773170979669487,0.0,0.0,0.36703101185260273,0.38751092207526666,Cyp2t4
ENSMUSG00000081984,0.3772621689298432,0.0,0.0,0.3669755924781015,0.3874564923491502,Dnajb3
ENSMUSG00000021039,0.3766507932624141,0.0,0.0,0.3663587641465456,0.38685066935584267,Snw1
ENSMUSG00000026247,0.3758255086273063,0.0,0.0,0.3655261334084289,0.3860328662072398,Ecel1
ENSMUSG00000102252,0.3756123401040951,0.0,0.0,0.36531107008759195,0.3858216275219929,Snrpn
ENSMUSG00000022247,0.37555825128183995,0.0,0.0,0.3652565006592669,0.38576802820149575,Brix1
ENSMUSG00000046160,0.3754787252185062,0.0,0.0,0.36517626809590487,0.3856892217208131,Olig1
ENSMUSG00000028656,0.37539630400778895,0.0,0.0,0.36509311482652407,0.3856075461319415,Cap1
ENSMUSG00000022051,0.37512018654739165,0.0,0.0,0.3648145461105852,0.38533392539657896,Bnip3l
ENSMUSG00000032869,0.3748635097920254,0.0,0.0,0.36455559234084733,0.3850795679675651,Psmf1
ENSMUSG00000034875,0.3747249488576471,0.0,0.0,0.36441580287622316,0.38494225842212404,Nudt19
ENSMUSG00000074212,0.37460079979755306,0.0,0.0,0.36429055346128614,0.38481923020845965,Dnajb14
ENSMUSG00000047989,0.3743604060885824,0.0,0.0,0.36404803016113113,0.3845810057972467,Ino80c
ENSMUSG00000037373,0.3741308288090891,0.0,0.0,0.3638164204161102,0.3843534989378167,Ctbp1
ENSMUSG00000037994,0.3736200127153772,0.0,0.0,0.36330108660374383,0.3838472851336862,Slc9b2
ENSMUSG00000009214,0.37335206635198837,0.0,0.0,0.3630307730153316,0.38358175042332493,Tmem8c
ENSMUSG00000028455,0.37331856722428125,0.0,0.0,0.3629969780551474,0.3835485526857875,Stoml2
ENSMUSG00000097641,0.37320560862706287,0.0,0.0,0.3628830221150515,0.3834366101771916,Gm26865
ENSMUSG00000018543,0.3730372936490595,0.0,0.0,0.36271322161007696,0.38326980867353627,1700001P01Rik
ENSMUSG00000024962,0.3727394093906134,0.0,0.0,0.36241270994257446,0.3829746013297835,Vegfb
ENSMUSG00000006333,0.37272335169673315,0.0,0.0,0.36239651067705814,0.3829586878777885,Rps9
ENSMUSG00000061479,0.37247667361671105,0.0,0.0,0.3621476585595705,0.38271422487622037,Snrpa
ENSMUSG00000032262,0.3722698934625967,0.0,0.0,0.36193905713312546,0.3825093004272917,Elovl4
ENSMUSG00000055652,0.37206284955329233,0.0,0.0,0.3617301906649885,0.3823041135808741,Klhl25
ENSMUSG00000027335,0.3716409138771897,0.0,0.0,0.36130454399914425,0.38188595929490704,Adra1d
ENSMUSG00000092607,0.3714906351060538,0.0,0.0,0.36115294454324526,0.38173702631003775,Scnm1
ENSMUSG00000053647,0.3707686551444175,0.0,0.0,0.36042462727271357,0.3810215044517075,Gper1
ENSMUSG00000072437,0.3707229579953191,0.0,0.0,0.3603785294330772,0.3809762156498645,Nanos1
ENSMUSG00000069310,0.3707079962834108,0.0,0.0,0.3603634365419863,0.3809613876243137,Hist1h3c
ENSMUSG00000034620,0.3706846497448183,0.0,0.0,0.3603398853197331,0.3809382496819088,Tmem5
ENSMUSG00000038702,0.3706521247921488,0.0,0.0,0.36030707523643946,0.38090601531112983,Dsel
ENSMUSG00000022706,0.3702954367605259,0.0,0.0,0.3599472619718128,0.380552512338345,Mrpl40
ENSMUSG00000078620,0.3701537327702959,0.0,0.0,0.35980431725243356,0.3804120728670695,Gm10964
ENSMUSG00000071855,0.37013667614634,0.0,0.0,0.3597871113171676,0.38039516841881194,Ccdc112
ENSMUSG00000029757,0.37008183389750365,0.0,0.0,0.3597317890346266,0.38034081541481063,Dync1i1
ENSMUSG00000032733,0.3698693304646789,0.0,0.0,0.3595174262484704,0.3801302070446997,Snx33
ENSMUSG00000030268,0.3697154567754684,0.0,0.0,0.35936220688392173,0.3799777049058177,Bcat1
ENSMUSG00000072423,0.3695731444656356,0.0,0.0,0.3592186505166793,0.3798366605975823,Psmb11
ENSMUSG00000070697,0.3695713455087248,0.0,0.0,0.3592168358368886,0.37983487766630963,Utp3
ENSMUSG00000026280,0.3694555724257325,0.0,0.0,0.35910005106204274,0.3797201357636834,Atg4b
ENSMUSG00000020738,0.3674250576567449,0.0,0.0,0.35705184520537503,0.37770765526113304,Sumo2
ENSMUSG00000044312,0.36715137164705547,0.0,0.0,0.3567757823040848,0.3774363925973981,Neurog3
ENSMUSG00000020142,0.3671392559864933,0.0,0.0,0.3567635614640566,0.37742438417385255,Slc1a4
ENSMUSG00000053553,0.36713547632866367,0.0,0.0,0.35675974899467816,0.37742063796947367,3110082I17Rik
ENSMUSG00000053841,0.36702690902031204,0.0,0.0,0.35665023935132084,0.37731303143801936,Txlna
ENSMUSG00000069270,0.36691662978946465,0.0,0.0,0.35653900321837345,0.3772037278495366,Hist1h2ac
ENSMUSG00000031819,0.36684621524720284,0.0,0.0,0.3564679778371502,0.37713393611610113,Emc8
ENSMUSG00000054161,0.36682318575121636,0.0,0.0,0.3564447485886689,0.3771111102881004,Fam83e
ENSMUSG00000031754,0.3667655859247984,0.0,0.0,0.3563866492109231,0.37705401980762965,Nudt21
ENSMUSG00000087197,0.36651178839287984,0.0,0.0,0.35613065150171125,0.3768024656350427,Gm13780
ENSMUSG00000016757,0.3661005342166049,0.0,0.0,0.3557158354607701,0.37639484338144086,Ttll12
ENSMUSG00000103164,0.3657352128655278,0.0,0.0,0.35534735349993035,0.3760327449622131,Gm38150
ENSMUSG00000036529,0.3656386558320928,0.0,0.0,0.3552499616342756,0.37593703924712246,Sbf1
ENSMUSG00000054146,0.3656114101602536,0.0,0.0,0.35522248043712645,0.37591003375356746,Krt15
ENSMUSG00000027613,0.3654766415310503,0.0,0.0,0.35508654706411447,0.3757764528905804,Eif6
ENSMUSG00000054855,0.365154800117694,0.0,0.0,0.3547619258996841,0.3754574462541137,Rnd1
ENSMUSG00000003123,0.36486840932301634,0.0,0.0,0.35447306364859216,0.37517357593501016,Lipe
ENSMUSG00000033967,0.3643640642029963,0.0,0.0,0.3539643710231167,0.37467366476948083,Rnf225
ENSMUSG00000021716,0.36406563015551774,0.0,0.0,0.35366336734194714,0.3743778515844942,Srek1ip1
ENSMUSG00000029624,0.3639719568134282,0.0,0.0,0.35356888788004837,0.3742850004534968,Ptcd1
ENSMUSG00000021273,0.36327441436475766,0.0,0.0,0.35286534930177976,0.3735935741305398,Fdft1
ENSMUSG00000072214,0.3627008440014399,0.0,0.0,0.35228685730045295,0.373025024301346,Sept5
ENSMUSG00000027342,0.3626784917353961,0.0,0.0,0.3522643133973109,0.3730028675305555,Pcna
ENSMUSG00000030689,0.36252607043843177,0.0,0.0,0.35211058563891195,0.3728517790122536,Ino80e
ENSMUSG00000033544,0.36244937622600465,0.0,0.0,0.3520332342634733,0.37277575521039313,Angptl1
ENSMUSG00000036678,0.3622857446043508,0.0,0.0,0.3518682010214116,0.3726135534857759,Aaas
ENSMUSG00000048251,0.3620886380466365,0.0,0.0,0.35166940696675797,0.3724181685083509,Bcl11b
ENSMUSG00000044948,0.3620626373737775,0.0,0.0,0.35164318376336523,0.372392394863817,Cfap43
ENSMUSG00000049653,0.3618871517427782,0.0,0.0,0.3514661966407334,0.3722184410922178,Spatc1
ENSMUSG00000022471,0.3618844377290927,0.0,0.0,0.3514634594112303,0.3722157507641594,Xrcc6
ENSMUSG00000021957,0.361521881383946,0.0,0.0,0.3510978033414006,0.37185635694500174,Tkt
ENSMUSG00000007415,0.3615212642007801,0.0,0.0,0.3510971808842543,0.37185574514279296,Gatad1
ENSMUSG00000035946,0.3612110558809148,0.0,0.0,0.3507843229248257,0.3715482402608225,Gsx2
ENSMUSG00000070371,0.3611840086872094,0.0,0.0,0.3507570448182503,0.3715214286735049,Prss36
ENSMUSG00000002769,0.360963597368031,0.0,0.0,0.3505347524178022,0.371302936700567,Gnmt
ENSMUSG00000087045,0.36088905534586235,0.0,0.0,0.3504595744891105,0.3712290435327344,4930515B02Rik
ENSMUSG00000020387,0.360807522479842,0.0,0.0,0.35037734623264655,0.37114822022319505,Jade2
ENSMUSG00000037531,0.36080573384068126,0.0,0.0,0.3503755423400587,0.371146447148277,Mrpl47
ENSMUSG00000090266,0.36067886853392656,0.0,0.0,0.35024759532956906,0.3710206855959385,Mettl23
ENSMUSG00000105039,0.36056899518113156,0.0,0.0,0.3501367854677182,0.3709117678575033,Gm42637
ENSMUSG00000026234,0.3604570110285889,0.0,0.0,0.35002384711510426,0.37080075738503326,Ncl
ENSMUSG00000029564,0.36043663417196264,0.0,0.0,0.3500032966629735,0.3707805576693624,4930519G04Rik
ENSMUSG00000037111,0.36038594076219205,0.0,0.0,0.3499521714270191,0.37073030490723546,Setd7
ENSMUSG00000000346,0.36037618543696914,0.0,0.0,0.34994233300927263,0.37072063437229974,Dazap2
ENSMUSG00000061937,0.360289371550996,0.0,0.0,0.34985477977369667,0.37063457494712826,Csn1s2a
ENSMUSG00000000711,0.36008902503003254,0.0,0.0,0.34965272769930844,0.3704359688704934,Rab5b
ENSMUSG00000025986,0.35988539522768326,0.0,0.0,0.3494473653877061,0.3702341070654274,Slc39a10
ENSMUSG00000047539,0.35966634094740046,0.0,0.0,0.3492264484843817,0.3700169536128493,Fbxo28
