,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000048455,0.03616077154314636,2.8789545295752684e-09,3.6054533870698415e-09,0.024231672405502523,0.04807957449839655,Sprr1b
ENSMUSG00000104835,0.0361396666347402,2.9404886710751505e-09,3.681593428164706e-09,0.024210552277957688,0.048058490802683096,Gm5547
ENSMUSG00000004642,0.03613418852657146,2.956669002609065e-09,3.700925025170941e-09,0.02420507022116481,0.048053018198863415,Slbp
ENSMUSG00000043969,0.03612303553010109,2.9898792317222853e-09,3.7415582927321805e-09,0.024193909187824113,0.04804187640660247,Emx2
ENSMUSG00000037705,0.03611531753662002,3.0130734049155163e-09,3.770111868012408e-09,0.024186185634483305,0.048034166164818336,Tecta
ENSMUSG00000020218,0.03611401970137204,3.0169908372156157e-09,3.7745412701308845e-09,0.02418488686444542,0.04803286963293357,Wif1
ENSMUSG00000027276,0.03610830988757888,3.034284523094503e-09,3.795702430691147e-09,0.024179172938531234,0.04802716555279741,Jag1
ENSMUSG00000026921,0.03590976506290762,3.6994733286589e-09,4.626654988317784e-09,0.023980485609647984,0.04782881961854014,Egfl7
ENSMUSG00000101621,0.03589211757719037,3.7650389916881204e-09,4.707475608512279e-09,0.02396282550317126,0.04781118976553871,Gm28905
ENSMUSG00000024552,0.03587465654131889,3.831024513077763e-09,4.789379313761423e-09,0.023945351987209294,0.047793746168780384,Slc14a2
ENSMUSG00000009900,0.03577927027318047,4.211846522999383e-09,5.262834590777687e-09,0.023849897671411095,0.047698455038815285,Wnt3a
ENSMUSG00000102886,0.035754468858609584,4.316749453743103e-09,5.393240197080339e-09,0.02382507859937641,0.04767367832561268,Gm30667
ENSMUSG00000048142,0.03574320400919439,4.365232141072301e-09,5.453131968859839e-09,0.0238138057347641,0.04766242469076177,Nat8l
ENSMUSG00000001741,0.03572268639300434,4.454902772046925e-09,5.564455123715869e-09,0.02379327352761714,0.04764192749282466,Il16
ENSMUSG00000029838,0.03560360708438579,5.011817369699897e-09,6.2569505239699084e-09,0.02367410973529288,0.04752296648864348,Ptn
ENSMUSG00000075028,0.03555722155406814,5.246608497336359e-09,6.5476207379712454e-09,0.023627691387377078,0.04747662695050853,Prdm11
ENSMUSG00000107253,0.03555642943977379,5.250709464704165e-09,6.551920969184133e-09,0.023626898713111362,0.04747583562116582,Gm43634
ENSMUSG00000026888,0.03555055966304042,5.2811960463602604e-09,6.589140419663457e-09,0.023621024787309257,0.04746997166066581,Grb14
ENSMUSG00000034898,0.03554722276583161,5.298604002394644e-09,6.610034933127051e-09,0.023617685531772185,0.04746663806954918,Filip1
ENSMUSG00000045591,0.0355171961907457,5.457778766800583e-09,6.806350335411584e-09,0.023587637747593312,0.04743664123189972,Olig3
