,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000045034,-0.28621882330205894,0.0,0.0,-0.29223013124853164,-0.28018489929032003,Ankrd34b
ENSMUSG00000029228,-0.2862441772904176,0.0,0.0,-0.29225538920415156,-0.2802103476655918,Lnx1
ENSMUSG00000029617,-0.2862565191423588,0.0,0.0,-0.2922676843060994,-0.2802227354664031,Ccz1
ENSMUSG00000079424,-0.2863239118443984,0.0,0.0,-0.292334821694676,-0.2802903791077691,Gm3259
ENSMUSG00000066007,-0.28640023817811444,0.0,0.0,-0.29241085879881434,-0.28036698971789775,Zfp600
ENSMUSG00000027829,-0.28641124316307304,0.0,0.0,-0.29242182207542033,-0.2803780356971163,Ccnl1
ENSMUSG00000039315,-0.2864182104535889,0.0,0.0,-0.29242876295943043,-0.28038502894205275,Clnk
ENSMUSG00000069911,-0.28642532587568137,0.0,0.0,-0.2924358514129348,-0.2803921708710439,Fam196b
ENSMUSG00000025782,-0.2864265139720888,0.0,0.0,-0.2924370350062024,-0.28039336339350135,Taf3
ENSMUSG00000044921,-0.28647326562864117,0.0,0.0,-0.292483609449345,-0.28044028923014186,Rassf9
ENSMUSG00000038670,-0.2864873183034165,0.0,0.0,-0.2924976088515056,-0.28045439426583524,Mybpc2
ENSMUSG00000035021,-0.2865893124883539,0.0,0.0,-0.29259921630708746,-0.2805567685639178,Baz1a
ENSMUSG00000074183,-0.28658965641306017,0.0,0.0,-0.2925995589275116,-0.280557113770599,Gsta1
ENSMUSG00000067613,-0.28660557847734053,0.0,0.0,-0.2926154206080944,-0.2805730951858761,Krt83
ENSMUSG00000108576,-0.28662903905035453,0.0,0.0,-0.29263879220193606,-0.2805966432164845,Gm44778
ENSMUSG00000085372,-0.28664732722382785,0.0,0.0,-0.29265701100867314,-0.2806149995706378,Gm16145
ENSMUSG00000048878,-0.2866506365022406,0.0,0.0,-0.292660307734582,-0.28061832118694074,Hexim1
ENSMUSG00000020829,-0.2866542823170236,0.0,0.0,-0.29266393972017146,-0.2806219805944803,Slc46a1
ENSMUSG00000020698,-0.28667354037520776,0.0,0.0,-0.29268312472639907,-0.2806413104557375,Cct6b
ENSMUSG00000046811,-0.2867266435272386,0.0,0.0,-0.2927360264161737,-0.28069461162657394,Gltpd2
ENSMUSG00000038522,-0.286729810644408,0.0,0.0,-0.2927391815168003,-0.28069779055492905,Mfsd4b1
ENSMUSG00000000378,-0.28673598902268965,0.0,0.0,-0.2927453364529621,-0.2807039919747263,Ccm2
ENSMUSG00000025575,-0.28673938516979464,0.0,0.0,-0.2927487197141294,-0.2807074007875663,Cant1
ENSMUSG00000028327,-0.2867446632539466,0.0,0.0,-0.2927539777714463,-0.28071269855633096,Stra6l
ENSMUSG00000091685,-0.286759048755322,0.0,0.0,-0.2927683086875227,-0.2807271377102942,Gm17359
ENSMUSG00000040703,-0.2867998130317773,0.0,0.0,-0.29280891827064365,-0.28076805403722105,Cyp2s1
ENSMUSG00000053216,-0.2868666461098926,0.0,0.0,-0.2928754976819534,-0.2808351364496978,Btn2a2
ENSMUSG00000001988,-0.28687408504277684,0.0,0.0,-0.2928829083765573,-0.28084260313867576,Npas1
ENSMUSG00000110767,-0.28687841732281366,0.0,0.0,-0.2928872242108733,-0.28084695158362155,RP23-363G20.2
ENSMUSG00000044477,-0.2868810518371797,0.0,0.0,-0.29288984872426854,-0.2808495959281946,Zfand3
ENSMUSG00000037325,-0.2868965682703692,0.0,0.0,-0.2929053062531539,-0.2808651702599656,Bbs7
ENSMUSG00000018372,-0.2868978933986605,0.0,0.0,-0.2929066263507775,-0.28086650033303584,Cep95
ENSMUSG00000024535,-0.2869138447615071,0.0,0.0,-0.29292251715466716,-0.28088251122096647,Snx24
ENSMUSG00000029027,-0.2869511195251485,0.0,0.0,-0.2929596503926433,-0.28091992509449043,Dffb
ENSMUSG00000107087,-0.28695921073441943,0.0,0.0,-0.2929677108786337,-0.28092804650267666,Gm34411
ENSMUSG00000020134,-0.2869883937187249,0.0,0.0,-0.29299678304459364,-0.280957338414153,Peli1
ENSMUSG00000039842,-0.2869932981893047,0.0,0.0,-0.2930016688900344,-0.2809622611920547,Mcph1
ENSMUSG00000066877,-0.28699492785561237,0.0,0.0,-0.2930032923674779,-0.2809638969416225,Nck2
ENSMUSG00000097458,-0.28700092810168876,0.0,0.0,-0.29300926982656145,-0.28096991958587314,Gm26697
ENSMUSG00000018395,-0.28705989298936374,0.0,0.0,-0.29306801075968814,-0.28102910460742936,Kif3a
ENSMUSG00000036915,-0.28706156951641576,0.0,0.0,-0.2930696809184594,-0.2810307873941381,Kirrel2
ENSMUSG00000028514,-0.2870814914106438,0.0,0.0,-0.2930895271366514,-0.281050783673672,Usp24
ENSMUSG00000103383,-0.2871032983707081,0.0,0.0,-0.2931112512540639,-0.28107267206359265,Gm37754
ENSMUSG00000022498,-0.2871795188068931,0.0,0.0,-0.29318718208702954,-0.28114917716550003,Txndc11
ENSMUSG00000063800,-0.28722374120262484,0.0,0.0,-0.29323123642289606,-0.28119356475680163,Prpf38a
ENSMUSG00000031493,-0.2872334501867199,0.0,0.0,-0.2932409085061953,-0.2812033100128781,Ggn
ENSMUSG00000027952,-0.2872553189786482,0.0,0.0,-0.29326269417721695,-0.28122526050940466,Pmvk
ENSMUSG00000078942,-0.28731466256987737,0.0,0.0,-0.29332181217845527,-0.2812848258476596,Naip6
ENSMUSG00000102918,-0.2873161707288095,0.0,0.0,-0.29332331460364125,-0.28128633964267946,Pcdhgc3
ENSMUSG00000101253,-0.28732978940094667,0.0,0.0,-0.293336881498719,-0.2813000092100365,Gm29088
ENSMUSG00000044674,-0.28733180865742375,0.0,0.0,-0.29333889307794486,-0.2813020360130158,Fzd1
ENSMUSG00000021313,-0.287350392294312,0.0,0.0,-0.2933574060569974,-0.2813206891044575,Ryr2
ENSMUSG00000024056,-0.28737846733314887,0.0,0.0,-0.29338537434168915,-0.2813488690796904,Ndc80
ENSMUSG00000062044,-0.28738019749503585,0.0,0.0,-0.29338709792437256,-0.2813506057087636,Lmtk3
ENSMUSG00000051864,-0.28747962443774266,0.0,0.0,-0.29348614671541046,-0.28145040436659946,Tbc1d22a
ENSMUSG00000017550,-0.28748773359254737,0.0,0.0,-0.29349422502288264,-0.2814585438438441,Atad5
ENSMUSG00000070802,-0.2874905384235855,0.0,0.0,-0.2934970191841066,-0.2814613591631465,Pnmal2
ENSMUSG00000053963,-0.2874934832767535,0.0,0.0,-0.293499952834694,-0.2814643150282832,Stum
ENSMUSG00000052456,-0.2875310085775718,0.0,0.0,-0.29353733537478527,-0.28150198066103516,Asna1
ENSMUSG00000053063,-0.28754098244729304,0.0,0.0,-0.29354727129696656,-0.28151199183278125,Clec12a
ENSMUSG00000020430,-0.28755178781783874,0.0,0.0,-0.2935580355549001,-0.2815228376166254,Pes1
ENSMUSG00000067750,-0.2875616610218292,0.0,0.0,-0.29356787119168315,-0.28153274774885356,Khdc1a
ENSMUSG00000003934,-0.28757036729286717,0.0,0.0,-0.2935765443345992,-0.2815414865845771,Efnb3
ENSMUSG00000099913,-0.28758593581234604,0.0,0.0,-0.293592053612036,-0.2815571133385911,Gm28551
ENSMUSG00000045314,-0.2875903237954179,0.0,0.0,-0.2935964248971829,-0.28156151773562893,Sowahb
ENSMUSG00000004500,-0.28759194151395334,0.0,0.0,-0.2935980364596279,-0.2815631415055683,Zfp324
ENSMUSG00000035310,-0.28761861161015184,0.0,0.0,-0.2936246050601196,-0.2815899113716425,Lin54
ENSMUSG00000061742,-0.2876235445254574,0.0,0.0,-0.293629519201708,-0.28159486274146633,Slc22a12
