,NMP_2_corr,NMP_2_pval,NMP_2_qval,NMP_2_ci_low,NMP_2_ci_high,gene_annotation
ENSMUSG00000111500,0.024329499265907755,3.5848013034292515e-13,4.5086850879460575e-13,0.017772338026556745,0.030884567774247612,RP23-61B14.3
ENSMUSG00000094841,0.02431601389551466,3.6933735425225987e-13,4.644762957333137e-13,0.01775884893226571,0.030871087286339905,Gm10610
ENSMUSG00000030037,0.024305394518096515,3.7811381576394466e-13,4.754891622944258e-13,0.017748226624055015,0.03086047175207331,Mrpl53
ENSMUSG00000022772,0.024304665793445188,3.7872352874197803e-13,4.76207112448686e-13,0.017747497698340636,0.030859743291093134,Senp5
ENSMUSG00000040729,0.024287770280802583,3.9313356483705534e-13,4.942503601761167e-13,0.017730597525996667,0.030842853889725283,Cep126
ENSMUSG00000100711,0.024285921915840634,3.9474232092219857e-13,4.962474891593354e-13,0.0177287486514919,0.030841006193108148,Gm29461
ENSMUSG00000024088,0.024279092790900774,4.007424271223949e-13,5.037131045261373e-13,0.017721917644341115,0.0308341795371028,4930583I09Rik
ENSMUSG00000041075,0.024269823701358207,4.0902978026747624e-13,5.141035714716432e-13,0.01771264600107548,0.03082491379763716,Fzd7
ENSMUSG00000078938,0.024246241727350216,4.3088030291201195e-13,5.415394521164944e-13,0.01768905753509165,0.030801340341655208,Syce3
ENSMUSG00000026275,0.024242225627405127,4.3471405560164483e-13,5.463298266344997e-13,0.017685040330265762,0.03079732569163567,Ppp1r7
ENSMUSG00000109980,0.024234239645174196,4.4243722744897084e-13,5.560075143741174e-13,0.01767705215161735,0.030789342591941517,Gm45538
ENSMUSG00000003119,0.024231004521072668,4.4560408968581364e-13,5.599299662196682e-13,0.017673816137984605,0.0307861086353186,Cdk12
ENSMUSG00000012819,0.02422269349426273,4.53842143410513e-13,5.701357094256506e-13,0.01766550282660066,0.03077780060712951,Cdh23
ENSMUSG00000086632,0.024207083123021483,4.6972164642006e-13,5.900238341811785e-13,0.0176498881667581,0.030762195865666295,1700112J05Rik
ENSMUSG00000091594,0.02420428390664499,4.726262464716697e-13,5.936419708074095e-13,0.01764708818169754,0.030759397658470952,Gm17067
ENSMUSG00000037529,0.024196699897415668,4.805846822720663e-13,6.035764038643292e-13,0.01763950209036394,0.030751816382933103,Prss40
ENSMUSG00000027793,0.02419619613540474,4.811179508213726e-13,6.042152393128562e-13,0.017638998190077568,0.030751312802478822,Ccna1
ENSMUSG00000021549,0.024165052252703007,5.152390551422163e-13,6.470333630940462e-13,0.017607845765295366,0.03072018013762086,Rasa1
ENSMUSG00000030911,0.02414152461247421,5.425806433323589e-13,6.812990310998862e-13,0.01758431168039524,0.0306966609634763,Zp2
ENSMUSG00000097784,0.024134854004292584,5.505884396207028e-13,6.912480757602523e-13,0.017577639246328276,0.030689992754296683,A430105J06Rik
ENSMUSG00000022032,0.02413407893507768,5.515263697806444e-13,6.923548129079856e-13,0.01757686396499855,0.030689217963788033,Scara5
ENSMUSG00000087308,0.024119527560687984,5.694293589879877e-13,7.147195757820702e-13,0.017562308609767253,0.030674671820448147,Gm16195
ENSMUSG00000111182,0.024111934496910292,5.789966146137639e-13,7.266907720068056e-13,0.017554713469847067,0.030667081485186095,RP23-373D18.1
ENSMUSG00000109564,0.024103943255795263,5.892360072604049e-13,7.395042912772817e-13,0.017546720044534753,0.03065909311485247,Muc16
ENSMUSG00000096931,0.024080561377548108,6.202277348799107e-13,7.783598112232451e-13,0.017523331780275406,0.03063571963152482,Gm26656
ENSMUSG00000045912,0.024079220976738418,6.220520802816988e-13,7.80609387941542e-13,0.017521991013595584,0.030634379711749055,C2cd4c
ENSMUSG00000022487,0.02407854181649784,6.229784574632343e-13,7.817319374239666e-13,0.01752131166798331,0.030633700795231894,Gtsf1
ENSMUSG00000024048,0.02407836823798865,6.23215436434296e-13,7.819893389551201e-13,0.01752113804209813,0.030633527279012106,Myl12a
ENSMUSG00000048480,0.02407482614623152,6.280706698647464e-13,7.880412452227745e-13,0.017517594983659776,0.030629986458263782,Cxcr1
ENSMUSG00000049685,0.02407439179451054,6.286685965156261e-13,7.88745611924168e-13,0.017517160513410103,0.030629552262389906,Cyp2g1
ENSMUSG00000041609,0.02407437167770254,6.286963027596924e-13,7.88745611924168e-13,0.017517140391112553,0.030629532152799833,Ccdc64
ENSMUSG00000030499,0.02406322735577927,6.442307408286392e-13,8.081108235234635e-13,0.01750599302890479,0.03061839182865411,Kctd15
ENSMUSG00000056436,0.024062535311520302,6.452077332033164e-13,8.09294996710321e-13,0.01750530079590286,0.030617700032596912,Cyct
ENSMUSG00000059654,0.02404857831250434,6.652248711530907e-13,8.343602062094857e-13,0.017491339991701438,0.03060374803792013,Reg1
ENSMUSG00000097108,0.02404560373479804,6.695691669090086e-13,8.397232561653971e-13,0.017488364603347628,0.03060077452643064,Gm26581
ENSMUSG00000033029,0.024003121532117297,7.347382753380988e-13,9.213122643565373e-13,0.017445870835867697,0.03055830753854009,1700088E04Rik
ENSMUSG00000028874,0.023993991701359293,7.495360441576914e-13,9.39819669892224e-13,0.017436738522816443,0.030549180974496156,Fgr
ENSMUSG00000109354,0.023986023454928167,7.626898899332548e-13,9.562151957126728e-13,0.017428768110807277,0.030541215578263232,Olfr706
ENSMUSG00000050818,0.023985007776717675,7.643827511654232e-13,9.582886696595931e-13,0.01742775215661972,0.03054020026329546,Olfr330
ENSMUSG00000095797,0.023972456959410814,7.85608407793951e-13,9.847982042355296e-13,0.017415197930159533,0.030527653933491657,Gm8246
ENSMUSG00000024477,0.0239685948511509,7.92255548896677e-13,9.930800141170784e-13,0.017411334773258902,0.030523793205700114,Pggt1b
ENSMUSG00000035245,0.023968270212215436,7.928167990988171e-13,9.93682069093581e-13,0.017411010046186306,0.030523468682794378,Eogt
ENSMUSG00000047014,0.023961329769059018,8.049095347056127e-13,1.008787079943451e-12,0.017404067719080443,0.03051653071990236,Catsperb
ENSMUSG00000087215,0.02395716802353661,8.122474179051434e-13,1.0179316320967323e-12,0.017399904844175744,0.030512370461334957,Gm14618
ENSMUSG00000048502,0.02395480338838242,8.164458916449033e-13,1.023141054086651e-12,0.017397539567426443,0.030510006670942884,Duxbl1
ENSMUSG00000055827,0.023953709617155174,8.183951099475389e-13,1.0255314009815738e-12,0.0173964454994517,0.030508913290438852,Gsdmc3
ENSMUSG00000033790,0.023949800681299833,8.253986580160132e-13,1.0342019827307556e-12,0.017392535503204076,0.03050500575082773,Tubgcp5
ENSMUSG00000101517,0.023949741967193374,8.25504301843413e-13,1.0342815686292854e-12,0.017392476773171548,0.030504947057692012,4732465J04Rik
ENSMUSG00000073945,0.023936755819349165,8.491992178256206e-13,1.0639148439074673e-12,0.01737948710397425,0.030491965546959345,Olfr618
ENSMUSG00000065968,0.02393283501991373,8.564835209104357e-13,1.0729861927438013e-12,0.017375565241801054,0.030488046147133744,Ifitm7
ENSMUSG00000108356,0.023932742667042442,8.566558369465549e-13,1.073147308980653e-12,0.017375472863899833,0.030487953827227278,9130221F21Rik
ENSMUSG00000107623,0.023923805071001832,8.734939798141155e-13,1.0941849077753145e-12,0.017366532846077302,0.030479019420880677,Gm10415
ENSMUSG00000053490,0.02392364867373387,8.737915002401784e-13,1.0945017557214868e-12,0.01736637640644038,0.03047886307941923,Trim60
ENSMUSG00000032595,0.0239233805179952,8.743018545008321e-13,1.0950851510919513e-12,0.01736610817805746,0.03047859501936459,Cdhr4
ENSMUSG00000026683,0.023917459119136765,8.856463179375141e-13,1.1091246313696428e-12,0.017360185175313497,0.030472675733154757,Nuf2
ENSMUSG00000048745,0.023905123637904216,9.09745086585624e-13,1.1391300166182294e-12,0.017347846354338347,0.030460344651523433,Olfr820
ENSMUSG00000020364,0.023902827238571102,9.14301885721534e-13,1.1447190157182611e-12,0.017345549333492187,0.0304580490710091,Zfp354a
ENSMUSG00000049097,0.02389537484326761,9.292446972380384e-13,1.1632496714724068e-12,0.017338094921698827,0.03045059933250283,Ankrd34a
ENSMUSG00000005339,0.023873522093180843,9.744571414313257e-13,1.2197232595677752e-12,0.017316236262836914,0.03042875436877625,Fcer1a
ENSMUSG00000072686,0.023872862497048487,9.758548578585924e-13,1.2214105052071858e-12,0.01731557648845351,0.03042809500756744,Gm10398
ENSMUSG00000087602,0.02386731379560955,9.876909833788953e-13,1.236161952587992e-12,0.0173100262877445,0.03042254828214316,Gm12753
