,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000041644,-0.14757575969415107,2.1202770380206822e-197,4.5705476137544346e-197,-0.15707081247086382,-0.13805342665048223,Slc5a12
ENSMUSG00000024206,-0.14763662584910306,1.4549942617636535e-197,3.137792240163152e-197,-0.1571314986065888,-0.1381144620744438,Rfx2
ENSMUSG00000015653,-0.14770736020405334,9.391330755594975e-198,2.0261770777982685e-197,-0.1572020236657958,-0.13818539323277143,Steap2
ENSMUSG00000032590,-0.14777320152856577,6.246819373665389e-198,1.3489137062546728e-197,-0.15726767008551798,-0.13825141783461722,Apeh
ENSMUSG00000032299,-0.14783419808108744,4.281002098778541e-198,9.252219794204757e-198,-0.15732848599996616,-0.13831258425398152,Commd4
ENSMUSG00000036553,-0.14784684230589182,3.958373041340959e-198,8.556794296024553e-198,-0.1573410927705544,-0.13832526370026751,Sh3tc1
ENSMUSG00000061171,-0.14800880079997006,1.4500213695681622e-198,3.1378951949105433e-198,-0.15750257124400194,-0.13848767361849515,Slc38a11
ENSMUSG00000047507,-0.14801689500379203,1.3789993418484068e-198,2.9848470602779365e-198,-0.15751064144449978,-0.13849579039658955,Baiap3
ENSMUSG00000038903,-0.14807399431944898,9.675435287868758e-199,2.0947034613268584e-198,-0.1575675713963746,-0.13855304899531612,Ccdc68
ENSMUSG00000039339,-0.14818340599761612,4.904670054870195e-199,1.0620766684430912e-198,-0.15767665836937617,-0.13866276606387526,Mfsd4b2
ENSMUSG00000043897,-0.14820346469486645,4.330027242640395e-199,9.378443237254484e-199,-0.15769665751254106,-0.13868288077440677,Vmn2r2
ENSMUSG00000107047,-0.148215780713576,4.011046330325622e-199,8.689441790133495e-199,-0.157708936961247,-0.13869523118910343,Gm43298
ENSMUSG00000101797,-0.14826134181593448,3.0219857423030266e-199,6.5552836058633975e-199,-0.1577543627533228,-0.13874091955954665,Gm29266
ENSMUSG00000025232,-0.14828229854741218,2.6528865567274363e-199,5.755883177972307e-199,-0.15777525723266536,-0.1387619348441084,Hexa
ENSMUSG00000024184,-0.14847736278442694,7.883650798234716e-200,1.7119762862616105e-199,-0.1579697416220436,-0.13895754450171546,Pdia2
ENSMUSG00000022780,-0.14852532363063983,5.848475768667925e-200,1.270303164350114e-199,-0.1580175597871244,-0.1390056395653928,Mfi2
ENSMUSG00000029455,-0.14866353962433435,2.472082502369449e-200,5.371756849998803e-200,-0.15815536434608546,-0.139144242604962,Aldh2
ENSMUSG00000040969,-0.148671609777933,2.350799909524983e-200,5.110434585923876e-200,-0.15816341046541363,-0.1391523353689142,Arhgef38
ENSMUSG00000021187,-0.14891489308530537,5.152485141870321e-201,1.1220568688741989e-200,-0.15840596864253279,-0.13939630088621635,Tc2n
ENSMUSG00000001786,-0.14898150180147496,3.3988758869050976e-201,7.406571991512526e-201,-0.1584723786249997,-0.13946309658664338,Fbxo7
ENSMUSG00000058297,-0.14902208868051364,2.637535063752498e-201,5.748768665545985e-201,-0.1585128443669608,-0.13950379744380403,Spock2
ENSMUSG00000026639,-0.1490726589917392,1.9227622419109525e-201,4.192678242282932e-201,-0.1585632636995824,-0.1395545098141301,Lamb3
ENSMUSG00000040505,-0.14913068282985803,1.3377029005644744e-201,2.9175635781122668e-201,-0.15862111424547698,-0.13961269671086218,Abcg5
ENSMUSG00000003585,-0.14914140942377158,1.2509043175723242e-201,2.7288488603235697e-201,-0.15863180879653588,-0.1396234534558532,Sec14l2
ENSMUSG00000040883,-0.14920017200427665,8.661114830974374e-202,1.890247671535219e-201,-0.1586903957998994,-0.1396823812502842,Tmem205
ENSMUSG00000054693,-0.14923016131591177,7.179117785883435e-202,1.568177760131812e-201,-0.1587202954804951,-0.13971245490434697,Adam10
