,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000041849,-0.0673840064764934,3.631435669025761e-42,3.9220603402373485e-42,-0.07705390579403698,-0.05770143133779081,Card6
ENSMUSG00000020573,-0.06749320592340956,2.6826614646307373e-42,2.897981489284582e-42,-0.07716295191071916,-0.05781076376091734,Pik3cg
ENSMUSG00000025194,-0.06782920356564565,1.0533552984197857e-42,1.1385163190875333e-42,-0.07749847631751615,-0.05814717201667921,Abcc2
ENSMUSG00000022868,-0.06792316366644541,8.10363906920726e-43,8.76069088562947e-43,-0.07759230368845488,-0.05824124733697907,Ahsg
ENSMUSG00000052435,-0.06796942100829595,7.121159326340153e-43,7.699382988798954e-43,-0.07763849562337048,-0.058287561465517376,Cebpe
ENSMUSG00000042066,-0.06836297334455113,2.3629761849362256e-43,2.555674004906149e-43,-0.07803148980568864,-0.05868159862228265,Tmcc2
ENSMUSG00000059481,-0.06848018553269009,1.6991636483810107e-43,1.837927148059503e-43,-0.07814853517741181,-0.058798955788167344,Plg
ENSMUSG00000032081,-0.06870336935183761,9.054032396342602e-44,9.795555984358544e-44,-0.0783714006243696,-0.05902241639942649,Apoc3
ENSMUSG00000032633,-0.0690545099211926,3.3488875763074805e-44,3.624729490537375e-44,-0.07872203833477644,-0.05937399441663318,Flcn
ENSMUSG00000020932,-0.06996320361306418,2.4937667917351337e-45,2.7015131532175645e-45,-0.0796294196064713,-0.060283831300520285,Gfap
ENSMUSG00000030054,-0.07042110810534398,6.649837852126824e-46,7.209277810198205e-46,-0.08008665668058856,-0.06074231795909757,Gp9
ENSMUSG00000032316,-0.07071735118753344,2.8146756833584903e-46,3.052793582818319e-46,-0.08038246580703397,-0.06103893985191882,Clk3
ENSMUSG00000040564,-0.07112940786481474,8.461720586943281e-47,9.180558301989022e-47,-0.0807939160465667,-0.061451526275051925,Apoc1
ENSMUSG00000021456,-0.07174031257931103,1.4060342256482136e-47,1.526307235831756e-47,-0.08140391561053037,-0.062063222463852874,Fbp2
ENSMUSG00000006362,-0.07225664073107294,3.0477816675105884e-48,3.311006700174458e-48,-0.08191947309655319,-0.06258022522744859,Cbfa2t3
ENSMUSG00000002083,-0.07255783470736302,1.2428842223886467e-48,1.350667487925067e-48,-0.08222021512579976,-0.06288181512893781,Bbc3
ENSMUSG00000047228,-0.07276438792473464,6.704108593768073e-49,7.286282571207557e-49,-0.08242645738911693,-0.06308864088593846,BC048546
ENSMUSG00000022747,-0.07277333488603448,6.52696508188755e-49,7.094527262921249e-49,-0.08243539086257816,-0.06309759967121534,St3gal6
ENSMUSG00000071178,-0.07332773483259188,1.233865303242215e-49,1.3426173049425624e-49,-0.08298895200384461,-0.06365273533451904,Serpina1b
ENSMUSG00000034127,-0.07348532512766565,7.666879211313289e-50,8.344448423283946e-50,-0.08314630277709688,-0.06381053585275857,Tspan8
