,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000025576,0.37212052594212786,0.0,0.0,0.36178837466128067,0.3823612727476888,Rbfox3
ENSMUSG00000022534,0.3720983645399001,0.0,0.0,0.3617660182079679,0.3823393100905669,Mefv
ENSMUSG00000047496,0.3720433621852331,0.0,0.0,0.3617105318076205,0.3822848009511161,Rnf152
ENSMUSG00000024953,0.3719927425432873,0.0,0.0,0.3616594667545396,0.38223463516089307,Prdx5
ENSMUSG00000026170,0.37197845871665397,0.0,0.0,0.36164505725321877,0.3822204793910033,Cyp27a1
ENSMUSG00000033752,0.3719767719373633,0.0,0.0,0.3616433556333108,0.38221880773363587,Mnd1
ENSMUSG00000032514,0.3719564012724474,0.0,0.0,0.36162280574869804,0.3821986196857966,Ttc21a
ENSMUSG00000032091,0.3719552333244192,0.0,0.0,0.36162162752544846,0.38219746220778594,Tmprss4
ENSMUSG00000100000,0.3719369616377714,0.0,0.0,0.3616031950948276,0.38217935431266575,1700023F02Rik
ENSMUSG00000028678,0.3719019572293487,0.0,0.0,0.361567882759964,0.3821446636697005,Kif2c
ENSMUSG00000037949,0.37188308102456563,0.0,0.0,0.36154884051747027,0.3821259566516542,Ano10
ENSMUSG00000097313,0.3718350538179798,0.0,0.0,0.36150039089580016,0.3820783598733217,Gm26569
ENSMUSG00000111657,0.37179275054304417,0.0,0.0,0.36145771559587325,0.38203643568274387,RP23-384F19.1
ENSMUSG00000086632,0.37166671728396555,0.0,0.0,0.36133057422722337,0.3819115315718048,1700112J05Rik
ENSMUSG00000017692,0.3716472781514532,0.0,0.0,0.36131096421618975,0.3818922665636619,Rhbdl3
ENSMUSG00000078640,0.3716447177957673,0.0,0.0,0.3613083813545332,0.3818897291414798,Gm11627
ENSMUSG00000039315,0.37164065423796805,0.0,0.0,0.36130428207768145,0.3818857019812823,Clnk
ENSMUSG00000003228,0.3716297681152855,0.0,0.0,0.3612933002669331,0.3818749133645261,Grk5
ENSMUSG00000060568,0.371587200530273,0.0,0.0,0.3612503585441013,0.38183272702636595,Fam78b
ENSMUSG00000001946,0.37158402290853904,0.0,0.0,0.3612471529951639,0.38182957786256283,Esam
ENSMUSG00000016995,0.3714818324673368,0.0,0.0,0.36114406456183507,0.38172830248478945,Matn4
ENSMUSG00000028782,0.37147975898251073,0.0,0.0,0.36114197285900596,0.3817262475644187,Adgrb2
ENSMUSG00000034951,0.37143044250509755,0.0,0.0,0.3610922231089932,0.38167737260054935,Cog7
ENSMUSG00000027217,0.3713019923768961,0.0,0.0,0.3609626447514406,0.38155007217338766,Tspan18
ENSMUSG00000030518,0.3712603978313063,0.0,0.0,0.3609206849497275,0.3815088498391004,Fam189a1
ENSMUSG00000020422,0.371256756971867,0.0,0.0,0.3609170121206318,0.3815052415581714,Tns3
ENSMUSG00000024790,0.3712250958607866,0.0,0.0,0.3608850730132087,0.3814738637384159,Sac3d1
ENSMUSG00000052776,0.3712190492257229,0.0,0.0,0.3608789732891964,0.38146787120360826,Oas1a
ENSMUSG00000058806,0.37120939830356287,0.0,0.0,0.3608692376345822,0.38145830662807956,Col13a1
ENSMUSG00000041923,0.37119763975829095,0.0,0.0,0.36085737585554784,0.3814466532833403,Nol4
ENSMUSG00000067928,0.37118608665003827,0.0,0.0,0.3608457213204186,0.3814352035344579,Zfp760
ENSMUSG00000019850,0.3711360345101478,0.0,0.0,0.3607952298008279,0.3813855991474909,Tnfaip3
ENSMUSG00000021904,0.3709865514204063,0.0,0.0,0.3606444348436196,0.3812374529417113,Sema3g
ENSMUSG00000028763,0.3709650953058753,0.0,0.0,0.3606227904740432,0.3812161886741419,Hspg2
ENSMUSG00000024620,0.37095875403222767,0.0,0.0,0.3606163935644601,0.381209904098063,Pdgfrb
ENSMUSG00000094626,0.37089281119154294,0.0,0.0,0.3605498722239102,0.3811445507986691,Cecr6
ENSMUSG00000054874,0.37084598091538123,0.0,0.0,0.36050263118146975,0.3810981391316919,Pcnx3
