,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000067698,0.015269188450534293,5.058604568192048e-06,6.176589385232304e-06,0.008710063170894948,0.02182699986117109,Gm10220
ENSMUSG00000078899,0.015265184889427486,5.087517932107737e-06,6.21158388130236e-06,0.008706058980054708,0.021822997274131832,Gm4631
ENSMUSG00000046913,0.015255910705223806,5.155104389609167e-06,6.293477349395071e-06,0.008696783337891775,0.02181372534553228,Olfr1451
ENSMUSG00000096421,0.01525468250825969,5.164119193149004e-06,6.3041693730208e-06,0.008695554947932118,0.021812497447197304,Gm10100
ENSMUSG00000026825,0.015252838565077162,5.177681841139671e-06,6.320411900942733e-06,0.008693710715034534,0.021810653952321974,Dnm1
ENSMUSG00000101919,0.015250328011024772,5.1962024132371104e-06,6.342704665894279e-06,0.008691199766602835,0.021808144008574323,Gm29664
ENSMUSG00000028542,0.015246105612412889,5.2274945501745805e-06,6.380266762571401e-06,0.008686976704886997,0.021803922636222692,Slc6a9
ENSMUSG00000069299,0.015240330919361339,5.2705829657471524e-06,6.4322175651170135e-06,0.008681201105331188,0.021798149346340282,Vmn1r188
ENSMUSG00000101520,0.015239806087081538,5.2745158642689575e-06,6.4366973258875415e-06,0.008680676190685554,0.021797624641565656,Scgb1b12
ENSMUSG00000078672,0.015237572122629526,5.291287822410088e-06,6.456522966841235e-06,0.008678441875681314,0.021795391219802868,Mup20
ENSMUSG00000092576,0.01521494878040053,5.464039321669624e-06,6.666323465793709e-06,0.008655814987102384,0.021772773369695974,Obox4-ps35
ENSMUSG00000086902,0.015212488121905595,5.483151165915497e-06,6.6893081950587475e-06,0.008653353943288894,0.021770313308154383,Gm11728
ENSMUSG00000091700,0.015211029608919933,5.4945095728943635e-06,6.702832109395926e-06,0.008651895201949797,0.02176885514896506,Gm7876
ENSMUSG00000095914,0.01521065963275931,5.497394401944758e-06,6.706018152558637e-06,0.008651525167867956,0.021768485262546346,Vmn2r48
ENSMUSG00000075064,0.015208770857548364,5.512144430364885e-06,6.723676970107246e-06,0.008649636096989825,0.02176659694545125,Olfr1506
