,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000026874,-0.008480994138063675,0.01127898810272131,0.013269397767907426,-0.015040155104934892,-0.0019211032887788099,Hc
ENSMUSG00000029455,-0.008481594353962198,0.011273217059866208,0.013264168796171559,-0.015040755228223679,-0.001921703545639348,Aldh2
ENSMUSG00000022181,-0.008487734276458976,0.011214332468773004,0.013197990430473112,-0.0150468942030956,-0.001927843887429534,C6
ENSMUSG00000030562,-0.008505326673497291,0.01104712329379527,0.013002734573676166,-0.015064483882215965,-0.0019454374885863978,Nox4
ENSMUSG00000022015,-0.008525058312949748,0.010862219933480834,0.01278961489871757,-0.01508421246842039,-0.0019651704834105,Tnfsf11
ENSMUSG00000026418,-0.008534270547031087,0.010776838743923765,0.012692072481361165,-0.015093423275263924,-0.001974383352032048,Tnni1
ENSMUSG00000019787,-0.008534510111213757,0.010774626387396877,0.012690961587039903,-0.015093662802316419,-0.0019746229327307955,Trdn
ENSMUSG00000042178,-0.008536712367362458,0.010754307631932955,0.012668521182628054,-0.01509586471710104,-0.0019768253407431093,Armc5
ENSMUSG00000022440,-0.008542709270134459,0.010699150765690056,0.0126050315335651,-0.01510186068999149,-0.001982822657373309,C1qtnf6
ENSMUSG00000004748,-0.008566953328958437,0.010478719965057124,0.01234824412568598,-0.015126100984715845,-0.0020070683941382007,Mtfp1
ENSMUSG00000055471,-0.008570781602017519,0.010444284531573613,0.012309115535148631,-0.015129928662697608,-0.0020108969328586587,Alk
ENSMUSG00000074991,-0.008586147393490454,0.010307079660952324,0.012148844484856581,-0.015145292063735223,-0.002026263792569139,Gabrr3
ENSMUSG00000079057,-0.008589331665199833,0.010278848010272417,0.012116996357741855,-0.015148475839684367,-0.0020294482860382253,Cyp4v3
ENSMUSG00000030782,-0.008613611400891443,0.010065838155795773,0.011868692554882411,-0.015172751790883112,-0.0020537297169990754,Tgfb1i1
ENSMUSG00000063802,-0.008618109911087173,0.01002680651270292,0.011824064283847783,-0.015177249599045048,-0.0020582285421409103,Hspbp1
ENSMUSG00000026866,-0.008631254126289971,0.00991353100452476,0.01169324251536301,-0.015190391761451514,-0.0020713736791074656,Kynu
ENSMUSG00000025533,-0.00863871665368737,0.009849728319254729,0.011619356280824264,-0.015197853122380965,-0.0020788367308380838,Asl
ENSMUSG00000007122,-0.008645656757256873,0.00979072084009811,0.011552472967667387,-0.015204792140487039,-0.002085777322689979,Casq1
ENSMUSG00000097289,-0.008647321192493632,0.009776616079005956,0.01153719150224918,-0.015206456315304704,-0.002087441875124776,2010300F17Rik
ENSMUSG00000089945,-0.00864898388716206,0.009762544150563315,0.011521945179468092,-0.015208118749790092,-0.0020891046869049787,Pakap
ENSMUSG00000110101,-0.008689869409418273,0.009422148240085753,0.011129397873949625,-0.015248997862757758,-0.0021299931003431467,Gm6249
ENSMUSG00000028785,-0.008706749192698619,0.009284729841375652,0.010968375477112406,-0.015265874993537631,-0.0021468740836590307,Hpca
ENSMUSG00000097731,-0.008707818310195032,0.009276086676905989,0.010959459684435242,-0.015266943942906348,-0.002147943277288183,2700016F22Rik
