,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000004151,0.11357635709316995,1.44216191207322e-254,9.959681713212844e-254,0.10709615249114962,0.12004691259351823,Etv1
ENSMUSG00000086765,0.11354162683274555,2.0640020441076973e-254,1.4244320525242907e-253,0.10706137192525601,0.12001223551206167,Gm11827
ENSMUSG00000064202,0.11354112983142646,2.074616501165636e-254,1.430770000803887e-253,0.10706087420416442,0.1200117392716363,4430402I18Rik
ENSMUSG00000067212,0.11350627667543169,2.9725879393149563e-254,2.0486477872604798e-253,0.10702597058086284,0.11997693946668715,H2-T23
ENSMUSG00000064090,0.11349885315489953,3.2092041423595936e-254,2.2101956903302987e-253,0.10701853631314971,0.11996952730756485,Vrk2
ENSMUSG00000040428,0.11335037602709508,1.4832286910015386e-253,1.0208043296638255e-252,0.10686984438418291,0.11982127726673418,Plekha4
ENSMUSG00000007659,0.11308483131189825,2.2800853817685265e-252,1.5681467549989865e-251,0.10660391622949009,0.11955613796687514,Bcl2l1
ENSMUSG00000022893,0.11297946147363369,6.730721706060815e-252,4.625925571175818e-251,0.10649839449693199,0.11945092874420012,Adamts1
ENSMUSG00000041216,0.11284329877222728,2.7219811420925433e-251,1.8694925426459775e-250,0.10636203572846124,0.11931497338079018,Clvs1
ENSMUSG00000061510,0.11270300580853436,1.1463709358968384e-250,7.868022895654347e-250,0.10622154100532848,0.11917489379048367,Gm10101
ENSMUSG00000036019,0.11259563309386972,3.4410918368362786e-250,2.360145292754649e-249,0.10611401404962992,0.119067684206319,Tmtc2
ENSMUSG00000022014,0.11259083925990829,3.6140847853643486e-250,2.4770971798247763e-249,0.10610921333285527,0.11906289765207148,Epsti1
ENSMUSG00000052417,0.11250786007514467,8.4446099469505e-250,5.783979415719521e-249,0.10602611505746541,0.1189800444283242,Olfr720
