,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000047604,0.48429477809827726,0.0,0.0,0.47925736791570506,0.48930028221683664,Frat2
ENSMUSG00000028896,0.4842810784304998,0.0,0.0,0.4792435813789577,0.48928666976752827,Rcc1
ENSMUSG00000050856,0.48411836168910866,0.0,0.0,0.47907983304822305,0.4891249887702194,Atp5k
ENSMUSG00000020974,0.48410606091142133,0.0,0.0,0.47906745430049325,0.4891127662769265,Pole2
ENSMUSG00000063802,0.48393802634903377,0.0,0.0,0.47889835483036075,0.4889458009202694,Hspbp1
ENSMUSG00000041390,0.4839268417041541,0.0,0.0,0.4788870993168209,0.488934687430381,Mdfic
ENSMUSG00000032394,0.48377646793207313,0.0,0.0,0.4787357729004345,0.48878527015526657,Igdcc3
ENSMUSG00000033752,0.4837719722200014,0.0,0.0,0.4787312487118467,0.48878080303498056,Mnd1
ENSMUSG00000024558,0.48352138194443295,0.0,0.0,0.478479071583131,0.48853180604565527,Mapk4
ENSMUSG00000024742,0.48344513694171504,0.0,0.0,0.47840234392693765,0.48845604565686834,Fen1
ENSMUSG00000042032,0.48318393839160945,0.0,0.0,0.478139492496266,0.48819650671441756,Mat2b
ENSMUSG00000048826,0.48305699495495974,0.0,0.0,0.47801174608000885,0.4880703695329125,Dact2
ENSMUSG00000054976,0.4830472842474699,0.0,0.0,0.478001973956311,0.4880607204923626,Nyap2
ENSMUSG00000025492,0.4829962178632423,0.0,0.0,0.47795058461888135,0.48800997838026683,Ifitm3
ENSMUSG00000030498,0.4829776546757208,0.0,0.0,0.47793190404290914,0.4879915330608026,Gas2
ENSMUSG00000000958,0.48292576137310217,0.0,0.0,0.47787968260564667,0.4879399692340215,Slc7a7
ENSMUSG00000028438,0.4826195956246076,0.0,0.0,0.4775715816186949,0.4876357466505716,Kif24
ENSMUSG00000041272,0.48246816081517224,0.0,0.0,0.47741919006617056,0.48748527251348667,Tox
ENSMUSG00000024077,0.48227533766422037,0.0,0.0,0.4772251491262115,0.48729367216297115,Strn
ENSMUSG00000026473,0.4822343056966862,0.0,0.0,0.47718385808176794,0.4872529003399527,Glul
ENSMUSG00000097797,0.482106327820258,0.0,0.0,0.4770550722929405,0.4871257337084594,Gm26901
ENSMUSG00000010064,0.4817119415833849,0.0,0.0,0.47665819769682144,0.48673384612626375,Slc38a3
ENSMUSG00000073771,0.4817061254099538,0.0,0.0,0.47665234484196406,0.48672806678637953,Btbd19
ENSMUSG00000074796,0.4814577893570552,0.0,0.0,0.4764024430019071,0.48648130302365183,Slc4a11
ENSMUSG00000007458,0.4813478435607078,0.0,0.0,0.47629180424562634,0.4863720530712133,M6pr
ENSMUSG00000032199,0.48131460189741765,0.0,0.0,0.476258353100246,0.48633902176256316,Polr2m
ENSMUSG00000022809,0.4812840813013279,0.0,0.0,0.4762276401825563,0.4863086942894405,Nr1i2
ENSMUSG00000054612,0.48120874863623814,0.0,0.0,0.4761518328712005,0.48623383824958777,Mgmt
ENSMUSG00000030287,0.481139093035757,0.0,0.0,0.4760817384606438,0.4861646232902729,Itpr2
ENSMUSG00000019856,0.4810206705580982,0.0,0.0,0.47596257010322524,0.48604694980820395,Fam184a
ENSMUSG00000044708,0.48095511975838984,0.0,0.0,0.4758966065139996,0.48598181352422676,Kcnj10
ENSMUSG00000105789,0.48094875606777404,0.0,0.0,0.4758902027526885,0.4859754900719444,Gm42997
ENSMUSG00000040006,0.4809038423419116,0.0,0.0,0.47584500623068215,0.4859308603256705,Ginm1
ENSMUSG00000042766,0.48089822788998393,0.0,0.0,0.47583935642962794,0.48592528137084146,Trim46
ENSMUSG00000039740,0.48085875888789725,0.0,0.0,0.47579963893871113,0.48588606189803346,Alg2
ENSMUSG00000111291,0.480739567275463,0.0,0.0,0.47567969704529744,0.4857676237109554,RP23-162P10.8
ENSMUSG00000049971,0.480622988004004,0.0,0.0,0.47556238411889995,0.48565178117330743,Glt1d1
ENSMUSG00000031016,0.48051558823420076,0.0,0.0,0.47545430862175964,0.4855450599702675,Wee1
ENSMUSG00000078429,0.4804264458061067,0.0,0.0,0.4753646054521018,0.48545648064265107,Ctdsp2
ENSMUSG00000026000,0.4803019235498174,0.0,0.0,0.47523930007715215,0.4853327448034676,Lancl1
ENSMUSG00000101365,0.48016566071629824,0.0,0.0,0.4751021805239721,0.48519734230345585,Gm19325
ENSMUSG00000038679,0.4801403411745374,0.0,0.0,0.47507670181879885,0.4851721825971179,Trps1
ENSMUSG00000020321,0.4801153282148435,0.0,0.0,0.4750515316312622,0.48514732752929624,Mdh1
ENSMUSG00000073678,0.48002218789455187,0.0,0.0,0.474957805917279,0.4850547750766954,Pgap1
ENSMUSG00000024827,0.4799123571837515,0.0,0.0,0.4748472850600904,0.4849456374323769,Gldc
ENSMUSG00000040312,0.4798157710017059,0.0,0.0,0.474750092088706,0.48484966061009876,Cchcr1
ENSMUSG00000032281,0.47980270334013625,0.0,0.0,0.4747369423408475,0.4848366753827624,Acsbg1
ENSMUSG00000097533,0.47973211777953195,0.0,0.0,0.4746659134265707,0.48476653505600054,Gm26590
ENSMUSG00000022419,0.4792371233704172,0.0,0.0,0.474167811771028,0.48427466111302236,Deptor
ENSMUSG00000003072,0.4788539053439308,0.0,0.0,0.47378219038467617,0.48389385672256924,Atp5d
ENSMUSG00000042675,0.47883019373791086,0.0,0.0,0.47375833013471813,0.4838702943975184,Ypel3
ENSMUSG00000041605,0.47876153763131335,0.0,0.0,0.4736892436769114,0.4838020704874144,5730559C18Rik
ENSMUSG00000006800,0.47871230071206944,0.0,0.0,0.47363969816852985,0.48375314348137644,Sulf2
ENSMUSG00000020193,0.4785502392705005,0.0,0.0,0.47347662124434137,0.4835921018847797,Zpbp
ENSMUSG00000051550,0.4785472855489495,0.0,0.0,0.4734736490178962,0.4835891667476911,Zfp579
ENSMUSG00000048796,0.47833798142371775,0.0,0.0,0.47326303390864444,0.48338117925026236,Cyb561d1
ENSMUSG00000026885,0.4782405824913587,0.0,0.0,0.47316502511233305,0.48328439281185964,Ttll11
ENSMUSG00000043866,0.4782361649199228,0.0,0.0,0.4731605798832276,0.48328000301743385,Taf10
ENSMUSG00000049932,0.47817707605636023,0.0,0.0,0.47310112109910696,0.4832212856711762,H2afx
ENSMUSG00000050271,0.47815640063060244,0.0,0.0,0.47308031624761154,0.4832007402300678,D8Ertd82e
ENSMUSG00000056228,0.4781098478327934,0.0,0.0,0.47303347205547813,0.48315448008541517,Cars2
ENSMUSG00000041842,0.4781046298672499,0.0,0.0,0.4730282214301947,0.4831492949207437,Fhdc1
ENSMUSG00000038010,0.47806195678063573,0.0,0.0,0.4729852812622274,0.48310689006992863,Ccdc138
ENSMUSG00000000247,0.4780603399011754,0.0,0.0,0.4729836542635525,0.4831052833534335,Lhx2
ENSMUSG00000093674,0.4778644583881728,0.0,0.0,0.4727865470853708,0.4829106328106884,Rpl41
ENSMUSG00000023832,0.4777571943512517,0.0,0.0,0.4726786120937685,0.48280404263750337,Acat2
