,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000111049,-0.038550785268957256,1.003758488946897e-30,2.451180681189004e-30,-0.04509937767960426,-0.031998879833271654,RP24-538A12.3
ENSMUSG00000074591,-0.03855849911333387,9.772173894337459e-31,2.386950145172804e-30,-0.04510708729172845,-0.03200659724895266,Ankub1
ENSMUSG00000036256,-0.03856315772978002,9.61527068611366e-31,2.3491987994414024e-30,-0.04511174335181566,-0.03201125802259246,Igfbp7
ENSMUSG00000074215,-0.0385639961424751,9.587299472669267e-31,2.3429373100364777e-30,-0.045112581304411786,-0.03201209682354862,Gm10643
ENSMUSG00000018736,-0.03856519079314304,9.547582893201166e-31,2.3338017338550883e-30,-0.045113775299470776,-0.03201329202746407,Ndel1
ENSMUSG00000050390,-0.038569573374066635,9.403275941553852e-31,2.2990894722625557e-30,-0.04511815547513003,-0.03201767663813892,C77080
ENSMUSG00000027660,-0.03857408176737888,9.257085393147463e-31,2.2638995825745814e-30,-0.04512266139386636,-0.03202218711973436,Skil
ENSMUSG00000021732,-0.0385764507593736,9.181174219322988e-31,2.2458841045310637e-30,-0.045125029085457236,-0.032024557209150734,Fgf10
ENSMUSG00000073944,-0.038579002318619035,9.100103987384528e-31,2.2265975011951377e-30,-0.045127579244000425,-0.03202710995047344,Olfr619
ENSMUSG00000081225,-0.03858586620400466,8.885528740283677e-31,2.1746276897414773e-30,-0.045134439360968545,-0.03203397701615967,Cyp2j12
ENSMUSG00000022848,-0.03858957381781528,8.771720196202298e-31,2.1472999256309177e-30,-0.04513814493896426,-0.03203768634810687,Dirc2
ENSMUSG00000073759,-0.03859046560759534,8.744562492339614e-31,2.1411759285846266e-30,-0.04513903623904428,-0.03203857855117606,4933407E24Rik
ENSMUSG00000036731,-0.03859124166266595,8.720997189228065e-31,2.135928775221177e-30,-0.045139811867958665,-0.03203935496590845,Cysrt1
ENSMUSG00000016356,-0.03859371464314991,8.646323574756142e-31,2.1181586415375163e-30,-0.045142283490398685,-0.03204182909254496,Col20a1
ENSMUSG00000073938,-0.03859935268185856,8.478443060076775e-31,2.0775405685069282e-30,-0.04514791843266334,-0.03204746974461626,Olfr632
ENSMUSG00000056222,-0.03860306275696914,8.369739625697736e-31,2.0514067710043472e-30,-0.04515162646995153,-0.03205118153966101,Spock1
ENSMUSG00000024610,-0.03860830286850675,8.21855984308787e-31,2.0148467377023462e-30,-0.04515686370296058,-0.03205642408074219,Cd74
ENSMUSG00000099715,-0.03860839598612777,8.215898013339133e-31,2.0146880856643288e-30,-0.04515695676942644,-0.03205651724153985,Gm28077
ENSMUSG00000037922,-0.03861221029639486,8.10759575038005e-31,1.9891059250196395e-30,-0.04516076898416338,-0.03206033332051843,Bank1
ENSMUSG00000024427,-0.038619777052966354,7.896924421261734e-31,1.9378955634998123e-30,-0.04516833158309733,-0.03206790358639166,Spry4
ENSMUSG00000090326,-0.03862852919940861,7.660019448038578e-31,1.880220777623608e-30,-0.04517707891964037,-0.03207665979283202,Dthd1
ENSMUSG00000036553,-0.03862999668226263,7.620993812531828e-31,1.8711008623942615e-30,-0.04517854559591454,-0.03207812795652923,Sh3tc1
ENSMUSG00000109561,-0.0386317802069421,7.573829099746732e-31,1.859977676755091e-30,-0.045180328140268525,-0.032079912308718525,Ankrd31
ENSMUSG00000042459,-0.038637847043245584,7.415552274852815e-31,1.8215554593104435e-30,-0.045186391641585326,-0.032085981960191516,Bpifa2
ENSMUSG00000061991,-0.03863892322755867,7.3878207314476655e-31,1.8151893689060603e-30,-0.04518746723426122,-0.03208705864393253,Hist1h2af
