,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000072664,0.20122941392167132,0.0,0.0,0.19492673205003652,0.2075154778369106,Ugt3a1
ENSMUSG00000111657,0.20120714950257818,0.0,0.0,0.19490440969732442,0.20749327303492257,RP23-384F19.1
ENSMUSG00000062098,0.20109950708861007,0.0,0.0,0.1947964872821489,0.20738591876208579,Btbd3
ENSMUSG00000062510,0.20103832418537518,0.0,0.0,0.1947351452969713,0.2073248995679837,Nsl1
ENSMUSG00000000942,0.20096502559523016,0.0,0.0,0.19466165618774903,0.20725179704091273,Hoxa4
ENSMUSG00000003617,0.20085361580746286,0.0,0.0,0.19454995695708427,0.20714068512367778,Cp
ENSMUSG00000025497,0.20084155252020183,0.0,0.0,0.19453786233918322,0.2071286540796659,Cdhr5
ENSMUSG00000048406,0.20082942691164954,0.0,0.0,0.1945257052400623,0.20711656087902128,B330016D10Rik
ENSMUSG00000026616,0.20082739586816126,0.0,0.0,0.19452366892208262,0.2071145352636805,Cr2
ENSMUSG00000034349,0.20079615188792874,0.0,0.0,0.1944923438100573,0.20708337477901945,Smc4
ENSMUSG00000020758,0.20078059367493625,0.0,0.0,0.19447674520157504,0.20706785813861872,Itgb4
ENSMUSG00000039943,0.20063880904425999,0.0,0.0,0.19433459258687616,0.20692645222025122,Plcb4
ENSMUSG00000052609,0.20053105768025253,0.0,0.0,0.19422656174494726,0.20681898848868063,Plekhg3
ENSMUSG00000038406,0.20052472537537736,0.0,0.0,0.19422021302054193,0.20681267308259552,Scaf1
ENSMUSG00000044312,0.2005077881903841,0.0,0.0,0.19420323192038835,0.20679578109467223,Neurog3
ENSMUSG00000044827,0.2004130675057044,0.0,0.0,0.19410826571118112,0.20670131310410791,Tlr1
ENSMUSG00000024067,0.20038711361228984,0.0,0.0,0.1940822445635684,0.20667542842955292,Dpy30
ENSMUSG00000086308,0.20038492709123365,0.0,0.0,0.19408005237699602,0.2066732477395317,G630016G05Rik
ENSMUSG00000032360,0.20038250741456404,0.0,0.0,0.19407762643075183,0.2066708345156058,Hcrtr2
ENSMUSG00000031449,0.20032211888290208,0.0,0.0,0.19401708145258248,0.20661060700204908,Atp4b
ENSMUSG00000001517,0.20016170418970358,0.0,0.0,0.19385625141177865,0.20645061980217405,Foxm1
ENSMUSG00000059060,0.2000117421323349,0.0,0.0,0.19370590137741803,0.20630105707850485,Rad51b
ENSMUSG00000025420,0.19998979357069888,0.0,0.0,0.1936838960560209,0.2062791669390012,Katnal2
ENSMUSG00000037419,0.19989634153577157,0.0,0.0,0.19359020242182906,0.20618596358189806,Endod1
ENSMUSG00000097158,0.19987198158359828,0.0,0.0,0.19356577951136605,0.20616166843331638,Gm26516
ENSMUSG00000034463,0.19977802947782394,0.0,0.0,0.1934715846596032,0.20606796619111312,Scara3
ENSMUSG00000054598,0.19961796118133912,0.0,0.0,0.19331110305914112,0.20590832332708672,9130230L23Rik
ENSMUSG00000052085,0.1995762071089614,0.0,0.0,0.1932692412312526,0.205866680174388,Dock8
ENSMUSG00000047773,0.19954167271489723,0.0,0.0,0.19323461773098582,0.20583223750371551,4932411E22Rik
ENSMUSG00000023952,0.19952785299234177,0.0,0.0,0.19322076235495925,0.2058184544819933,Gtpbp2
ENSMUSG00000047747,0.19946273961972252,0.0,0.0,0.19315548103034347,0.2057535139964144,Rnf150
ENSMUSG00000022938,0.19943077220490726,0.0,0.0,0.19312343117992153,0.20572163144022582,Fam3b
ENSMUSG00000027637,0.19933987243867304,0.0,0.0,0.19303229708050204,0.20563097289764112,1110008F13Rik
ENSMUSG00000028341,0.19921122858559775,0.0,0.0,0.1929033217786424,0.20550267024637864,Nr4a3
ENSMUSG00000022309,0.1992028894555051,0.0,0.0,0.19289496117044014,0.20549435322667867,Angpt1
ENSMUSG00000061911,0.1991692069327957,0.0,0.0,0.19286119190496775,0.20546076000065525,Myt1l
ENSMUSG00000110266,0.19915821904817205,0.0,0.0,0.19285017572642432,0.20544980124311532,Gm32742
ENSMUSG00000037306,0.19908951191342872,0.0,0.0,0.19278129170613764,0.20538127620396257,Man1c1
ENSMUSG00000032113,0.1990546103835625,0.0,0.0,0.19274630034659185,0.2053464671505373,Chek1
ENSMUSG00000040272,0.19902735794614693,0.0,0.0,0.1927189777779124,0.20531928691116424,Accs
ENSMUSG00000028845,0.19890779309612752,0.0,0.0,0.19259910535600624,0.20520003870152909,Tekt2
ENSMUSG00000100168,0.19890274432318586,0.0,0.0,0.19259404359960633,0.20519500329500645,Gm28526
ENSMUSG00000027463,0.19888320445454433,0.0,0.0,0.1925744534852721,0.2051755151542253,Slc52a3
ENSMUSG00000021775,0.19883006099895434,0.0,0.0,0.19252117339965927,0.20512251235997422,Nr1d2
ENSMUSG00000034951,0.19860782293274523,0.0,0.0,0.19229836436994632,0.2049008621187771,Cog7
ENSMUSG00000052430,0.19857221254365243,0.0,0.0,0.19226266255279803,0.20486534586002,Bmpr1b
ENSMUSG00000000743,0.1985473005252847,0.0,0.0,0.1922376865838845,0.20484049968271403,Chmp1a
ENSMUSG00000045231,0.1985294139800246,0.0,0.0,0.1922197541279026,0.20482266040558383,BC106179
ENSMUSG00000009487,0.198516982732401,0.0,0.0,0.19220729097455608,0.20481026200710867,Otog
ENSMUSG00000028020,0.19850804390335794,0.0,0.0,0.19219832920460045,0.20480134679736867,Glrb
ENSMUSG00000023903,0.1984868021231377,0.0,0.0,0.19217703291298036,0.20478016114067404,Mmp25
ENSMUSG00000042628,0.19847546413799885,0.0,0.0,0.19216566583433978,0.20476885310954196,Zfyve1
ENSMUSG00000025147,0.19845149336295684,0.0,0.0,0.19214163355537256,0.20474494565774887,Mob2
ENSMUSG00000086363,0.19840470601303345,0.0,0.0,0.19209472618083315,0.20469828188365755,A330102I10Rik
ENSMUSG00000044719,0.19840193832227807,0.0,0.0,0.1920919513909631,0.2046955215020949,E230025N22Rik
ENSMUSG00000001802,0.19836445958730345,0.0,0.0,0.1920543765331309,0.20465814173483132,Lrp3
ENSMUSG00000036330,0.19819321740849374,0.0,0.0,0.19188269539964262,0.2044873515108051,Slc18a1
ENSMUSG00000025488,0.19818943024823374,0.0,0.0,0.1918788985359076,0.204483574341562,Cox8b
ENSMUSG00000022553,0.1981807120961237,0.0,0.0,0.19187015804683621,0.20447487918834847,Maf1
ENSMUSG00000034201,0.198117155331784,0.0,0.0,0.1918064384726208,0.204411490059736,Gas2l1
ENSMUSG00000048878,0.19810361145437425,0.0,0.0,0.19179285990748018,0.20439798189849423,Hexim1
ENSMUSG00000097401,0.19808250848349893,0.0,0.0,0.19177170289381193,0.20437693457287648,Gm26744
ENSMUSG00000003812,0.19807990935121206,0.0,0.0,0.1917690971057889,0.2043743422936954,Dnase2a
ENSMUSG00000028116,0.19801163559930143,0.0,0.0,0.19170064855351834,0.20430624852687648,Myoz2
ENSMUSG00000025492,0.19789776057842343,0.0,0.0,0.19158648211656512,0.20419267357084167,Ifitm3
