,Endothelial/Mixed_corr,Endothelial/Mixed_pval,Endothelial/Mixed_qval,Endothelial/Mixed_ci_low,Endothelial/Mixed_ci_high,gene_annotation
ENSMUSG00000053460,-0.18637044102199413,2.2201533625801805e-210,5.922338696009191e-210,-0.1978697060723422,-0.17481988594405465,Ggcx
ENSMUSG00000102336,-0.18637201018160934,2.2018713641359772e-210,5.874209033170326e-210,-0.19787126804914248,-0.1748214618857193,Gm37233
ENSMUSG00000035578,-0.18637634881682544,2.1521016286560946e-210,5.742055986390397e-210,-0.19787558682398845,-0.17482581927321614,Iqcg
ENSMUSG00000097537,-0.1863767775605516,2.1472448144297315e-210,5.7297201047580443e-210,-0.19787601360508955,-0.17482624987006637,2610020C07Rik
ENSMUSG00000093926,-0.1863784151965861,2.1287942166631683e-210,5.681103870381968e-210,-0.19787764374461145,-0.17482789458436226,Gm17027
ENSMUSG00000090550,-0.1863801716979478,2.109180398000251e-210,5.629372446103072e-210,-0.19787939220526685,-0.17482965867782188,Prlh
ENSMUSG00000048469,-0.1863827592286514,2.0806153090707097e-210,5.553736363155476e-210,-0.19788196789094203,-0.17483225739270344,Olfr564
ENSMUSG00000082976,-0.1863834898117229,2.0726202107955426e-210,5.532996783239335e-210,-0.1978826951295695,-0.17483299113362982,Gm15056
ENSMUSG00000086030,-0.18639352292677233,1.9658779465201057e-210,5.248611933771383e-210,-0.19789268231400722,-0.17484306761687476,Gm14255
ENSMUSG00000021961,-0.18639566987308617,1.9437597111872774e-210,5.1901238095780356e-210,-0.19789481943150236,-0.17484522384369025,4930578I06Rik
ENSMUSG00000093675,-0.18639636121554704,1.936690419722594e-210,5.171810222430838e-210,-0.19789550760894248,-0.1748459181746075,Gm20618
ENSMUSG00000060070,-0.18639921756136899,1.9077542031648617e-210,5.095092047873783e-210,-0.19789835087806593,-0.17484878686763744,Defa26
ENSMUSG00000095048,-0.18639979876056284,1.9019194515978673e-210,5.0800616161478286e-210,-0.1978989294164355,-0.17484937057922173,Gm11239
ENSMUSG00000020400,-0.18640105789875386,1.88933983034832e-210,5.047010283398101e-210,-0.19790018279005997,-0.1748506351604054,Tnip1
ENSMUSG00000058725,-0.18640111887016733,1.888732799837782e-210,5.045937725964878e-210,-0.19790024348233415,-0.17485069639538658,Gm11937
ENSMUSG00000104015,-0.1864013470462939,1.8864628098758104e-210,5.040421689854271e-210,-0.19790047061382404,-0.17485092555787554,Gm10745
ENSMUSG00000091945,-0.18640216461213413,1.8783516809292157e-210,5.019295871808239e-210,-0.19790128443667152,-0.17485174665790898,Vmn2r114
ENSMUSG00000094732,-0.18640409844534087,1.8593043664636152e-210,4.9689388054223016e-210,-0.19790320941630968,-0.17485368885080033,1500015L24Rik
ENSMUSG00000111359,-0.18640490500021706,1.8514173216965167e-210,4.948399529968744e-210,-0.19790401227855117,-0.17485449889232452,RP23-68E4.4
ENSMUSG00000071169,-0.18640496328533926,1.8508486664068197e-210,4.947418231640744e-210,-0.1979040702968271,-0.1748545574294075,Defb46
ENSMUSG00000099690,-0.18640590325900389,1.84170192749916e-210,4.923504543114044e-210,-0.19790500596700758,-0.17485550146649592,Gm29513
ENSMUSG00000089997,-0.186407569627824,1.8255975823266392e-210,4.880983539288211e-210,-0.19790666470663507,-0.17485717503893472,1810020O05Rik
ENSMUSG00000099917,-0.18640765657073893,1.824761208705614e-210,4.8792787188129196e-210,-0.19790675125149448,-0.1748572623577008,Vmn1r215
ENSMUSG00000054379,-0.18640769177482355,1.8244226612596304e-210,4.8789048229219525e-210,-0.19790678629440225,-0.17485729771397146,2410024N13Rik
ENSMUSG00000026874,-0.18640771891110355,1.824161742365767e-210,4.878738463895894e-210,-0.1979068133064427,-0.17485732496756073,Hc
ENSMUSG00000106437,-0.186408077590233,1.8207164957577295e-210,4.870054625105542e-210,-0.19790717034340946,-0.17485768519724987,Gm43053
ENSMUSG00000097100,-0.1864082489211326,1.819073093304694e-210,4.866188993987453e-210,-0.19790734088989323,-0.1748578572688092,9230104M06Rik
ENSMUSG00000062649,-0.18641042380130365,1.7983400209671347e-210,4.811250320887555e-210,-0.1979095058126028,-0.17486004155100077,Olfr44
ENSMUSG00000029375,-0.18641077957473276,1.794970979240932e-210,4.80276018769871e-210,-0.1979098599571498,-0.17486039886245144,Cxcl15
ENSMUSG00000101332,-0.18641395260898858,1.7652010149197907e-210,4.723620198181003e-210,-0.197913018463772,-0.17486358561398513,Gm28240
ENSMUSG00000029250,-0.1864162339345625,1.7441024649351627e-210,4.667669906157414e-210,-0.19791528934422378,-0.17486587680205937,Polr2b
ENSMUSG00000045540,-0.18641666327083448,1.740160058775501e-210,4.6576267047919004e-210,-0.19791571671475208,-0.1748663079944281,Olfr600
ENSMUSG00000020657,-0.18641863450556306,1.7221730296099315e-210,4.609986068794487e-210,-0.19791767892399995,-0.17486828775121052,Dnajc27
ENSMUSG00000097691,-0.18642561794749554,1.6599322279209215e-210,4.443861744620485e-210,-0.19792463039085528,-0.17487530138475274,9030616G12Rik
ENSMUSG00000094811,-0.18642753013787167,1.6432849404819284e-210,4.399774466598943e-210,-0.19792653382568595,-0.174877221842332,Gm21103
ENSMUSG00000068452,-0.18642899688845896,1.6306287054205147e-210,4.3663644863654136e-210,-0.1979279938602506,-0.17487869493435848,Duox2
ENSMUSG00000074837,-0.18643002306635317,1.62183200027645e-210,4.3432830792743675e-210,-0.19792901533940563,-0.17487972554892373,Gm10770
ENSMUSG00000040650,-0.18643350102615272,1.5923689613675093e-210,4.264845940819798e-210,-0.19793247737388,-0.17488321854583977,Cyp2b23
ENSMUSG00000021913,-0.1864363567023229,1.5685776649994213e-210,4.2015839876790085e-210,-0.19793531997390207,-0.17488608656887245,Ogdhl
ENSMUSG00000078891,-0.18643666105816173,1.5660630382737075e-210,4.195306024625867e-210,-0.19793562293608336,-0.17488639224064223,Gm11008
ENSMUSG00000057067,-0.18643868912857364,1.5494093670483096e-210,4.151145654710835e-210,-0.19793764171982384,-0.17488842907979657,Olfr297
ENSMUSG00000072821,-0.18644391175474756,1.5073331402206801e-210,4.0388566254172366e-210,-0.19794284043079058,-0.17489367428742836,Gm6351
ENSMUSG00000046924,-0.18644547051731591,1.4949975166972499e-210,4.006240889538406e-210,-0.19794439205542044,-0.1748952397898616,Vmn1r179
ENSMUSG00000053287,-0.18644781857259204,1.4766057421230245e-210,3.957387204519648e-210,-0.19794672935829333,-0.1748975979979009,Olfr1013
ENSMUSG00000042211,-0.18644868848609533,1.4698494364863703e-210,3.939709974302769e-210,-0.19794759528818567,-0.1748984716728594,Fbxo38
ENSMUSG00000062511,-0.18645430241499983,1.4269845952532017e-210,3.8252348272362275e-210,-0.1979531835086903,-0.1749041098765022,4930512M02Rik
ENSMUSG00000067010,-0.18645646098293103,1.410837348770798e-210,3.7823628070561945e-210,-0.19795533219148662,-0.174906277778325,Vmn2r10
ENSMUSG00000056197,-0.18646289739283545,1.3637649840204823e-210,3.656564146300195e-210,-0.19796173912527623,-0.1749127420206577,4931417E11Rik
ENSMUSG00000047220,-0.18647238906941402,1.2971956380944961e-210,3.478456455493236e-210,-0.19797118733208025,-0.17492227474311534,Ccdc36
ENSMUSG00000097746,-0.18647245438759913,1.2967489642613905e-210,3.4776385112556696e-210,-0.19797125235111512,-0.17492234034377038,Gm6225
ENSMUSG00000084853,-0.1864725575762172,1.2960436291756471e-210,3.4761266313655765e-210,-0.1979713550671403,-0.1749224439786302,Gm11791
ENSMUSG00000086927,-0.18647295667491287,1.2933192369765581e-210,3.4691985039056544e-210,-0.19797175233800401,-0.17492284480324036,Gm11823
ENSMUSG00000016998,-0.18647443903587174,1.2832500929882634e-210,3.4425651533050525e-210,-0.19797322790986546,-0.1749243335747481,Svs4
ENSMUSG00000073955,-0.18647717208658848,1.2648902967333893e-210,3.393682282307745e-210,-0.1979759484432867,-0.17492707844482652,Olfr593
ENSMUSG00000094818,-0.186478185626228,1.2581485451790149e-210,3.375963178277068e-210,-0.19797695734089812,-0.17492809636766912,Defa32
ENSMUSG00000069720,-0.1864784724306567,1.2562473347601099e-210,3.3712301413302235e-210,-0.19797724283175344,-0.17492838441243075,4930572O03Rik
ENSMUSG00000107237,-0.18647870639583708,1.2546985183433698e-210,3.36744184765702e-210,-0.19797747572536442,-0.1749286193894335,Gm29926
ENSMUSG00000047667,-0.1864800318091833,1.2459604096786424e-210,3.344355524043952e-210,-0.19797879506824273,-0.17492995053478091,Olfr26
ENSMUSG00000073949,-0.18648125634407298,1.2379414000501035e-210,3.323194539036753e-210,-0.1979800139946565,-0.17493118036544134,Olfr606
ENSMUSG00000091676,-0.18648482420715912,1.2148695611820804e-210,3.261615906631213e-210,-0.19798356551641777,-0.17493476365874241,Gm8374
ENSMUSG00000029068,-0.18648581263209282,1.2085541645929377e-210,3.2450155128046596e-210,-0.19798454941417004,-0.17493575635844838,Ccnl2
ENSMUSG00000094981,-0.18648949044539725,1.1853419871532827e-210,3.1830380037829375e-210,-0.19798821038215958,-0.1749394500778856,Gm8653
ENSMUSG00000087495,-0.1864923567607921,1.1675607276029569e-210,3.135632354420017e-210,-0.19799106356888274,-0.17494232879000066,Gm14152
ENSMUSG00000106070,-0.186493195432221,1.1624085728406216e-210,3.122137105391417e-210,-0.1979918983988825,-0.17494317108869337,Gm43135
ENSMUSG00000111160,-0.18649445971158715,1.1546846985496408e-210,3.1017307132156214e-210,-0.19799315688734428,-0.17494444083611457,RP23-440L7.5
ENSMUSG00000029291,-0.18650073672279377,1.1170889995613312e-210,3.0010689481595146e-210,-0.19799940514677164,-0.17495074499619606,Rufy3
ENSMUSG00000109547,-0.18650401690151966,1.0979316040680716e-210,2.949925229052232e-210,-0.198002670300304,-0.1749540393624905,Olfr1294
ENSMUSG00000094379,-0.18650545680484504,1.089626046689226e-210,2.9279302504447713e-210,-0.19800410360792461,-0.17495548549382867,Vmn1r202
ENSMUSG00000106365,-0.1865057198449369,1.0881155894707233e-210,2.924191544733494e-210,-0.19800436544311445,-0.17495574967165303,Gm43568
ENSMUSG00000069136,-0.18650852226365955,1.0721525027587794e-210,2.8816079088925616e-210,-0.19800715502475671,-0.17495856421183587,A130006I12Rik
ENSMUSG00000096337,-0.18651030923071363,1.062095970376365e-210,2.8548916427283238e-210,-0.19800893380612744,-0.17496035890825817,Gm13694
ENSMUSG00000100150,-0.1865154142514423,1.0338824802425643e-210,2.7796630152119402e-210,-0.198014015441518,-0.17496548601072617,Gm19585
ENSMUSG00000092162,-0.1865195179074595,1.0117468752862621e-210,2.720447846022156e-210,-0.19801810029885128,-0.17496960741753922,Vmn2r86
ENSMUSG00000056973,-0.1865215830252567,1.0007870896172676e-210,2.6912732337659536e-210,-0.19802015595627548,-0.17497168146837383,Ces1d
ENSMUSG00000050967,-0.1865215836985113,1.0007835359956635e-210,2.6912732337659536e-210,-0.19802015662644587,-0.17497168214454073,Creg2
ENSMUSG00000085497,-0.18652401543557393,9.880300539633902e-211,2.657549724464193e-210,-0.19802257722351077,-0.17497412440064963,Gm15985
ENSMUSG00000111222,-0.18652423496514833,9.86886730282727e-211,2.6547653119208406e-210,-0.19802279574739431,-0.1749743448798574,RP24-375O19.4
ENSMUSG00000071494,-0.18652971899519605,9.587504884153238e-211,2.579360288359964e-210,-0.19802825465408294,-0.1749798526329078,Olfr455
ENSMUSG00000109190,-0.18653106475046002,9.519693182718554e-211,2.5613973372285582e-210,-0.19802959424408337,-0.17498120420979585,Gm44621
ENSMUSG00000064288,-0.1865318497953548,9.480356774587637e-211,2.551092936537436e-210,-0.1980303756924584,-0.1749819926507489,Hist1h4k
ENSMUSG00000050766,-0.18653373355843925,9.386627623594394e-211,2.5261479931435883e-210,-0.1980322508254149,-0.17498388456294267,Ear14
ENSMUSG00000075467,-0.1865344221161842,9.352599005459433e-211,2.517266068647665e-210,-0.1980329362286331,-0.17498457609939155,Dnlz
ENSMUSG00000032808,-0.18653443264031136,9.352079858885276e-211,2.517266068647665e-210,-0.1980329467045454,-0.17498458666904623,Cyp2c38
ENSMUSG00000109607,-0.1865366502735241,9.24332544273804e-211,2.4884005073476354e-210,-0.1980351541779185,-0.17498681389582818,Gm45467
ENSMUSG00000071361,-0.1865387530516409,9.14137069801445e-211,2.4612230878128167e-210,-0.19803724732228375,-0.17498892577075573,Mcpt9
